technology	gene_old	gene_new	n_reads	pct_of_reads	into_orf_body
direct RNA	YLR154W-E	YLR154W-F	4345	0.126926	False
direct RNA	YLR154W-F	YLR154W-E	3398	0.099262	False
direct RNA	YLR154W-C	YLR154W-E	1840	0.05375	True
direct RNA	YOR192C-B	YOR192C-C	279	0.00815	True
direct RNA	YJL041W	YJL039C	68	0.001986	False
direct RNA	YML127W	YML126C	58	0.001694	False
direct RNA	YDL191W	YDL190C	55	0.001607	False
direct RNA	YNL267W	YNL266W	39	0.001139	False
direct RNA	YJR107W	YJR107C-A	39	0.001139	False
direct RNA	YMR304W	YMR304C-A	34	0.000993	False
direct RNA	YNR015W	YNR016C	31	0.000906	False
direct RNA	YCR015C	YCR014C	30	0.000876	False
direct RNA	YER128W	YER129W	29	0.000847	False
direct RNA	YDR517W	YDR518W	29	0.000847	False
direct RNA	YER154W	YER155C	28	0.000818	False
direct RNA	YBR102C	YBR101C	25	0.00073	True
direct RNA	YMR231W	YMR232W	24	0.000701	False
direct RNA	YOR327C	YOR326W	24	0.000701	False
direct RNA	YER130C	YER129W	24	0.000701	False
direct RNA	YOL038W	YOL036W	22	0.000643	False
direct RNA	YPR190C	YPR189W	22	0.000643	False
direct RNA	YIL039W	YIL038C	21	0.000613	False
direct RNA	YHR132W-A	YHR133C	21	0.000613	False
direct RNA	YPR080W	YPR081C	21	0.000613	False
direct RNA	YAL016C-B	YAL017W	20	0.000584	False
direct RNA	YJR040W	YJR041C	20	0.000584	False
direct RNA	YIL065C	YIL064W	19	0.000555	False
direct RNA	YJL022W	YJL020C	19	0.000555	False
direct RNA	YBL049W	YBL048W	19	0.000555	True
direct RNA	YKL106W	YKL105C	18	0.000526	False
direct RNA	YNR069C	YNR068C	18	0.000526	True
direct RNA	YOR362C	YOR361C	18	0.000526	False
direct RNA	YDR357C	YDR356W	18	0.000526	False
direct RNA	YBR031W	YBR033W	15	0.000438	False
direct RNA	YMR076C	YMR075C-A	15	0.000438	True
direct RNA	YER059W	YER060W	14	0.000409	False
direct RNA	YNL042W	YNL041C	14	0.000409	False
direct RNA	YLR231C	YLR233C	13	0.00038	False
direct RNA	YGR239C	YGR238C	13	0.00038	False
direct RNA	YLR162W-A	YLR162W	13	0.00038	True
direct RNA	YAL031C	YAL032C	13	0.00038	False
direct RNA	YAL017W	YAL016C-B	13	0.00038	False
direct RNA	YDR068W	YDR069C	12	0.000351	False
direct RNA	YEL026W	YEL025C	12	0.000351	False
direct RNA	YJL004C	YJL005W	11	0.000321	False
direct RNA	YKR030W	YKR031C	11	0.000321	False
direct RNA	YOR025W	YOR026W	11	0.000321	False
direct RNA	YDR286C	YDR285W	11	0.000321	False
direct RNA	YKL051W	YKL052C	11	0.000321	False
direct RNA	YGL005C	YGL006W	11	0.000321	False
direct RNA	YIL148W	YIL147C	10	0.000292	False
direct RNA	YMR283C	YMR282C	10	0.000292	False
direct RNA	YHR032W-A	YHR033W	10	0.000292	True
direct RNA	YJL084C	YJL085W	10	0.000292	False
direct RNA	YGL196W	YGL197W	10	0.000292	False
direct RNA	YKL211C	YKL212W	10	0.000292	False
direct RNA	YML077W	YML076C	10	0.000292	False
direct RNA	YDR287W	YDR288W	10	0.000292	False
direct RNA	YIL014W	YIL013C	10	0.000292	False
direct RNA	YMR167W	YMR168C	9	0.000263	False
direct RNA	YJL014W	YJL013C	9	0.000263	False
direct RNA	YPR145C-A	YPR146C	9	0.000263	True
direct RNA	YGR267C	YGR269W	9	0.000263	False
direct RNA	YLR264W	YLR265C	9	0.000263	False
direct RNA	YNL011C	YNL012W	9	0.000263	False
direct RNA	YJL098W	YJL097W	8	0.000234	False
direct RNA	YDL225W	YDL224C	8	0.000234	False
direct RNA	YHR157W	YHR156C	8	0.000234	False
direct RNA	YCR083W	YCR084C	8	0.000234	False
direct RNA	YJR139C	YJR140W-A	7	0.000204	False
direct RNA	YDR410C	YDR409W	7	0.000204	False
direct RNA	YML090W	YML091C	7	0.000204	False
direct RNA	YER052C	YER051W	7	0.000204	False
direct RNA	YKR098C	YKR097W	7	0.000204	False
direct RNA	YDR494W	YDR495C	7	0.000204	False
direct RNA	YDL035C	YDL036C	7	0.000204	False
direct RNA	YNR030W	YNR031C	7	0.000204	False
direct RNA	YGL151W	YGL150C	6	0.000175	False
direct RNA	YBR204C	YBR203W	6	0.000175	False
direct RNA	YER032W	YER033C	6	0.000175	False
direct RNA	YJL065C	YJL066C	6	0.000175	False
direct RNA	YCR106W	YCR107W	6	0.000175	True
direct RNA	YLR031W	YLR030W	5	0.000146	True
direct RNA	YLR431C	YLR430W	5	0.000146	False
direct RNA	YML050W	YML049C	5	0.000146	False
direct RNA	YJR097W	YJR098C	5	0.000146	False
direct RNA	YKL183W	YKL182W	5	0.000146	False
direct RNA	YMR304C-A	YMR304W	5	0.000146	False
direct RNA	YPR174C	YPR173C	5	0.000146	True
direct RNA	YFR044C	YFR043C	5	0.000146	False
direct RNA	YPL111W	YPL110C	5	0.000146	False
direct RNA	YPL143W	YPL141C	5	0.000146	False
direct RNA	YHR036W	YHR035W	5	0.000146	True
direct RNA	YPL166W	YPL164C	5	0.000146	False
direct RNA	YOR209C	YOR208W	4	0.000117	False
direct RNA	YDR441C	YDR442W	4	0.000117	False
direct RNA	YBL036C	YBL037W	4	0.000117	False
direct RNA	YKL180W	YKL179C	4	0.000117	False
direct RNA	YLR093C	YLR092W	4	0.000117	False
direct RNA	YLR262C-A	YLR263W	4	0.000117	False
direct RNA	YLR409C	YLR408C	4	0.000117	False
direct RNA	YNL172W	YNL170W	4	0.000117	True
direct RNA	YGR171C	YGR170W	4	0.000117	False
direct RNA	YPL278C	YPL277C	4	0.000117	True
direct RNA	YDR104C	YDR103W	4	0.000117	False
direct RNA	YIL155C	YIL156W	4	0.000117	False
direct RNA	YCL063W	YCL061C	4	0.000117	False
direct RNA	YDR405W	YDR406W	3	8.8e-05	False
direct RNA	YMR078C	YMR077C	3	8.8e-05	False
direct RNA	YBR032W	YBR033W	3	8.8e-05	True
direct RNA	YOR228C	YOR227W	3	8.8e-05	False
direct RNA	YDR145W	YDR146C	3	8.8e-05	False
direct RNA	YEL042W	YEL041W	3	8.8e-05	False
direct RNA	YDR358W	YDR359C	3	8.8e-05	False
direct RNA	YKR027W	YKR028W	3	8.8e-05	False
direct RNA	YMR013W-A	YMR014W	3	8.8e-05	False
direct RNA	YLR318W	YLR319C	3	8.8e-05	False
direct RNA	YML003W	YML002W	3	8.8e-05	True
direct RNA	YER174C	YER173W	3	8.8e-05	False
direct RNA	YLR005W	YLR006C	3	8.8e-05	False
direct RNA	YGL006W-A	YGL006W	3	8.8e-05	True
direct RNA	YGR031W	YGR032W	3	8.8e-05	False
direct RNA	YOR072W	YOR071C	3	8.8e-05	False
direct RNA	YDL221W	YDL222C	3	8.8e-05	False
direct RNA	YKL036C	YKL038W	3	8.8e-05	False
direct RNA	YOR295W	YOR296W	3	8.8e-05	True
direct RNA	YDL153C	YDL154W	2	5.8e-05	False
direct RNA	YPR051W	YPR053C	2	5.8e-05	False
direct RNA	YER185W	YER184C	2	5.8e-05	False
direct RNA	YDL217C	YDL218W	2	5.8e-05	False
direct RNA	YJR053W	YJR054W	2	5.8e-05	True
direct RNA	YLR168C	YLR171W	2	5.8e-05	False
direct RNA	YBR285W	YBR284W	2	5.8e-05	False
direct RNA	YHR081W	YHR082C	2	5.8e-05	False
direct RNA	YGR042W	YGR043C	2	5.8e-05	False
direct RNA	YDR395W	YDR396W	2	5.8e-05	False
direct RNA	YHR156C	YHR155W	2	5.8e-05	False
direct RNA	YGL125W	YGL126W	2	5.8e-05	False
direct RNA	YEL019C	YEL020C	2	5.8e-05	True
direct RNA	YOL117W	YOL116W	2	5.8e-05	True
