data_type	anchor	statistic	position	extended	unchanged	ratio	n_extended_at_position	n_unchanged_at_position	supported
SR	ORF start	depth	-300	113.9308	75.5106	1.509	289	611	False
SR	ORF start	depth	-100	144.5746	83.3716	1.734	630	1819	True
SR	ORF start	depth	100	279.7036	401.7416	0.696	830	3866	True
SR	ORF start	depth	300	224.5598	366.6277	0.613	811	3725	True
SR	ORF start	scaled_median	-300	0.4303	0.1983	2.17	277	591	False
SR	ORF start	scaled_median	-100	0.369	0.2976	1.24	609	1780	True
SR	ORF start	scaled_median	100	0.8821	0.8404	1.05	805	3794	True
SR	ORF start	scaled_median	300	0.9373	0.9544	0.982	786	3658	True
SR	ORF end	depth	-300	237.3894	329.0127	0.722	113	4423	True
SR	ORF end	depth	-100	723.7642	453.131	1.597	123	4573	True
SR	ORF end	depth	100	364.4182	253.8766	1.435	110	3784	True
SR	ORF end	depth	300	100.9722	145.4816	0.694	36	951	True
SR	ORF end	scaled_median	-300	1.0167	1.0305	0.987	108	4336	True
SR	ORF end	scaled_median	-100	1.0473	1.1089	0.944	118	4481	True
SR	ORF end	scaled_median	100	0.6199	0.4066	1.525	106	3715	True
SR	ORF end	scaled_median	300	1.0479	0.2692	3.893	34	932	True
DRS	ORF start	depth	-300	34.1938	14.6841	2.329	289	611	False
DRS	ORF start	depth	-100	27.3746	19.2501	1.422	630	1819	True
DRS	ORF start	depth	100	163.9229	291.0993	0.563	830	3866	True
DRS	ORF start	depth	300	196.7855	323.5444	0.608	811	3725	True
DRS	ORF start	scaled_median	-300	0.192	0.053	3.623	262	580	False
DRS	ORF start	scaled_median	-100	0.1579	0.0887	1.781	593	1750	True
DRS	ORF start	scaled_median	100	0.5963	0.5252	1.135	789	3715	True
DRS	ORF start	scaled_median	300	0.6713	0.6413	1.047	771	3588	True
DRS	ORF end	depth	-300	374.2743	345.5967	1.083	113	4423	True
DRS	ORF end	depth	-100	465.7724	472.1929	0.986	123	4573	True
DRS	ORF end	depth	100	385.8	352.1633	1.096	110	3784	True
DRS	ORF end	depth	300	54.6667	97.817	0.559	36	951	True
DRS	ORF end	scaled_median	-300	1.2482	1.2574	0.993	102	4257	True
DRS	ORF end	scaled_median	-100	1.6409	1.7408	0.943	111	4393	True
DRS	ORF end	scaled_median	100	1.8075	1.4605	1.238	99	3648	True
DRS	ORF end	scaled_median	300	0.59	0.2493	2.366	29	896	True
