combo	min_reads	merge_window	effect_frac	expr_frac	retained	identical	within10	n_genes	mean_five	mean_three
1	5	10	0.025	0.01	1.0	0.7819757365684575	0.8533795493934142	6182	181.9187965059851	160.72662568747978
2	10	10	0.025	0.01	1.0	0.8235701906412478	0.8842287694974004	6024	173.54266268260292	158.68210491367861
3	20	10	0.025	0.01	1.0	0.9500866551126517	0.9665511265164645	5801	159.23909670746423	156.4083778658852
4	40	10	0.025	0.01	0.9325823223570191	0.7392677940903177	0.8385058539304961	5402	139.35209181784523	151.76915957052944
5	80	10	0.025	0.01	0.7847487001733102	0.573321554770318	0.7429328621908127	4539	117.10971579643093	144.07358448997576
6	5	20	0.025	0.01	1.0	0.7837088388214904	0.8545927209705373	6181	181.75392331337972	160.4881087202718
7	10	20	0.025	0.01	1.0	0.825476603119584	0.8854419410745233	6023	173.45575294703636	158.48331396314128
8	20	20	0.025	0.01	1.0	0.9528596187175044	0.968630849220104	5801	159.08429581106705	156.2608171004999
9	40	20	0.025	0.01	0.9322357019064125	0.7401003904071388	0.8395612567391708	5399	139.5171328023708	151.6903130209298
10	80	20	0.025	0.01	0.7844020797227036	0.573353954927088	0.7428192664604507	4537	117.18955256777606	144.01498787745206
11	5	40	0.025	0.01	1.0	0.7863084922010398	0.8563258232235702	6178	181.73454192295242	160.49838135318873
12	10	40	0.025	0.01	1.0	0.8285961871750434	0.8871750433275564	6019	173.44874563881044	158.48463199867086
13	20	40	0.025	0.01	1.0	0.9564991334488735	0.9701906412478336	5795	159.03330457290767	156.3264883520276
14	40	40	0.025	0.01	0.9320623916811092	0.7419114912606917	0.8397173670509483	5394	139.57897664071191	151.67890248424175
15	80	40	0.025	0.01	0.7838821490467938	0.57395533937652	0.7430908688923281	4531	117.32134186713749	144.1209446038402
16	5	80	0.025	0.01	0.9968804159445407	0.7748609179415855	0.8487482614742698	6150	181.52	159.83105691056912
17	10	80	0.025	0.01	0.9965337954939342	0.8158260869565217	0.8793043478260869	5988	173.20975283901134	157.86406145624582
18	20	80	0.025	0.01	0.9948006932409013	0.9423344947735192	0.9613240418118467	5762	159.13068379035056	155.63241929885456
19	40	80	0.025	0.01	0.9261698440207973	0.7335329341317365	0.8338323353293413	5357	139.72615269740527	150.94810528280755
20	80	80	0.025	0.01	0.7781629116117851	0.5692650334075724	0.7412026726057906	4495	117.48209121245829	143.65895439377087
21	5	160	0.025	0.01	0.9798960138648181	0.7500884329678104	0.8312698974177574	6029	180.1361751534251	158.00199037983083
22	10	160	0.025	0.01	0.9771230502599654	0.7908832919474991	0.8614757006030507	5859	171.79348011606075	156.16555726233145
23	20	160	0.025	0.01	0.9712305025996534	0.9148822269807281	0.9439685938615274	5619	157.44705463605624	154.21978999822034
24	40	160	0.025	0.01	0.9006932409012132	0.7169520877429286	0.8241293053684818	5206	138.44160583941607	149.5238186707645
25	80	160	0.025	0.01	0.7566724436741767	0.5586349060925332	0.733623453962437	4370	116.47116704805492	141.92906178489702
26	5	10	0.05	0.01	1.0	0.7823223570190642	0.8540727902946273	6181	181.87526290244298	160.63161300760396
27	10	10	0.05	0.01	1.0	0.8240901213171578	0.8850953206239168	6023	173.4858044164038	158.53926614643865
28	20	10	0.05	0.01	0.9998266897746967	0.9505980239209568	0.9674120298145259	5796	159.15993788819875	156.25983436853002
