stratum	bin	lo	hi	n	mean_frac_reach5	mean_frac_reach3	median_med_start5	median_med_end3
tx_len	1	130	863	574	0.0909	0.3112	85.0	43.0
tx_len	2	865	1097	575	0.0413	0.2994	296.5	39.0
tx_len	3	1098	1294	572	0.0375	0.3015	492.0	37.0
tx_len	4	1295	1483	574	0.042	0.293	702.0	43.0
tx_len	5	1484	1683	574	0.0276	0.2994	898.75	42.0
tx_len	6	1684	1898	574	0.0241	0.3403	1119.5	27.0
tx_len	7	1899	2173	573	0.0248	0.349	1388.0	22.0
tx_len	8	2174	2581	573	0.0247	0.3652	1720.0	18.0
tx_len	9	2582	3284	574	0.0196	0.3798	2224.0	17.0
tx_len	10	3286	14931	574	0.0123	0.4067	3470.0	15.0
n_reads	1	5	25	600	0.0873	0.4523	785.25	13.0
n_reads	2	26	43	570	0.0386	0.3561	1008.75	23.25
n_reads	3	44	60	568	0.029	0.3614	1149.0	20.0
n_reads	4	61	81	566	0.0239	0.3512	1215.5	22.0
n_reads	5	82	107	566	0.0274	0.3269	1122.0	24.0
n_reads	6	108	146	582	0.0238	0.3457	1088.5	20.0
n_reads	7	147	205	571	0.0303	0.3228	991.0	27.0
n_reads	8	206	327	568	0.0247	0.2945	853.25	32.25
n_reads	9	328	713	574	0.0338	0.2649	796.5	45.0
n_reads	10	714	38795	572	0.0235	0.264	518.0	53.0
