model	end	term	n	events	odds_ratio_per_decade	ci_low	ci_high	p_value	pseudo_r2	spearman_rho
P(DRS shorter)	5prime	log10_cds_len	4495	3070.0	1.3617	1.0861	1.7072	0.007449952978308758	0.0035	
P(DRS shorter)	5prime	log10_depth	4495	3070.0	1.2592	1.1156	1.4213	0.00019081040019535436	0.0035	
P(DRS shorter)	3prime	log10_cds_len	4519	3532.0	0.5053	0.3881	0.658	4.0372228719044985e-07	0.0067	
P(DRS shorter)	3prime	log10_depth	4519	3532.0	1.1418	0.9941	1.3115	0.06070768178882031	0.0067	
P(both too short | shortfall)	5prime	log10_cds_len	3052	701.0	3.8091	2.7241	5.3264	5.348838226229526e-15	0.0235	
P(both too short | shortfall)	5prime	log10_depth	3052	701.0	0.7942	0.6671	0.9455	0.00961581018657062	0.0235	
P(both too short | shortfall)	3prime	log10_cds_len	3532	732.0	1.6733	1.2178	2.2993	0.001498520416540556	0.0155	
P(both too short | shortfall)	3prime	log10_depth	3532	732.0	0.5767	0.486	0.6842	2.8051205891651703e-10	0.0155	
shortfall size	5prime	cds_len	3070					2.6893365578135233e-35		-0.2211
shortfall size	5prime	depth_orf1000	3070					0.0006370132512420395		0.0616
shortfall size	3prime	cds_len	3532					9.501881319138785e-53		-0.2531
shortfall size	3prime	depth_orf1000	3532					5.1368717518233075e-09		0.0981
