covariate	end	decile	range_low	range_high	n	shortfall_pct	n_arbitrated	both_too_short_pct
cds_len	5prime	1	84.0	432.0	451	67.85	306	21.24
cds_len	5prime	2	435.0	627.0	456	67.76	306	15.36
cds_len	5prime	3	630.0	807.0	446	60.99	271	12.18
cds_len	5prime	4	810.0	969.0	451	62.97	283	12.72
cds_len	5prime	5	972.0	1149.0	452	64.6	291	18.56
cds_len	5prime	6	1152.0	1344.0	445	69.66	306	21.9
cds_len	5prime	7	1347.0	1569.0	450	73.78	328	21.65
cds_len	5prime	8	1572.0	1857.0	447	73.15	323	28.17
cds_len	5prime	9	1860.0	2313.0	449	74.16	333	34.23
cds_len	5prime	10	2316.0	4548.0	450	67.78	305	40.33
cds_len	3prime	1	84.0	435.0	457	74.62	341	22.58
cds_len	3prime	2	438.0	627.0	453	83.22	377	15.38
cds_len	3prime	3	630.0	807.0	450	84.44	380	17.37
cds_len	3prime	4	810.0	966.0	449	81.96	368	19.02
cds_len	3prime	5	969.0	1149.0	460	83.04	382	20.42
cds_len	3prime	6	1152.0	1344.0	446	80.27	358	16.2
cds_len	3prime	7	1347.0	1569.0	453	79.47	360	19.72
cds_len	3prime	8	1572.0	1857.0	449	79.29	356	24.16
cds_len	3prime	9	1860.0	2316.0	452	75.0	339	24.48
cds_len	3prime	10	2319.0	4548.0	452	60.4	273	31.87
depth_orf1000	5prime	1	6.0	51.0	451	64.3	286	26.57
depth_orf1000	5prime	2	52.0	76.0	455	62.86	284	22.89
depth_orf1000	5prime	3	77.0	101.0	452	68.14	307	29.32
depth_orf1000	5prime	4	102.0	132.0	454	65.42	297	26.94
depth_orf1000	5prime	5	133.0	167.0	449	68.15	304	24.34
depth_orf1000	5prime	6	168.0	213.0	440	67.5	297	20.2
depth_orf1000	5prime	7	214.0	290.0	446	70.85	312	22.12
depth_orf1000	5prime	8	291.0	442.0	449	70.82	316	18.67
depth_orf1000	5prime	9	443.0	977.0	449	74.16	333	20.72
depth_orf1000	5prime	10	981.0	27701.0	450	70.89	316	18.67
depth_orf1000	3prime	1	6.0	51.0	456	75.22	343	28.28
depth_orf1000	3prime	2	52.0	76.0	459	78.87	362	27.35
depth_orf1000	3prime	3	77.0	101.0	455	73.19	333	24.02
depth_orf1000	3prime	4	102.0	132.0	457	76.81	351	22.22
depth_orf1000	3prime	5	133.0	167.0	451	77.61	350	21.14
depth_orf1000	3prime	6	168.0	213.0	442	78.96	349	22.35
depth_orf1000	3prime	7	214.0	290.0	446	78.7	351	15.1
depth_orf1000	3prime	8	291.0	440.0	449	79.06	355	18.03
depth_orf1000	3prime	9	441.0	977.0	452	84.73	383	15.14
depth_orf1000	3prime	10	981.0	27701.0	452	78.54	355	14.37
