annotation	end	tolerance_nt	n	under_pct	over_pct	concordant_pct
final	5prime	0	5448	25.844	75.22	0.0
final	3prime	0	5506	26.898	74.464	0.0
nagalakshmi	5prime	0	4763	35.23	65.421	0.0
nagalakshmi	3prime	0	4817	35.748	64.957	0.0
drs	5prime	0	5027	44.977	56.992	0.0
drs	3prime	0	5205	49.376	53.353	0.0
final	5prime	5	5448	11.546	69.952	18.502
final	3prime	5	5506	12.169	61.86	25.972
nagalakshmi	5prime	5	4763	11.358	60.424	28.218
nagalakshmi	3prime	5	4817	10.588	60.183	29.23
drs	5prime	5	5027	36.264	49.811	13.925
drs	3prime	5	5205	39.769	26.052	34.179
final	5prime	10	5448	9.178	63.693	27.129
final	3prime	10	5506	9.916	55.158	34.926
nagalakshmi	5prime	10	4763	8.566	54.063	37.371
nagalakshmi	3prime	10	4817	7.39	56.135	36.475
drs	5prime	10	5027	28.983	43.545	27.472
drs	3prime	10	5205	32.68	15.255	52.065
final	5prime	15	5448	6.186	58.352	35.463
final	3prime	15	5506	8.336	51.453	40.211
nagalakshmi	5prime	15	4763	6.844	49.339	43.817
nagalakshmi	3prime	15	4817	6.145	53.062	40.793
drs	5prime	15	5027	13.427	38.134	48.438
drs	3prime	15	5205	27.762	12.065	60.173
final	5prime	20	5448	5.231	53.965	40.804
final	3prime	20	5506	7.21	47.948	44.842
nagalakshmi	5prime	20	4763	5.585	45.245	49.171
nagalakshmi	3prime	20	4817	5.169	49.844	44.987
drs	5prime	20	5027	10.404	34.175	55.421
drs	3prime	20	5205	24.284	9.702	66.013
final	5prime	25	5448	4.809	50.477	44.714
final	3prime	25	5506	6.52	45.005	48.474
nagalakshmi	5prime	25	4763	4.787	41.843	53.37
nagalakshmi	3prime	25	4817	4.526	47.27	48.204
drs	5prime	25	5027	8.812	31.41	59.777
drs	3prime	25	5205	22.017	7.858	70.125
final	5prime	30	5448	4.387	46.769	48.844
final	3prime	30	5506	6.048	42.899	51.053
nagalakshmi	5prime	30	4763	4.073	38.169	57.758
nagalakshmi	3prime	30	4817	3.841	45.111	51.048
drs	5prime	30	5027	7.758	28.944	63.298
drs	3prime	30	5205	20.672	6.801	72.526
final	5prime	35	5448	3.873	43.961	52.166
final	3prime	35	5506	5.63	41.137	53.233
nagalakshmi	5prime	35	4763	3.485	35.482	61.033
nagalakshmi	3prime	35	4817	3.467	43.492	53.041
drs	5prime	35	5027	6.823	26.775	66.401
drs	3prime	35	5205	18.943	5.937	75.12
final	5prime	40	5448	3.763	41.373	54.864
final	3prime	40	5506	5.321	39.284	55.394
nagalakshmi	5prime	40	4763	3.212	32.878	63.909
nagalakshmi	3prime	40	4817	3.072	41.603	55.325
drs	5prime	40	5027	6.386	25.045	68.57
drs	3prime	40	5205	17.541	5.437	77.022
final	5prime	45	5448	3.561	39.336	57.104
final	3prime	45	5506	4.976	37.886	57.138
nagalakshmi	5prime	45	4763	2.918	30.968	66.114
nagalakshmi	3prime	45	4817	2.803	40.108	57.089
drs	5prime	45	5027	5.848	23.692	70.46
drs	3prime	45	5205	15.831	5.072	79.097
final	5prime	50	5448	3.414	37.335	59.251
final	3prime	50	5506	4.722	36.705	58.572
nagalakshmi	5prime	50	4763	2.708	29.183	68.108
nagalakshmi	3prime	50	4817	2.636	38.821	58.543
drs	5prime	50	5027	5.55	22.499	71.951
drs	3prime	50	5205	14.678	4.957	80.365
final	5prime	55	5448	3.304	35.426	61.27
final	3prime	55	5506	4.541	35.234	60.225
nagalakshmi	5prime	55	4763	2.561	27.357	70.082
nagalakshmi	3prime	55	4817	2.491	37.16	60.349
drs	5prime	55	5027	5.252	21.484	73.264
drs	3prime	55	5205	13.66	4.707	81.633
final	5prime	60	5448	3.157	34.104	62.739
final	3prime	60	5506	4.304	33.727	61.969
nagalakshmi	5prime	60	4763	2.309	25.992	71.699
nagalakshmi	3prime	60	4817	2.429	35.582	61.989
drs	5prime	60	5027	5.033	20.708	74.259
drs	3prime	60	5205	12.68	4.476	82.843
final	5prime	65	5448	3.047	32.801	64.152
final	3prime	65	5506	4.086	32.365	63.549
nagalakshmi	5prime	65	4763	2.142	24.795	73.063
nagalakshmi	3prime	65	4817	2.263	34.067	63.67
drs	5prime	65	5027	4.854	19.873	75.274
drs	3prime	65	5205	11.873	4.361	83.766
final	5prime	70	5448	3.01	31.773	65.217
final	3prime	70	5506	3.941	31.148	64.911
nagalakshmi	5prime	70	4763	2.1	23.976	73.924
nagalakshmi	3prime	70	4817	2.159	32.821	65.02
drs	5prime	70	5027	4.635	19.196	76.169
drs	3prime	70	5205	11.009	4.092	84.899
final	5prime	75	5448	2.974	30.598	66.428
final	3prime	75	5506	3.85	29.967	66.182
nagalakshmi	5prime	75	4763	2.079	22.906	75.016
nagalakshmi	3prime	75	4817	2.118	31.576	66.307
drs	5prime	75	5027	4.555	18.52	76.925
drs	3prime	75	5205	10.336	3.881	85.783
final	5prime	80	5448	2.919	29.626	67.456
final	3prime	80	5506	3.632	28.405	67.962
nagalakshmi	5prime	80	4763	2.016	22.15	75.835
nagalakshmi	3prime	80	4817	2.034	29.811	68.154
drs	5prime	80	5027	4.476	17.963	77.561
drs	3prime	80	5205	9.318	3.804	86.878
final	5prime	85	5448	2.882	28.579	68.539
final	3prime	85	5506	3.487	27.461	69.052
nagalakshmi	5prime	85	4763	1.974	21.289	76.737
nagalakshmi	3prime	85	4817	1.993	28.773	69.234
drs	5prime	85	5027	4.356	17.326	78.317
drs	3prime	85	5205	8.626	3.65	87.723
final	5prime	90	5448	2.79	27.845	69.365
final	3prime	90	5506	3.36	26.389	70.251
nagalakshmi	5prime	90	4763	1.848	20.701	77.451
nagalakshmi	3prime	90	4817	1.91	27.631	70.459
drs	5prime	90	5027	4.257	16.769	78.974
drs	3prime	90	5205	8.05	3.535	88.415
final	5prime	95	5448	2.698	27.258	70.044
final	3prime	95	5506	3.233	25.427	71.34
nagalakshmi	5prime	95	4763	1.806	20.26	77.934
nagalakshmi	3prime	95	4817	1.806	26.614	71.58
drs	5prime	95	5027	4.038	16.332	79.63
drs	3prime	95	5205	7.454	3.42	89.126
final	5prime	100	5448	2.606	26.67	70.723
final	3prime	100	5506	3.16	24.283	72.557
nagalakshmi	5prime	100	4763	1.764	19.672	78.564
nagalakshmi	3prime	100	4817	1.785	25.348	72.867
drs	5prime	100	5027	3.899	15.974	80.127
drs	3prime	100	5205	6.936	3.343	89.721
final	5prime	105	5448	2.606	26.101	71.292
final	3prime	105	5506	3.124	23.266	73.611
nagalakshmi	5prime	105	4763	1.743	19.253	79.005
nagalakshmi	3prime	105	4817	1.682	24.268	74.05
drs	5prime	105	5027	3.799	15.536	80.664
drs	3prime	105	5205	6.532	3.151	90.317
final	5prime	110	5448	2.57	25.587	71.843
final	3prime	110	5506	3.015	22.539	74.446
nagalakshmi	5prime	110	4763	1.638	18.833	79.53
nagalakshmi	3prime	110	4817	1.661	23.459	74.881
drs	5prime	110	5027	3.74	15.118	81.142
drs	3prime	110	5205	6.302	3.055	90.644
final	5prime	115	5448	2.57	24.908	72.522
final	3prime	115	5506	2.942	21.631	75.427
nagalakshmi	5prime	115	4763	1.575	18.329	80.097
nagalakshmi	3prime	115	4817	1.661	22.504	75.836
drs	5prime	115	5027	3.68	14.641	81.679
drs	3prime	115	5205	5.994	2.92	91.085
final	5prime	120	5448	2.57	24.523	72.907
final	3prime	120	5506	2.87	20.65	76.48
nagalakshmi	5prime	120	4763	1.554	18.056	80.391
nagalakshmi	3prime	120	4817	1.661	21.424	76.915
drs	5prime	120	5027	3.66	14.303	82.037
drs	3prime	120	5205	5.687	2.843	91.47
final	5prime	125	5448	2.551	24.082	73.366
final	3prime	125	5506	2.833	19.887	77.279
nagalakshmi	5prime	125	4763	1.533	17.741	80.726
nagalakshmi	3prime	125	4817	1.599	20.614	77.787
drs	5prime	125	5027	3.64	14.024	82.335
drs	3prime	125	5205	5.399	2.728	91.873
final	5prime	130	5448	2.551	23.66	73.789
final	3prime	130	5506	2.761	19.088	78.151
nagalakshmi	5prime	130	4763	1.533	17.384	81.083
nagalakshmi	3prime	130	4817	1.578	19.763	78.659
drs	5prime	130	5027	3.62	13.825	82.554
drs	3prime	130	5205	5.187	2.651	92.161
final	5prime	135	5448	2.515	23.164	74.321
final	3prime	135	5506	2.742	18.18	79.077
nagalakshmi	5prime	135	4763	1.491	16.964	81.545
nagalakshmi	3prime	135	4817	1.557	18.725	79.718
drs	5prime	135	5027	3.501	13.567	82.932
drs	3prime	135	5205	4.957	2.613	92.43
final	5prime	140	5448	2.478	22.724	74.798
final	3prime	140	5506	2.706	17.726	79.568
nagalakshmi	5prime	140	4763	1.47	16.649	81.881
nagalakshmi	3prime	140	4817	1.536	18.206	80.257
drs	5prime	140	5027	3.422	13.149	83.429
drs	3prime	140	5205	4.822	2.574	92.603
final	5prime	145	5448	2.46	22.32	75.22
final	3prime	145	5506	2.615	17.127	80.258
nagalakshmi	5prime	145	4763	1.449	16.355	82.196
nagalakshmi	3prime	145	4817	1.495	17.584	80.922
drs	5prime	145	5027	3.362	12.89	83.748
drs	3prime	145	5205	4.63	2.498	92.872
final	5prime	150	5448	2.46	21.769	75.771
final	3prime	150	5506	2.597	16.509	80.894
nagalakshmi	5prime	150	4763	1.449	16.04	82.511
nagalakshmi	3prime	150	4817	1.453	17.002	81.545
drs	5prime	150	5027	3.322	12.512	84.166
drs	3prime	150	5205	4.515	2.382	93.103
final	5prime	155	5448	2.423	21.384	76.193
final	3prime	155	5506	2.561	15.928	81.511
nagalakshmi	5prime	155	4763	1.428	15.767	82.805
nagalakshmi	3prime	155	4817	1.453	16.379	82.167
drs	5prime	155	5027	3.282	12.274	84.444
drs	3prime	155	5205	4.419	2.325	93.256
final	5prime	160	5448	2.405	20.999	76.597
final	3prime	160	5506	2.525	15.311	82.165
nagalakshmi	5prime	160	4763	1.407	15.515	83.078
nagalakshmi	3prime	160	4817	1.412	15.694	82.894
drs	5prime	160	5027	3.242	12.015	84.742
drs	3prime	160	5205	4.304	2.267	93.429
final	5prime	165	5448	2.331	20.65	77.019
final	3prime	165	5506	2.488	14.711	82.801
nagalakshmi	5prime	165	4763	1.365	15.263	83.372
nagalakshmi	3prime	165	4817	1.412	15.072	83.517
drs	5prime	165	5027	3.163	11.697	85.14
drs	3prime	165	5205	4.188	2.209	93.602
final	5prime	170	5448	2.258	20.319	77.423
final	3prime	170	5506	2.434	14.057	83.509
nagalakshmi	5prime	170	4763	1.365	14.97	83.666
nagalakshmi	3prime	170	4817	1.391	14.387	84.223
drs	5prime	170	5027	3.083	11.498	85.419
drs	3prime	170	5205	4.092	2.152	93.756
final	5prime	175	5448	2.239	19.934	77.827
final	3prime	175	5506	2.397	13.603	83.999
nagalakshmi	5prime	175	4763	1.323	14.655	84.023
nagalakshmi	3prime	175	4817	1.349	13.888	84.762
drs	5prime	175	5027	3.024	11.239	85.737
drs	3prime	175	5205	4.015	2.075	93.91
final	5prime	180	5448	2.203	19.512	78.286
final	3prime	180	5506	2.397	13.113	84.49
nagalakshmi	5prime	180	4763	1.323	14.403	84.275
nagalakshmi	3prime	180	4817	1.329	13.349	85.323
drs	5prime	180	5027	2.944	10.921	86.135
drs	3prime	180	5205	3.919	1.998	94.083
final	5prime	185	5448	2.203	18.943	78.855
final	3prime	185	5506	2.397	12.732	84.871
nagalakshmi	5prime	185	4763	1.302	14.046	84.653
nagalakshmi	3prime	185	4817	1.329	12.913	85.759
drs	5prime	185	5027	2.904	10.523	86.573
drs	3prime	185	5205	3.804	1.979	94.217
final	5prime	190	5448	2.203	18.612	79.185
final	3prime	190	5506	2.379	12.314	85.307
nagalakshmi	5prime	190	4763	1.239	13.773	84.988
nagalakshmi	3prime	190	4817	1.308	12.435	86.257
drs	5prime	190	5027	2.884	10.324	86.791
drs	3prime	190	5205	3.689	1.96	94.352
final	5prime	195	5448	2.166	18.282	79.552
final	3prime	195	5506	2.361	12.005	85.634
nagalakshmi	5prime	195	4763	1.218	13.458	85.324
nagalakshmi	3prime	195	4817	1.308	12.082	86.61
drs	5prime	195	5027	2.845	10.185	86.97
drs	3prime	195	5205	3.554	1.94	94.505
final	5prime	200	5448	2.166	17.915	79.919
final	3prime	200	5506	2.343	11.714	85.943
nagalakshmi	5prime	200	4763	1.218	13.164	85.618
nagalakshmi	3prime	200	4817	1.308	11.792	86.901
drs	5prime	200	5027	2.825	9.986	87.189
drs	3prime	200	5205	3.497	1.883	94.621
