annotation	end	tolerance_nt	n	under_extension_n	under_extension_pct	concordant_n	concordant_pct	over_extension_n	over_extension_pct
final	5prime	20	5448	285	5.23	2223	40.8	2940	53.96
final	5prime	50	5448	186	3.41	3228	59.25	2034	37.33
final	5prime	100	5448	142	2.61	3853	70.72	1453	26.67
final	3prime	20	5506	397	7.21	2469	44.84	2640	47.95
final	3prime	50	5506	260	4.72	3225	58.57	2021	36.71
final	3prime	100	5506	174	3.16	3995	72.56	1337	24.28
nagalakshmi	5prime	20	4763	266	5.58	2342	49.17	2155	45.24
nagalakshmi	5prime	50	4763	129	2.71	3244	68.11	1390	29.18
nagalakshmi	5prime	100	4763	84	1.76	3742	78.56	937	19.67
nagalakshmi	3prime	20	4817	249	5.17	2167	44.99	2401	49.84
nagalakshmi	3prime	50	4817	127	2.64	2820	58.54	1870	38.82
nagalakshmi	3prime	100	4817	86	1.79	3510	72.87	1221	25.35
drs	5prime	20	5027	523	10.4	2786	55.42	1718	34.18
drs	5prime	50	5027	279	5.55	3617	71.95	1131	22.5
drs	5prime	100	5027	196	3.9	4028	80.13	803	15.97
drs	3prime	20	5205	1264	24.28	3436	66.01	505	9.7
drs	3prime	50	5205	764	14.68	4183	80.37	258	4.96
drs	3prime	100	5205	361	6.94	4670	89.72	174	3.34
