tolerance_nt	median_frac_reads_within_5prime	median_frac_reads_within_3prime
0	0.3102	0.3482
5	0.4483	0.5098
10	0.5915	0.6277
15	0.6964	0.6964
20	0.7778	0.7614
25	0.8333	0.8182
30	0.8857	0.856
35	0.9188	0.884
40	0.9434	0.9059
45	0.9602	0.9204
50	0.9714	0.9345
55	0.9799	0.9468
60	0.9854	0.9571
65	0.9885	0.9642
70	0.9908	0.9709
75	0.9926	0.9765
80	0.9941	0.9815
85	0.9952	0.9852
90	0.996	0.9879
95	0.9966	0.9899
100	0.997	0.9919
105	0.9973	0.9935
110	0.9977	0.9944
115	0.998	0.9956
120	0.9982	0.9963
125	0.9985	0.997
130	0.9986	0.9976
135	0.9988	0.9983
140	0.999	0.9987
145	0.9991	0.999
150	0.9993	0.9993
155	0.9994	0.9995
160	0.9995	0.9997
165	0.9996	0.9998
170	0.9997	0.9999
175	0.9998	1.0
180	0.9998	1.0
185	0.9999	1.0
190	1.0	1.0
195	1.0	1.0
200	1.0	1.0
