end	provenance	n	median_diff	frac_positive	under_pct_T20	over_pct_T20	under_pct_T50	over_pct_T50	under_pct_T100	over_pct_T100
5prime	DRS only, no prior call	781	-19.0	0.2676	49.17	21.64	29.32	17.67	21.0	13.06
5prime	both sources agree	40	-11.0	0.05	25.0	2.5	7.5	2.5	2.5	2.5
5prime	extended by DRS over prior	1295	-4.0	0.4649	26.72	34.83	16.06	26.25	13.2	20.62
5prime	prior only, no DRS call	317	-1.0	0.4732	33.75	37.54	20.19	29.02	14.2	25.24
5prime	prior retained, DRS shorter	2884	5.0	0.5444	18.07	38.25	10.92	25.45	8.29	18.0
3prime	DRS only, no prior call	922	-16.0	0.1909	46.64	5.21	33.41	4.34	22.56	3.69
3prime	both sources agree	52	-6.0	0.1923	23.08	9.62	11.54	7.69	7.69	3.85
3prime	extended by DRS over prior	896	-3.5	0.2176	27.34	4.58	17.08	2.57	9.93	1.79
3prime	prior only, no DRS call	209	-4.0	0.4163	35.41	27.75	29.19	23.44	22.97	19.14
3prime	prior retained, DRS shorter	3458	22.0	0.6992	12.17	51.59	7.37	38.75	5.35	24.64
