annotation	end	tolerance_nt	n	under_pct	over_pct	concordant_pct
final	5prime	0	5317	52.36	48.467	0.0
final	3prime	0	5537	47.878	58.931	0.0
nagalakshmi	5prime	0	4536	56.944	43.496	0.0
nagalakshmi	3prime	0	4615	43.77	57.941	0.0
drs	5prime	0	5000	73.38	27.8	0.0
drs	3prime	0	5328	83.465	30.968	0.0
final	5prime	5	5317	42.768	44.442	12.789
final	3prime	5	5537	34.604	45.837	19.559
nagalakshmi	5prime	5	4536	44.753	39.594	15.653
nagalakshmi	3prime	5	4615	33.391	50.943	15.666
drs	5prime	5	5000	68.44	24.2	7.36
drs	3prime	5	5328	63.908	10.154	25.938
final	5prime	10	5317	37.183	40.361	22.456
final	3prime	10	5537	28.319	40.852	30.829
nagalakshmi	5prime	10	4536	38.735	35.472	25.794
nagalakshmi	3prime	10	4615	25.569	46.544	27.887
drs	5prime	10	5000	62.6	21.46	15.94
drs	3prime	10	5328	56.719	6.456	36.824
final	5prime	15	5317	30.055	37.559	32.387
final	3prime	15	5537	24.309	37.818	37.872
nagalakshmi	5prime	15	4536	33.84	32.628	33.532
nagalakshmi	3prime	15	4615	21.798	43.38	34.821
drs	5prime	15	5000	46.22	19.34	34.44
drs	3prime	15	5328	50.0	4.899	45.101
final	5prime	20	5317	25.729	34.662	39.609
final	3prime	20	5537	21.347	34.965	43.688
nagalakshmi	5prime	20	4536	29.674	29.519	40.807
nagalakshmi	3prime	20	4615	18.895	40.433	40.672
drs	5prime	20	5000	39.02	17.86	43.12
drs	3prime	20	5328	44.125	3.303	52.571
final	5prime	25	5317	22.644	32.311	45.044
final	3prime	25	5537	19.487	33.05	47.463
nagalakshmi	5prime	25	4536	26.08	27.094	46.825
nagalakshmi	3prime	25	4615	16.75	38.267	44.984
drs	5prime	25	5000	33.76	16.64	49.6
drs	3prime	25	5328	40.297	2.778	56.926
final	5prime	30	5317	20.406	30.619	48.975
final	3prime	30	5537	18.115	31.533	50.352
nagalakshmi	5prime	30	4536	22.994	25.441	51.565
nagalakshmi	3prime	30	4615	15.06	36.533	48.407
drs	5prime	30	5000	29.54	15.86	54.6
drs	3prime	30	5328	37.8	2.496	59.703
final	5prime	35	5317	18.845	28.663	52.492
final	3prime	35	5537	16.796	30.016	53.188
nagalakshmi	5prime	35	4536	20.767	23.633	55.6
nagalakshmi	3prime	35	4615	14.063	34.821	51.116
drs	5prime	35	5000	27.04	14.86	58.1
drs	3prime	35	5328	35.267	2.29	62.444
final	5prime	40	5317	17.623	27.233	55.144
final	3prime	40	5537	15.731	28.499	55.77
nagalakshmi	5prime	40	4536	19.246	22.156	58.598
nagalakshmi	3prime	40	4615	13.044	33.066	53.889
drs	5prime	40	5000	24.44	14.08	61.48
drs	3prime	40	5328	32.808	2.14	65.053
final	5prime	45	5317	16.363	25.804	57.833
final	3prime	45	5537	15.062	27.361	57.576
nagalakshmi	5prime	45	4536	17.615	20.723	61.662
nagalakshmi	3prime	45	4615	12.394	31.701	55.905
drs	5prime	45	5000	22.64	13.22	64.14
drs	3prime	45	5328	30.743	2.083	67.173
final	5prime	50	5317	15.403	24.544	60.053
final	3prime	50	5537	14.141	26.296	59.563
nagalakshmi	5prime	50	4536	16.358	19.687	63.955
nagalakshmi	3prime	50	4615	11.593	30.423	57.985
drs	5prime	50	5000	21.18	12.52	66.3
drs	3prime	50	5328	28.979	2.027	68.994
final	5prime	55	5317	14.764	23.453	61.783
final	3prime	55	5537	13.636	25.176	61.188
nagalakshmi	5prime	55	4536	15.498	18.739	65.763
nagalakshmi	3prime	55	4615	11.029	29.036	59.935
drs	5prime	55	5000	19.98	12.1	67.92
drs	3prime	55	5328	27.365	1.914	70.721
final	5prime	60	5317	14.331	22.701	62.968
final	3prime	60	5537	13.148	24.129	62.723
nagalakshmi	5prime	60	4536	14.881	18.188	66.931
nagalakshmi	3prime	60	4615	10.574	27.822	61.603
drs	5prime	60	5000	18.92	11.58	69.5
drs	3prime	60	5328	26.051	1.745	72.203
final	5prime	65	5317	13.767	21.798	64.435
final	3prime	65	5537	12.516	23.135	64.349
nagalakshmi	5prime	65	4536	14.043	17.306	68.651
nagalakshmi	3prime	65	4615	10.141	26.652	63.207
drs	5prime	65	5000	18.12	11.24	70.64
drs	3prime	65	5328	24.437	1.708	73.855
final	5prime	70	5317	13.297	21.159	65.544
final	3prime	70	5537	11.974	22.034	65.992
nagalakshmi	5prime	70	4536	13.47	16.667	69.863
nagalakshmi	3prime	70	4615	9.664	25.374	64.962
drs	5prime	70	5000	17.54	11.06	71.4
drs	3prime	70	5328	23.348	1.633	75.019
final	5prime	75	5317	13.034	20.35	66.617
final	3prime	75	5537	11.559	21.058	67.383
nagalakshmi	5prime	75	4536	13.161	16.049	70.789
nagalakshmi	3prime	75	4615	9.339	24.247	66.414
drs	5prime	75	5000	16.9	10.64	72.46
drs	3prime	75	5328	22.222	1.52	76.258
final	5prime	80	5317	12.733	19.936	67.331
final	3prime	80	5537	11.035	20.065	68.9
nagalakshmi	5prime	80	4536	12.787	15.785	71.429
nagalakshmi	3prime	80	4615	8.819	23.099	68.082
drs	5prime	80	5000	16.36	10.28	73.36
drs	3prime	80	5328	21.021	1.389	77.59
final	5prime	85	5317	12.413	19.428	68.159
final	3prime	85	5537	10.692	19.27	70.038
nagalakshmi	5prime	85	4536	12.566	15.366	72.068
nagalakshmi	3prime	85	4615	8.537	22.145	69.317
drs	5prime	85	5000	15.8	9.94	74.26
drs	3prime	85	5328	19.895	1.37	78.735
final	5prime	90	5317	12.074	18.939	68.986
final	3prime	90	5537	10.312	18.62	71.067
nagalakshmi	5prime	90	4536	12.103	14.859	73.038
nagalakshmi	3prime	90	4615	8.147	21.387	70.466
drs	5prime	90	5000	15.34	9.72	74.94
drs	3prime	90	5328	18.863	1.333	79.805
final	5prime	95	5317	11.943	18.544	69.513
final	3prime	95	5537	9.987	17.898	72.115
