annotation	end	tolerance_nt	n	under_extension_n	under_extension_pct	concordant_n	concordant_pct	over_extension_n	over_extension_pct
final	5prime	20	5317	1368	25.73	2106	39.61	1843	34.66
final	5prime	50	5317	819	15.4	3193	60.05	1305	24.54
final	5prime	100	5317	620	11.66	3728	70.11	969	18.22
final	3prime	20	5537	1182	21.35	2419	43.69	1936	34.96
final	3prime	50	5537	783	14.14	3298	59.56	1456	26.3
final	3prime	100	5537	534	9.64	4059	73.31	944	17.05
nagalakshmi	5prime	20	4536	1346	29.67	1851	40.81	1339	29.52
nagalakshmi	5prime	50	4536	742	16.36	2901	63.96	893	19.69
nagalakshmi	5prime	100	4536	528	11.64	3365	74.18	643	14.18
nagalakshmi	3prime	20	4615	872	18.89	1877	40.67	1866	40.43
nagalakshmi	3prime	50	4615	535	11.59	2676	57.98	1404	30.42
nagalakshmi	3prime	100	4615	362	7.84	3355	72.7	898	19.46
drs	5prime	20	5000	1951	39.02	2156	43.12	893	17.86
drs	5prime	50	5000	1059	21.18	3315	66.3	626	12.52
drs	5prime	100	5000	738	14.76	3790	75.8	472	9.44
drs	3prime	20	5328	2351	44.13	2801	52.57	176	3.3
drs	3prime	50	5328	1544	28.98	3676	68.99	108	2.03
drs	3prime	100	5328	894	16.78	4366	81.94	68	1.28
