gene	n_isoforms	n_reads	mtif_support	iqr5	iqr3	utr5_max	utr3_max	utr5_p95	utr3_p95	utr5_p99	utr3_p99	f5_within_20	f3_within_20	f5_within_50	f3_within_50	f5_within_100	f3_within_100
YAL001C	4	4.0	1	11.5	50.0	32.0	94.0	32.0	94.0	32.0	94.0	1.0	0.5	1.0	0.75	1.0	1.0
YAL002W	8	9.0	2	27.5	47.0	157.0	113.0	157.0	113.0	157.0	113.0	0.6666666666666666	0.4444444444444444	0.7777777777777778	0.8888888888888888	1.0	1.0
YAL003W	1303	51391.0	9650	12.0	13.0	196.0	357.0	43.0	285.0	52.0	303.0	0.9429277499951353	0.6641629857368022	0.9997859547391567	0.6690276507559689	0.9998054133992333	0.9136424665797513
YAL004W	3	4.0	2	1156.5	8.0	3128.0	745.0	3128.0	745.0	3128.0	745.0	0.5	1.0	0.5	1.0	0.5	1.0
YAL005C	609	9034.0	3080	0.0	1.0	280.0	1981.0	66.0	171.0	107.0	200.0	0.9651317245959707	0.8114899269426611	0.9841709098959487	0.9814035864511844	0.993579809608147	0.9988930706220943
YAL007C	412	3294.0	557	6.0	23.0	3148.0	1986.0	108.0	176.07999999999998	118.0	177.506	0.7647237401335762	0.5950212507589556	0.9802671523983	0.9599271402550091	0.9993928354584092	0.9951426836672739
YAL008W	388	2929.0	638	0.0	5.0	1099.0	1289.0	70.0	179.0	99.0	209.8025	0.9361556845339707	0.8077842266985319	0.9846363946739501	0.9344486172755206	0.9959030385797201	0.9918060771594401
YAL009W	101	167.0	28	30.396551724144956	16.0	3771.0	1015.0	62.0	147.0	410.47000000000264	1013.1300000000001	0.5149700598802395	0.6946107784431138	0.9101796407185628	0.9520958083832335	0.9760479041916168	0.9640718562874252
YAL010C	173	417.0	35	22.0	5.0	90.0	776.0	51.0	555.0	58.0	708.3299999999999	0.7314148681055156	0.8441247002398081	0.9952038369304557	0.8920863309352518	1.0	0.935251798561151
YAL011W	51	214.0	44	5.0	37.0	116.0	2783.0	34.79999999999998	146.59999999999997	47.58666666666659	1028.1999999999998	0.9392523364485982	0.6448598130841121	0.9953271028037384	0.9719626168224299	0.9953271028037384	0.9719626168224299
YAL012W	358	8377.0	2282	9.0	0.0	1578.0	149.0	93.0	103.0	113.08593103448275	131.0	0.8702399427002507	0.9875850543153873	0.9822132028172377	1.0	0.9994031276113167	1.0
YAL013W	199	1173.0	109	6.0	5.0	324.0	1595.0	47.0	106.0	60.26736842105263	116.76999999999998	0.9582267689684569	0.969309462915601	1.0	0.9940323955669225	1.0	0.9940323955669225
YAL014C	383	2184.0	290	22.0	9.0	1457.0	221.0	59.0333333333333	164.0	98.0	181.0	0.836996336996337	0.8305860805860806	0.9940476190476191	0.9285714285714286	0.9990842490842491	0.9972527472527473
YAL015C	33	210.0	98	0.0	134.0	16.0	147.0	8.0	147.0	15.0	147.0	1.0	0.6952380952380952	1.0	0.6952380952380952	1.0	0.6952380952380952
YAL016C-A	5	2.0	1	0.0	1.0	39.0	262.0	28.399999999999995	262.0	32.879999999999995	262.0	1.0	1.0	1.0	1.0	1.0	1.0
YAL016W	190	1657.0	188	10.0	20.947115384609788	114.0	156.0	97.0	93.0	97.0	94.78583333333334	0.9571514785757392	0.7193723596861799	0.995775497887749	0.996378998189499	1.0	1.0
YAL017W	2	2.0	1	27.0	20.0	385.0	219.0	385.0	219.0	385.0	219.0	0.5	1.0	1.0	1.0	1.0	1.0
YAL018C	1	2.0	2	0.0	0.0	50.0	138.0	50.0	138.0	50.0	138.0	1.0	1.0	1.0	1.0	1.0	1.0
YAL019W	13	22.0	4	11.666666666671517	26.0	133.0	115.0	132.92	115.0	133.0	115.0	0.6363636363636364	0.6818181818181818	0.9545454545454546	0.9090909090909091	1.0	1.0
YAL020C	9	13.0	3	13.19999999999709	19.875	61.0	146.0	60.4	146.0	61.0	146.0	0.8461538461538461	0.6923076923076923	1.0	0.8461538461538461	1.0	1.0
