Gene	final_five_prime_utr	final_three_prime_utr
Q0010	0	0
Q0017	0	0
Q0032	0	0
Q0045	0	0
Q0050	0	0
Q0055	0	0
Q0060	0	0
Q0065	0	0
Q0070	0	0
Q0075	0	0
Q0080	0	0
Q0085	0	0
Q0092	0	0
Q0105	0	0
Q0110	0	0
Q0115	0	0
Q0120	0	0
Q0130	0	0
Q0140	613	17
Q0142	0	0
Q0143	0	0
Q0144	354	131
Q0160	0	0
Q0182	0	0
Q0250	0	0
Q0255	0	0
Q0275	0	0
Q0297	0	0
YAL001C	197	60
YAL002W	106	57
YAL003W	32	335
YAL004W	3110	732
YAL005C	252	156
YAL007C	95	289
YAL008W	98	207
YAL009W	445	132
YAL010C	30	182
YAL011W	181	133
YAL012W	112	116
YAL013W	75	102
YAL014C	52	220
YAL015C	7	146
YAL016C-A	0	0
YAL016C-B	5	293
YAL016W	92	96
YAL017W	368	189
YAL018C	0	0
YAL019W	122	71
YAL019W-A	731	0
YAL020C	8	145
YAL021C	43	309
YAL022C	40	144
YAL023C	119	128
YAL024C	321	197
YAL025C	22	285
YAL026C	75	149
YAL026C-A	916	306
YAL027W	91	110
YAL028W	47	79
YAL029C	236	88
YAL030W	21	260
YAL031C	39	161
YAL031W-A	80	129
YAL032C	699	142
YAL033W	10	169
YAL034C	634	160
YAL034C-B	837	345
YAL034W-A	43	156
YAL035W	61	127
YAL036C	54	264
YAL037C-A	130	459
YAL037C-B	169	126
YAL037W	566	1576
YAL038W	141	166
YAL039C	116	86
YAL040C	327	186
YAL041W	66	60
YAL042C-A	249	20
YAL042W	46	116
YAL043C	15	195
YAL044C	13	193
YAL044W-A	544	113
YAL045C	202	40
YAL046C	158	121
YAL047C	28	57
YAL047W-A	374	149
YAL048C	179	957
YAL049C	1486	163
YAL051W	14	152
YAL053W	170	67
YAL054C	239	165
YAL055W	34	118
YAL056C-A	0	0
YAL056W	35	138
YAL058W	70	190
YAL059C-A	437	0
YAL059W	42	196
YAL060W	47	129
YAL061W	515	316
YAL062W	171	98
YAL063C	216	82
YAL063C-A	931	343
YAL064C-A	0	0
YAL064W	0	0
YAL064W-B	0	0
YAL065C	0	0
YAL066W	283	60
YAL067C	0	0
YAL067W-A	0	0
YAL068C	0	0
YAL068W-A	0	0
YAL069W	0	0
YAR002C-A	31	256
YAR002W	41	237
YAR003W	74	623
YAR007C	78	72
YAR008W	122	122
YAR009C	405	324
YAR010C	179	736
YAR014C	147	176
YAR015W	105	342
YAR018C	29	218
YAR019C	29	61
YAR019W-A	0	0
YAR020C	753	264
YAR023C	876	48
YAR027W	98	209
YAR028W	120	380
YAR029W	1311	208
YAR030C	0	0
YAR031W	234	169
YAR033W	718	446
YAR035C-A	11	609
YAR035W	36	110
YAR042W	45	163
YAR047C	621	769
YAR050W	0	67
YAR053W	173	968
YAR060C	778	567
YAR064W	183	26
YAR066W	0	0
YAR068W	0	0
YAR069C	0	0
YAR070C	0	0
YAR071W	300	51
YAR073W	0	0
YAR075W	0	0
YBL001C	230	245
YBL002W	702	195
YBL003C	63	495
YBL004W	103	61
YBL005W	55	291
YBL005W-A	358	725
YBL005W-B	39	319
YBL006C	317	232
YBL006W-A	151	555
YBL007C	117	164
YBL008W	66	103
YBL008W-A	0	0
YBL009W	52	125
YBL010C	67	303
YBL011W	723	204
YBL012C	0	0
YBL013W	0	0
YBL014C	34	140
YBL015W	168	277
YBL016W	66	131
YBL017C	184	75
YBL018C	44	329
YBL019W	69	115
YBL020W	784	88
YBL021C	429	169
YBL022C	132	85
YBL023C	127	173
YBL024W	35	279
YBL025W	114	584
YBL026W	61	491
YBL027W	18	384
YBL028C	46	296
YBL029C-A	1274	129
YBL029W	163	11
YBL030C	147	322
YBL031W	33	171
YBL032W	97	205
YBL033C	27	172
YBL034C	49	177
YBL035C	92	128
YBL036C	1060	148
YBL037W	86	142
YBL038W	59	175
YBL039C	78	262
YBL039C-A	693	1139
YBL039W-B	293	176
YBL040C	296	99
YBL041W	236	67
YBL042C	58	166
YBL043W	130	203
YBL044W	0	0
YBL045C	260	215
YBL046W	17	187
YBL047C	165	222
YBL048W	453	26
YBL049W	0	0
YBL050W	76	110
YBL051C	64	448
YBL052C	225	80
YBL053W	918	757
YBL054W	327	192
YBL055C	626	95
YBL056W	135	412
YBL057C	14	523
YBL058W	27	155
YBL059C-A	661	207
YBL059W	88	44
YBL060W	230	41
YBL061C	107	120
YBL062W	97	558
YBL063W	8	120
YBL064C	263	73
YBL065W	0	0
YBL066C	131	333
YBL067C	264	119
YBL068W	65	517
YBL068W-A	673	197
YBL069W	109	160
YBL070C	0	0
YBL071C	146	366
YBL071C-B	0	0
YBL071W-A	42	519
YBL072C	24	276
YBL073W	0	0
YBL074C	18	288
YBL075C	535	80
YBL076C	45	98
YBL077W	0	894
YBL078C	43	480
YBL079W	62	86
YBL080C	53	123
YBL081W	548	136
YBL082C	49	42
YBL083C	992	14
YBL084C	109	139
YBL085W	201	123
YBL086C	123	59
YBL087C	105	228
YBL088C	0	89
YBL089W	193	280
YBL090W	58	218
YBL091C	14	352
YBL091C-A	145	242
YBL092W	363	143
YBL093C	113	437
YBL094C	0	0
YBL095W	157	251
YBL096C	783	50
YBL097W	0	0
YBL098W	20	63
YBL099W	350	291
YBL100C	0	0
YBL100W-B	123	314
YBL100W-C	0	0
YBL101C	156	168
YBL102W	218	192
YBL103C	253	502
YBL104C	24	100
YBL105C	265	139
YBL106C	477	70
YBL107C	14	230
YBL107W-A	0	0
YBL108C-A	0	0
YBL108W	0	0
YBL109W	0	0
YBL111C	0	0
YBL112C	0	0
YBL113C	470	784
YBL113W-A	122	889
YBR001C	149	157
YBR002C	23	251
YBR003W	28	133
YBR004C	1047	94
YBR005W	77	372
YBR006W	130	145
YBR007C	89	182
YBR008C	672	159
YBR009C	524	167
YBR010W	27	356
YBR011C	48	219
YBR012C	771	205
YBR012W-A	913	737
YBR012W-B	42	315
YBR013C	313	156
YBR014C	178	123
YBR015C	408	140
YBR016W	497	212
YBR017C	68	186
YBR018C	30	96
YBR019C	683	105
YBR020W	859	45
YBR021W	251	186
YBR022W	247	128
YBR023C	137	201
YBR024W	338	123
YBR025C	119	749
YBR026C	82	129
YBR027C	985	0
YBR028C	88	178
YBR029C	110	141
YBR030W	271	120
YBR031W	48	196
YBR032W	0	0
YBR033W	684	85
YBR034C	60	546
YBR035C	378	132
YBR036C	41	335
YBR037C	59	72
YBR038W	40	189
YBR039W	90	438
YBR040W	0	0
YBR041W	108	148
YBR042C	56	136
YBR043C	148	154
YBR044C	82	75
YBR045C	975	141
YBR046C	40	433
YBR047W	544	133
YBR048W	14	425
YBR049C	148	245
YBR050C	260	39
YBR051W	844	15
YBR052C	70	187
YBR053C	14	342
YBR054W	319	448
YBR055C	86	112
YBR056C-B	0	0
YBR056W	69	48
YBR056W-A	159	437
YBR057C	111	137
YBR058C	73	31
YBR058C-A	213	244
YBR059C	122	98
YBR060C	123	62
YBR061C	18	611
YBR062C	576	112
YBR063C	1372	61
YBR064W	984	493
YBR065C	55	584
YBR066C	304	104
YBR067C	384	137
YBR068C	76	222
YBR069C	168	159
YBR070C	67	119
YBR071W	215	275
YBR072C-A	0	0
YBR072W	181	167
YBR073W	15	64
YBR074W	13	114
YBR076C-A	727	1221
YBR076W	121	201
YBR077C	540	220
YBR078W	175	641
YBR079C	24	151
YBR080C	35	149
YBR081C	135	76
YBR082C	107	526
YBR083W	221	91
YBR084C-A	200	122
YBR084W	61	198
YBR085C-A	573	376
YBR085W	554	161
YBR086C	318	124
YBR087W	162	57
YBR088C	49	199
YBR089C-A	47	243
YBR089W	306	254
YBR090C	451	327
YBR091C	40	185
YBR092C	1742	52
YBR093C	853	59
YBR094W	65	121
YBR095C	73	92
YBR096W	79	162
YBR097W	45	82
YBR098W	102	161
YBR099C	586	170
YBR101C	691	840
YBR102C	67	133
YBR103C-A	99	401
YBR103W	212	61
YBR104W	109	468
YBR105C	135	159
YBR106W	56	600
YBR107C	241	565
YBR108W	119	196
YBR109C	44	339
YBR109W-A	109	322
YBR110W	257	125
YBR111C	272	76
YBR111W-A	33	177
YBR112C	174	253
YBR113W	0	0
YBR114W	87	171
YBR115C	80	142
YBR116C	929	0
YBR117C	643	152
YBR118W	206	100
YBR119W	309	264
YBR120C	147	243
YBR121C	198	113
YBR121C-A	870	1075
YBR122C	557	201
YBR123C	62	71
YBR124W	0	0
YBR125C	195	139
YBR126C	159	134
YBR126W-A	0	0
YBR126W-B	13	223
YBR127C	163	175
YBR128C	56	105
YBR129C	44	159
YBR130C	68	112
YBR131C-A	0	0
YBR131W	29	225
YBR132C	407	302
YBR133C	158	305
YBR134W	0	0
YBR135W	102	273
YBR136W	9	200
YBR137W	109	217
YBR138C	73	151
YBR139W	5	209
YBR140C	289	102
YBR141C	44	167
YBR141W-A	218	460
YBR142W	82	204
YBR143C	102	203
YBR144C	0	0
YBR145W	78	304
YBR146W	62	466
YBR147W	147	417
YBR148W	83	87
YBR149W	62	280
YBR150C	20	77
YBR151W	148	227
YBR152W	0	0
YBR153W	914	221
YBR154C	140	100
YBR155W	511	89
YBR156C	77	178
YBR157C	849	128
YBR158W	262	155
YBR159W	52	165
YBR160W	146	602
YBR161W	338	238
YBR162C	237	371
YBR162W-A	370	84
YBR163W	341	57
YBR164C	125	444
YBR165W	110	151
YBR166C	78	109
YBR167C	611	20
YBR168W	288	156
YBR169C	127	171
YBR170C	38	286
YBR171W	33	192
YBR172C	128	137
YBR173C	30	225
YBR174C	841	163
YBR175W	671	108
YBR176W	115	162
YBR177C	61	243
YBR178W	0	0
YBR179C	64	75
YBR180W	0	0
YBR181C	38	235
YBR182C	221	287
YBR182C-A	293	414
YBR183W	98	125
YBR184W	14	92
YBR185C	57	184
YBR186W	0	168
YBR187W	974	125
YBR188C	79	1163
YBR189W	25	406
YBR190W	0	0
YBR191W	21	110
YBR191W-A	848	56
YBR192W	213	277
YBR193C	184	472
YBR194W	125	238
YBR195C	79	143
YBR196C	93	192
YBR196C-A	413	108
YBR196C-B	0	0
YBR197C	1495	431
YBR198C	85	95
YBR199W	98	303
YBR200W	62	248
YBR200W-A	0	0
YBR201C-A	721	187
YBR201W	143	709
YBR202W	95	176
YBR203W	184	135
YBR204C	67	254
YBR205W	36	104
YBR206W	963	101
YBR207W	84	194
YBR208C	0	141
YBR209W	0	0
YBR210W	219	127
YBR211C	101	128
YBR212W	447	209
YBR213W	117	198
YBR214W	109	192
YBR215W	73	464
YBR216C	46	293
YBR217W	63	327
YBR218C	149	133
YBR219C	955	127
YBR220C	183	260
YBR221C	220	308
YBR221W-A	0	367
YBR222C	51	116
YBR223C	22	259
YBR223W-A	319	918
YBR224W	0	0
YBR225W	104	251
YBR226C	651	945
YBR227C	91	128
YBR228W	306	152
YBR229C	28	130
YBR230C	220	34
YBR230W-A	410	131
YBR231C	54	281
YBR232C	0	0
YBR233W	142	163
YBR233W-A	42	351
YBR234C	61	156
YBR235W	91	98
YBR236C	46	224
YBR237W	52	103
YBR238C	72	499
YBR239C	211	110
YBR240C	185	178
YBR241C	118	156
YBR242W	196	260
YBR243C	110	592
YBR244W	579	127
YBR245C	0	129
YBR246W	57	142
YBR247C	32	279
YBR248C	104	183
YBR249C	125	284
YBR250W	0	0
YBR251W	79	148
YBR252W	17	298
YBR253W	69	98
YBR254C	12	194
YBR255C-A	59	133
YBR255W	35	146
YBR256C	38	467
YBR257W	302	145
YBR258C	74	446
YBR259W	59	134
YBR260C	83	131
YBR261C	36	180
YBR262C	43	127
YBR263W	48	182
YBR264C	441	43
YBR265W	471	134
YBR266C	769	101
YBR267W	166	123
YBR268W	29	190
YBR269C	70	275
YBR270C	291	39
YBR271W	257	101
YBR272C	29	245
YBR273C	30	110
YBR274W	41	247
YBR275C	146	134
YBR276C	125	88
YBR277C	490	15
YBR278W	24	196
YBR279W	40	157
YBR280C	17	182
YBR281C	40	129
YBR282W	802	92
YBR283C	189	242
YBR284W	242	176
YBR285W	150	141
YBR286W	27	141
YBR287W	90	228
YBR288C	455	75
YBR289W	25	60
YBR290W	30	176
YBR291C	75	268
YBR292C	756	0
YBR293W	94	201
YBR294W	723	332
YBR295W	98	29
YBR296C	210	164
YBR296C-A	0	0
YBR297W	52	229
YBR298C	411	92
YBR298C-A	0	0
YBR299W	196	130
YBR300C	297	282
YBR301W	0	0
YBR302C	4	44
YCL001W	107	101
YCL001W-A	0	0
YCL001W-B	0	0
YCL002C	893	545
YCL004W	148	81
YCL005W	281	142
YCL005W-A	81	122
YCL007C	179	97
YCL008C	52	152
YCL009C	66	147
YCL010C	17	1471
YCL011C	970	109
YCL012C	136	154
YCL014W	108	110
YCL016C	147	146
YCL017C	114	363
YCL018W	144	175
YCL019W	39	315
YCL021W-A	920	311
YCL022C	307	774
YCL023C	0	0
YCL024W	55	97
YCL025C	103	83
YCL026C-A	126	211
YCL026C-B	98	74
YCL027W	184	89
YCL028W	58	381
YCL029C	98	255
YCL030C	59	154
YCL031C	68	118
YCL032W	373	103
YCL033C	184	72
YCL034W	49	119
YCL035C	114	190
YCL036W	51	138
YCL037C	66	675
YCL038C	100	129
YCL039W	33	72
YCL040W	50	315
YCL041C	0	0
YCL042W	0	427
YCL043C	102	99
YCL044C	101	173
YCL045C	63	59
YCL046W	0	0
YCL047C	23	239
YCL048W	0	0
YCL048W-A	0	0
YCL049C	178	261
YCL050C	650	117
YCL051W	308	116
YCL052C	368	189
YCL054W	42	117
YCL054W-A	0	0
YCL055W	35	178
YCL056C	172	453
YCL057C-A	274	142
YCL057W	7	186
YCL058C	0	0
YCL058W-A	50	116
YCL059C	245	110
YCL061C	54	174
YCL063W	63	149
YCL064C	28	517
YCL065W	0	0
YCL066W	0	0
YCL067C	0	0
YCL068C	0	0
YCL069W	0	0
YCL073C	0	0
YCL076W	0	0
YCR001W	0	0
YCR002C	54	420
YCR003W	21	179
YCR004C	199	399
YCR005C	546	279
YCR006C	0	0
YCR007C	799	164
YCR008W	481	267
YCR009C	72	681
YCR010C	354	181
YCR011C	157	59
YCR012W	121	164
YCR013C	130	96
YCR014C	870	21
YCR015C	314	80
YCR016W	31	289
YCR017C	68	189
YCR018C	0	151
YCR018C-A	37	0
YCR019W	278	116
YCR020C	397	94
YCR020C-A	22	416
YCR020W-B	57	515
YCR021C	112	178
YCR022C	263	279
YCR023C	87	343
YCR024C	155	117
YCR024C-A	207	314
YCR024C-B	197	198
YCR025C	621	23
YCR026C	257	239
YCR027C	190	634
YCR028C	117	800
YCR028C-A	77	291
YCR030C	959	370
YCR031C	27	918
YCR032W	116	82
YCR033W	214	171
YCR034W	53	322
YCR035C	322	151
YCR036W	43	184
YCR037C	32	103
YCR038C	18	108
YCR038W-A	0	0
YCR039C	0	41
YCR040W	0	0
YCR041W	2	224
YCR042C	77	84
YCR043C	48	239
YCR044C	17	161
YCR045C	362	162
YCR045W-A	622	813
YCR046C	225	110
YCR047C	126	200
YCR047W-A	782	93
YCR048W	53	214
YCR049C	0	0
YCR050C	196	752
YCR051W	111	258
YCR052W	113	226
YCR053W	126	151
YCR054C	98	228
YCR057C	94	115
YCR059C	26	248
YCR060W	44	122
YCR061W	526	356
YCR063W	118	480
YCR064C	1	29
YCR065W	224	325
YCR066W	49	181
YCR067C	118	90
YCR068W	134	50
YCR069W	1197	120
YCR071C	37	252
YCR072C	41	121
YCR073C	55	74
YCR073W-A	22	123
YCR075C	21	146
YCR075W-A	240	83
YCR076C	21	222
YCR077C	41	194
YCR079W	57	125
YCR081C-A	769	526
YCR081W	11	719
YCR082W	1213	106
YCR083W	34	137
YCR084C	226	311
YCR085W	0	0
YCR086W	262	52
YCR087C-A	417	62
YCR087W	49	2
YCR088W	415	132
YCR089W	284	65
YCR090C	418	74
YCR091W	73	163
YCR092C	45	159
YCR093W	17	117
YCR094W	51	511
YCR095C	56	94
YCR095W-A	162	1406
YCR096C	0	0
YCR097W	43	28
YCR097W-A	0	0
YCR098C	237	240
YCR099C	948	242
YCR100C	766	675
YCR101C	0	0
YCR102C	185	270
YCR102W-A	0	0
YCR104W	0	0
YCR105W	829	54
YCR106W	0	0
YCR107W	408	127
YCR108C	0	0
YDL001W	73	133
YDL002C	97	530
YDL003W	126	131
YDL004W	53	388
YDL005C	58	222
YDL006W	373	228
YDL007C-A	0	0
YDL007W	46	143
YDL008W	68	141
YDL009C	53	332
YDL010W	32	408
YDL011C	0	0
YDL012C	554	174
YDL013W	160	113
YDL014W	148	258
YDL015C	65	243
YDL016C	965	878
YDL017W	95	117
YDL018C	72	272
YDL019C	200	151
YDL020C	243	159
YDL021W	69	185
YDL022C-A	0	0
YDL022W	142	228
YDL023C	964	26
YDL024C	279	267
YDL025C	866	181
YDL025W-A	206	278
YDL026W	251	176
YDL027C	45	196
YDL028C	175	159
YDL029W	22	343
YDL030W	143	90
YDL031W	55	136
YDL032W	0	0
YDL033C	38	254
YDL034W	0	0
YDL035C	283	143
YDL036C	200	225
YDL037C	0	0
YDL039C	991	101
YDL040C	68	113
YDL041W	33	419
YDL042C	82	119
YDL043C	42	443
YDL044C	550	75
YDL045C	184	128
YDL045W-A	219	127
YDL046W	84	377
YDL047W	230	278
YDL048C	49	137
YDL049C	169	258
YDL050C	89	318
YDL051W	105	261
YDL052C	52	280
YDL053C	212	189
YDL054C	121	86
YDL055C	151	317
YDL056W	86	77
YDL057W	52	212
YDL058W	404	137
YDL059C	132	259
YDL060W	9	19
YDL061C	55	324
YDL062W	0	0
YDL063C	221	244
YDL064W	823	122
YDL065C	96	114
YDL066W	165	499
YDL067C	280	227
YDL068W	498	239
YDL069C	148	125
YDL070W	258	167
YDL071C	0	0
YDL072C	452	88
YDL073W	152	56
YDL074C	71	134
YDL075W	154	106
YDL076C	146	226
YDL077C	169	69
YDL078C	378	92
YDL079C	259	120
YDL080C	177	172
YDL081C	66	371
YDL082W	28	386
YDL083C	1693	134
YDL084W	168	307
YDL085C-A	4124	439
YDL085W	36	77
YDL086C-A	342	354
YDL086W	193	84
YDL087C	242	965
YDL088C	381	155
YDL089W	322	76
YDL090C	492	55
YDL091C	94	121
YDL092W	41	204
YDL093W	78	271
YDL094C	19	266
YDL095W	29	398
YDL096C	0	0
YDL097C	57	163
YDL098C	88	137
YDL099W	58	599
YDL100C	44	156
YDL101C	48	297
YDL102W	73	126
YDL103C	66	224
YDL104C	288	139
YDL105W	40	536
YDL106C	300	94
YDL107W	70	204
YDL108W	339	52
YDL109C	342	910
YDL110C	786	164
