panel	window_gene	feature_gene	feature_class	strand	end_final	end_nagalakshmi	start_final	start_nagalakshmi	status
Fig1B	YBL091C	YBL089W	five_prime_UTR	+	49573.0	49573.0	49559.0	49559.0	identical
Fig1B	YBL091C	YBL090W	five_prime_UTR	+	48824.0	48824.0	48786.0	48786.0	identical
Fig1B	YBL091C	YBL090W	three_prime_UTR	+	49577.0	49577.0	49359.0	49359.0	identical
Fig1B	YBL091C	YBL091C	five_prime_UTR	-	48649.0	48636.0	48629.0	48629.0	different
Fig1B	YBL091C	YBL091C	three_prime_UTR	-	47362.0	47362.0	47011.0	47011.0	identical
Fig1B	YBL091C	YBL091C-A	five_prime_UTR	-	47258.0	47185.0	47181.0	47181.0	different
Fig1B	YBL091C	YBL091C-A	three_prime_UTR	-	46564.0	46564.0	46323.0	46323.0	identical
Fig1B	YBL091C	YBL092W	three_prime_UTR	+	46522.0	46514.0	46371.0	46371.0	different
S1A	YFR008W	YFR007W	three_prime_UTR	+	160429.0	160429.0	160361.0	160361.0	identical
S1A	YFR008W	YFR008W	five_prime_UTR	+	160534.0	160534.0	160197.0	160197.0	identical
S1A	YFR008W	YFR008W	three_prime_UTR	+	161549.0	161547.0	161201.0	161201.0	different
S1B	YOR110W	YOR109W	three_prime_UTR	+	528831.0		528602.0		final_only
S1B	YOR110W	YOR110W	five_prime_UTR	+	528940.0	528940.0	528787.0	528865.0	different
S1B	YOR110W	YOR110W	three_prime_UTR	+	530380.0	530380.0	530249.0	530249.0	identical
S1B	YOR110W	YOR111W	five_prime_UTR	+	530428.0	530428.0	530311.0	530390.0	different
S1B	YOR110W	YOR111W	three_prime_UTR	+	531451.0	531451.0	531128.0	531128.0	identical
S1B	YOR110W	YOR112W	five_prime_UTR	+	531507.0		530606.0		final_only
S1C	YBR084W	YBR083W	three_prime_UTR	+	410720.0	410708.0	410630.0	410630.0	different
S1C	YBR084W	YBR084C-A	three_prime_UTR	-	414185.0	414185.0	414064.0	414064.0	identical
S1C	YBR084W	YBR084W	five_prime_UTR	+	411053.0	411053.0	410993.0	410993.0	identical
S1C	YBR084W	YBR084W	three_prime_UTR	+	414180.0	414180.0	413982.0	413982.0	identical
S1D	YCL045C	YCL044C	three_prime_UTR	-	47110.0	47110.0	46938.0	46938.0	identical
S1D	YCL045C	YCL045C	five_prime_UTR	-	46969.0	46969.0	46906.0	46906.0	identical
S1D	YCL045C	YCL045C	three_prime_UTR	-	44622.0	44622.0	44562.0	44567.0	different
S1D	YCL045C	YCL047C	five_prime_UTR	-	44446.0	44440.0	44438.0	44438.0	different
S1D	YCL045C	YCL047C	three_prime_UTR	-	43660.0	43660.0	43422.0	43422.0	identical
S1E	YCR015C	YCR014C	five_prime_UTR	-	141138.0		140934.0		final_only
S1E	YCR015C	YCR015C	five_prime_UTR	-	142485.0	142485.0	142171.0	142171.0	identical
S1E	YCR015C	YCR015C	three_prime_UTR	-	141216.0	141216.0	141136.0	141144.0	different
S1F	YDL167C	YDL166C	five_prime_UTR	-	164123.0	164123.0	164043.0	164043.0	identical
S1F	YDL167C	YDL166C	three_prime_UTR	-	163448.0	163448.0	163309.0	163309.0	identical
S1F	YDL167C	YDL167C	five_prime_UTR	-	163204.0	163197.0	163155.0	163155.0	different
S1F	YDL167C	YDL167C	three_prime_UTR	-	160994.0	160994.0	160754.0	160754.0	identical
S1F	YDL167C	YDL168W	three_prime_UTR	+	160977.0	160977.0	160765.0	160765.0	identical
S1G	YDR376W	YDR375C	five_prime_UTR	-	1226579.0	1226579.0	1226537.0	1226537.0	identical
S1G	YDR376W	YDR376W	five_prime_UTR	+	1226821.0	1226821.0	1226730.0	1226730.0	identical
S1G	YDR376W	YDR376W	three_prime_UTR	+	1228469.0	1228469.0	1228304.0	1228304.0	identical
S1G	YDR376W	YDR377W	five_prime_UTR	+	1228610.0	1228610.0	1228528.0	1228532.0	different
S1G	YDR376W	YDR377W	three_prime_UTR	+	1229643.0	1229643.0	1228917.0	1228917.0	identical
S1G	YDR376W	YDR378C	three_prime_UTR	-	1229348.0	1229348.0	1229141.0	1229141.0	identical
S1H	YGL103W	YGL101W	five_prime_UTR	+	312192.0	312192.0	312148.0	312148.0	identical
S1H	YGL103W	YGL101W	three_prime_UTR	+	313116.0	313116.0	312841.0	312841.0	identical
S1H	YGL103W	YGL103W	five_prime_UTR	+	310966.0	310966.0	308492.0	308492.0	identical
S1H	YGL103W	YGL103W	three_prime_UTR	+	312016.0	311999.0	311928.0	311928.0	different
S1H	YGL103W	YGL104C	five_prime_UTR	-	310215.0	310189.0	310174.0	310174.0	different
