position	mean_coverage	sem_coverage	n_transcripts
-1000	0.578578	0.294645	4696
-999	0.594123	0.298281	4696
-998	0.579855	0.287937	4696
-997	0.592845	0.295446	4696
-996	0.593910	0.287143	4696
-995	0.592206	0.291726	4696
-994	0.603705	0.295467	4696
-993	0.599872	0.295265	4696
-992	0.591993	0.295665	4696
-991	0.595613	0.294174	4696
-990	0.601150	0.292901	4696
-989	0.595613	0.289580	4696
-988	0.609029	0.294552	4696
-987	0.607112	0.292977	4696
-986	0.598595	0.286434	4696
-985	0.602215	0.286668	4696
-984	0.610307	0.283023	4696
-983	0.629259	0.290643	4696
-982	0.625000	0.288389	4696
-981	0.600511	0.267122	4696
-980	0.595187	0.262823	4696
-979	0.604131	0.272145	4696
-978	0.626278	0.285039	4696
-977	0.623935	0.284905	4696
-976	0.625639	0.281215	4696
-975	0.625000	0.276758	4696
-974	0.636712	0.286908	4696
-973	0.638203	0.288211	4696
-972	0.638203	0.289432	4696
-971	0.645656	0.289561	4696
-970	0.642249	0.290402	4696
-969	0.643739	0.290312	4696
-968	0.648211	0.289755	4696
-967	0.629472	0.285823	4696
-966	0.637138	0.285129	4696
-965	0.620528	0.266336	4696
-964	0.638629	0.272476	4696
-963	0.584753	0.224059	4696
-962	0.576874	0.215251	4696
-961	0.660988	0.282218	4696
-960	0.653961	0.280166	4696
-959	0.652683	0.279364	4696
-958	0.639267	0.271285	4696
-957	0.632240	0.271502	4696
-956	0.636712	0.273739	4696
-955	0.655451	0.280534	4696
-954	0.663118	0.281354	4696
-953	0.660562	0.279134	4696
-952	0.652470	0.276844	4696
-951	0.656942	0.279974	4696
-950	0.659284	0.280700	4696
-949	0.667376	0.279117	4696
-948	0.669080	0.279808	4696
-947	0.668867	0.279653	4696
-946	0.670358	0.278425	4696
-945	0.675256	0.279574	4696
-944	0.666525	0.276037	4696
-943	0.663969	0.278696	4696
-942	0.666312	0.274604	4696
-941	0.669719	0.278375	4696
-940	0.667164	0.276278	4696
-939	0.670571	0.278749	4696
-938	0.671848	0.278557	4696
-937	0.676959	0.278766	4696
-936	0.675043	0.278584	4696
-935	0.674830	0.276298	4696
-934	0.660562	0.268966	4696
-933	0.654387	0.258759	4696
-932	0.659072	0.267316	4696
-931	0.645017	0.247979	4696
-930	0.674191	0.272529	4696
-929	0.722530	0.261050	4696
-928	0.734029	0.279265	4696
-927	0.756601	0.286496	4696
-926	0.785988	0.296249	4696
-925	0.786414	0.297371	4696
-924	0.801107	0.301352	4696
-923	0.805153	0.300786	4696
-922	0.777470	0.274371	4696
-921	0.829003	0.298033	4696
-920	1.476150	0.776232	4696
-919	1.533007	0.796397	4696
-918	1.550468	0.805292	4696
-917	1.814310	1.031817	4696
-916	1.851789	1.053608	4696
-915	1.884370	1.078859	4696
-914	1.955494	1.141345	4696
-913	1.957198	1.140289	4696
-912	1.975085	1.142491	4696
-911	1.899702	1.161276	4696
-910	1.983603	1.180626	4696
-909	2.048765	1.177968	4696
-908	2.095400	1.204761	4696
-907	2.106048	1.208826	4696
-906	2.104983	1.210800	4696
-905	2.070911	1.181040	4696
-904	2.044932	1.153115	4696
-903	2.074106	1.178841	4696
-902	2.090928	1.183892	4696
-901	2.115204	1.211450	4696
-900	2.111584	1.218445	4696
-899	2.134370	1.226436	4696
-898	2.086031	1.179003	4696
-897	2.218910	1.324451	4696
-896	2.207198	1.287508	4696
-895	2.199532	1.277795	4696
-894	2.270656	1.350570	4696
-893	2.303450	1.382871	4696
-892	2.316865	1.393931	4696
-891	2.326022	1.424681	4696
-890	2.360945	1.421706	4696
-889	2.422700	1.467774	4696
-888	2.423339	1.459455	4696
-887	2.429514	1.478324	4696
-886	2.448680	1.483413	4696
-885	2.375852	1.489496	4696
-884	2.429727	1.468795	4696
-883	2.477853	1.497049	4696
-882	2.256814	1.273898	4696
-881	2.130750	1.171691	4696
-880	2.316652	1.342317	4696
-879	2.270017	1.294265	4696
-878	2.343058	1.361288	4696
-877	2.174191	1.181558	4696
-876	2.195060	1.213019	4696
-875	2.376278	1.387484	4696
-874	2.395443	1.398887	4696
-873	2.355409	1.369081	4696
-872	2.525341	1.515955	4696
-871	2.540460	1.533694	4696
-870	2.573254	1.555060	4696
-869	2.385647	1.407524	4696
-868	2.446337	1.417720	4696
-867	2.553876	1.503827	4696
-866	2.545358	1.498511	4696
-865	2.451661	1.408843	4696
-864	2.562394	1.540934	4696
-863	2.535988	1.517885	4696
-862	2.541738	1.515197	4696
-861	2.524702	1.461906	4696
-860	2.473169	1.414257	4696
-859	2.416099	1.388831	4696
-858	2.648424	1.584261	4696
-857	2.568782	1.501274	4696
-856	2.656303	1.590312	4696
-855	2.669293	1.590688	4696
-854	2.649915	1.591108	4696
-853	2.731474	1.641029	4696
-852	2.743612	1.643654	4696
-851	2.751065	1.645815	4696
-850	2.690375	1.603187	4696
-849	2.754472	1.647815	4696
-848	2.709966	1.599107	4696
-847	2.763416	1.675869	4696
-846	2.784072	1.669752	4696
-845	2.809412	1.696588	4696
-844	2.808560	1.699774	4696
-843	2.825383	1.704307	4696
-842	2.802172	1.702592	4696
-841	2.837734	1.707383	4696
-840	2.818356	1.706096	4696
-839	2.819634	1.701882	4696
-838	2.849446	1.710865	4696
-837	2.849659	1.706313	4696
-836	2.787266	1.649112	4696
-835	2.863714	1.719057	4696
-834	2.858390	1.714295	4696
-833	2.862862	1.715690	4696
-832	2.733177	1.707711	4696
-831	2.775767	1.721357	4696
-830	2.869676	1.730962	4696
-829	2.789821	1.655401	4696
-828	2.821976	1.671561	4696
-827	2.895869	1.741384	4696
-826	2.757453	1.637710	4696
-825	2.886286	1.749104	4696
-824	2.875852	1.753349	4696
-823	2.913330	1.758629	4696
-822	2.959753	1.781351	4696
-821	2.992973	1.805471	4696
-820	2.961882	1.791123	4696
-819	2.960818	1.792550	4696
-818	2.963373	1.802998	4696
-817	2.976150	1.813623	4696
-816	3.010647	1.821070	4696
-815	2.935903	1.754952	4696
-814	3.017675	1.818659	4696
-813	3.039821	1.870175	4696
-812	3.067504	1.874577	4696
-811	3.081985	1.884019	4696
-810	3.091993	1.908831	4696
-809	3.051107	1.886612	4696
-808	3.048765	1.900772	4696
-807	3.113288	1.907913	4696
-806	2.980409	1.783581	4696
-805	3.043441	1.824446	4696
-804	2.959753	1.744252	4696
-803	3.035349	1.830195	4696
-802	3.125000	1.923799	4696
-801	3.133518	1.916734	4696
-800	3.144804	1.941250	4696
-799	3.167802	1.962128	4696
-798	3.121593	1.929326	4696
-797	3.145443	1.977901	4696
