gene	unagi_five	unagi_three
YAL001C	38.0	97.0
YAL002W	159.0	103.0
YAL003W	223.0	230.0
YAL005C	71.0	139.0
YAL007C	105.0	176.0
YAL008W	48.0	135.0
YAL009W	42.0	117.0
YAL010C	50.0	115.0
YAL011W	58.0	100.0
YAL012W	64.0	99.0
YAL013W	61.0	107.0
YAL014C	53.0	148.0
YAL015C	974.0	130.0
YAL016W	97.0	70.0
YAL017W	367.0	189.0
YAL018C		135.0
YAL019W	133.0	72.0
YAL020C	4.0	80.0
YAL021C	52.0	233.0
YAL022C	16.0	129.0
YAL023C	117.0	119.0
YAL024C	84.0	193.0
YAL025C	23.0	225.0
YAL026C	86.0	149.0
YAL027W	1948.0	1190.0
YAL028W	161.0	2176.0
YAL029C	223.0	84.0
YAL030W	49.0	144.0
YAL031C	47.0	47.0
YAL032C	48.0	138.0
YAL033W	48.0	102.0
YAL034C	56.0	149.0
YAL034W-A	21.0	92.0
YAL035W	43.0	134.0
YAL036C	47.0	43.0
YAL037C-A	107.0	1667.0
YAL037W	143.0	140.0
YAL038W	140.0	166.0
YAL039C	56.0	68.0
YAL040C	365.0	418.0
YAL041W	69.0	95.0
YAL042W	58.0	84.0
YAL043C	206.0	78.0
YAL044C	14.0	87.0
YAL044W-A	12.0	109.0
YAL046C	39.0	120.0
YAL047C	29.0	50.0
YAL048C	10.0	1090.0
YAL049C	66.0	144.0
YAL051W	57.0	168.0
YAL053W	202.0	61.0
YAL054C	79.0	196.0
YAL055W	29.0	74.0
YAL056W	59.0	101.0
YAL058W	72.0	43.0
YAL059W		207.0
YAL060W	1206.0	118.0
YAL061W	103.0	217.0
YAL062W	459.0	93.0
YAL063C	297.0	82.0
YAL063C-A	954.0	421.0
YAL064W-B	715.0	1332.0
YAL065C		149.0
YAL067C	260.0	230.0
YAR002C-A	43.0	93.0
YAR002W	49.0	215.0
YAR003W	85.0	574.0
YAR007C	79.0	60.0
YAR008W	119.0	98.0
YAR009C	1732.0	342.0
YAR010C	53.0	3188.0
YAR014C	159.0	177.0
YAR015W	103.0	98.0
YAR018C	35.0	209.0
YAR019C	54.0	128.0
YAR020C	1739.0	374.0
YAR023C	236.0	394.0
YAR027W	82.0	178.0
YAR028W	61.0	1208.0
YAR029W	1080.0	266.0
YAR031W		143.0
YAR033W	63.0	86.0
YAR035C-A		2188.0
YAR035W	58.0	110.0
YAR042W	65.0	912.0
YAR050W	2756.0	75.0
YAR066W	81.0	1374.0
YAR068W	1438.0	143.0
YAR071W	240.0	61.0
YBL001C	70.0	91.0
YBL002W	34.0	195.0
YBL003C	35.0	180.0
YBL004W	125.0	61.0
YBL005W	119.0	450.0
YBL005W-A		2385.0
YBL005W-B		314.0
YBL006C	31.0	175.0
YBL007C	57.0	167.0
YBL008W	135.0	83.0
YBL008W-A		2284.0
YBL009W	53.0	136.0
YBL010C	30.0	201.0
YBL011W	609.0	203.0
YBL013W	66.0	331.0
YBL014C	486.0	142.0
YBL015W	103.0	280.0
YBL016W	462.0	132.0
YBL017C	600.0	75.0
YBL018C	55.0	61.0
YBL019W	46.0	266.0
YBL020W	174.0	90.0
YBL021C	47.0	173.0
YBL022C	127.0	85.0
YBL023C	53.0	223.0
