gene_a	gene_b	strand_a	strand_b	same_strand	geometry	overlap_nt	overlap_into_orf_nt
YNR068C	YNR069C	-	-	True	tandem	1619	698
YBR136W	YBR137W	+	+	True	tandem	1550	580
YNL170W	YNL172W	+	+	True	tandem	1188	868
YMR167W	YMR168C	+	-	False	convergent	1172	570
YLR154W-C	YLR154W-E	+	+	True	tandem	1050	375
YML002W	YML003W	+	+	True	tandem	1048	436
YBL062W	YBL063W	+	+	True	tandem	1025	904
YKL020C	YKL021C	-	-	True	tandem	987	914
YPL191C	YPL192C	-	-	True	tandem	960	405
YKL021C	YKL022C	-	-	True	tandem	919	807
YBL048W	YBL049W	+	+	True	tandem	886	417
YLR070C	YLR071C	-	-	True	tandem	882	737
YNR063W	YNR064C	+	-	False	convergent	878	630
YJL077W-A	YJL078C	+	-	False	divergent	877	125
YMR147W	YMR149W	+	+	True	tandem	860	684
YMR148W	YMR149W	+	+	True	tandem	860	447
YNL261W	YNL262W	+	+	True	tandem	859	687
YKR046C	YKR047W	-	+	False	divergent	845	807
YDL220C	YDL222C	-	-	True	tandem	827	445
YPL193W	YPL194W	+	+	True	tandem	814	578
YKL157W	YKL160W	+	+	True	tandem	808	0
YEL019C	YEL020C	-	-	True	tandem	791	637
YOR192C-B	YOR192C-C	-	-	True	tandem	784	784
YKR103W	YKR104W	+	+	True	tandem	782	782
YGL223C	YGL224C	-	-	True	tandem	770	628
YNR065C	YNR066C	-	-	True	tandem	760	760
YLR172C	YLR173W	-	+	False	divergent	735	698
YBL095W	YBL097W	+	+	True	tandem	725	725
YHR035W	YHR036W	+	+	True	tandem	723	521
YMR063W	YMR064W	+	+	True	tandem	720	720
YHR070W	YHR071W	+	+	True	tandem	710	163
YHR165C	YHR166C	-	-	True	tandem	686	530
YLR115W	YLR116W	+	+	True	tandem	683	533
YJR088C	YJR089W	-	+	False	divergent	676	347
YMR094W	YMR095C	+	-	False	convergent	675	675
YNL053W	YNL054W	+	+	True	tandem	670	395
YMR074C	YMR075W	-	+	False	divergent	647	351
YJL117W	YJL119C	+	-	False	divergent	646	198
YJL088W	YJL089W	+	+	True	tandem	630	289
YJL050W	YJL051W	+	+	True	tandem	625	410
YBR101C	YBR102C	-	-	True	tandem	607	474
YAL020C	YAL021C	-	-	True	tandem	587	442
YOR026W	YOR027W	+	+	True	tandem	583	381
YOR295W	YOR296W	+	+	True	tandem	582	348
YBL005W	YBL006W-A	+	+	True	tandem	574	18
YER174C	YER175W-A	-	+	False	divergent	574	0
YKL083W	YKL085W	+	+	True	tandem	567	175
YDR359C	YDR361C	-	-	True	tandem	561	200
YLR030W	YLR031W	+	+	True	tandem	561	561
YPL055C	YPL057C	-	-	True	tandem	557	11
YKR043C	YKR044W	-	+	False	divergent	556	529
YDL221W	YDL222C	+	-	False	divergent	552	552
YML075C	YML076C	-	-	True	tandem	538	427
YER054C	YER055C	-	-	True	tandem	528	0
YMR069W	YMR070W	+	+	True	tandem	527	327
YPR173C	YPR174C	-	-	True	tandem	519	363
YBR140C	YBR141C	-	-	True	tandem	517	350
YBR107C	YBR108W	-	+	False	divergent	515	446
YGR093W	YGR094W	+	+	True	tandem	512	388
YPR187W	YPR189W	+	+	True	tandem	511	0
YLR358C	YLR359W	-	+	False	divergent	506	506
YDL122W	YDL123W	+	+	True	tandem	504	11
YMR218C	YMR219W	-	+	False	divergent	500	480
YGL258W-A	YGL259W	+	+	True	tandem	498	498
YJR139C	YJR140C	-	-	True	tandem	498	261
YLR284C	YLR285W	-	+	False	divergent	490	468
YGR274C	YGR275W	-	+	False	divergent	489	458
YDR525W-A	YDR527W	+	+	True	tandem	488	240
YHR054C	YHR054W-A	-	+	False	divergent	486	412
YBL054W	YBL055C	+	-	False	divergent	485	90
YDR441C	YDR443C	-	-	True	tandem	481	145
YCR005C	YCR006C	-	-	True	tandem	474	474
YNL094W	YNL095C	+	-	False	divergent	474	209
YDL037C	YDL039C	-	-	True	tandem	473	473
YNL203C	YNL204C	-	-	True	tandem	469	469
YOR301W	YOR303W	+	+	True	tandem	469	14
YDL171C	YDL172C	-	-	True	tandem	463	335
YER128W	YER129W	+	+	True	tandem	463	0
YPL164C	YPL165C	-	-	True	tandem	463	190
YOR273C	YOR274W	-	+	False	divergent	450	0
YBR150C	YBR151W	-	+	False	divergent	445	297
YPR188C	YPR189W	-	+	False	divergent	438	393
YLR121C	YLR122C	-	-	True	tandem	437	0
YLR310C	YLR311C	-	-	True	tandem	436	95
YKL157W	YKL159C	+	-	False	divergent	435	315
YDR268W	YDR270W	+	+	True	tandem	433	323
YML037C	YML038C	-	-	True	tandem	431	431
YBR140C	YBR141W-A	-	+	False	divergent	426	96
YPR145C-A	YPR146C	-	-	True	tandem	422	63
YEL041W	YEL042W	+	+	True	tandem	418	0
YOR035C	YOR036W	-	+	False	divergent	415	359
YNL202W	YNL204C	+	-	False	divergent	414	330
YLR176C	YLR177W	-	+	False	divergent	413	0
YLR368W	YLR369W	+	+	True	tandem	409	363
YDR246W-A	YDR247W	+	+	True	tandem	406	75
YCR106W	YCR107W	+	+	True	tandem	399	399
YNL148C	YNL150W	-	+	False	convergent	398	398
YIR017C	YIR018W	-	+	False	divergent	395	137
YGR134W	YGR135W	+	+	True	tandem	394	224
YEL004W	YEL005C	+	-	False	divergent	366	310
YGL153W	YGL154C	+	-	False	divergent	365	304
YLR168C	YLR171W	-	+	False	divergent	354	354
YJL067W	YJL068C	+	-	False	divergent	351	351
YIL064W	YIL065C	+	-	False	divergent	350	275
YHL005C	YHL007C	-	-	True	tandem	346	0
YLR122C	YLR124W	-	+	False	divergent	345	345
YHR172W	YHR173C	+	-	False	convergent	339	339
YJR053W	YJR054W	+	+	True	tandem	338	338
YOR307C	YOR308C	-	-	True	tandem	336	150
YLR111W	YLR112W	+	+	True	tandem	333	333
YOL107W	YOL108C	+	-	False	divergent	330	276
YGL109W	YGL110C	+	-	False	divergent	324	324
YLR114C	YLR115W	-	+	False	divergent	323	240
YBL005W	YBL006C	+	-	False	divergent	321	287
YHR189W	YHR190W	+	+	True	tandem	320	320
YDL010W	YDL012C	+	-	False	divergent	316	0
YNL152W	YNL154C	+	-	False	divergent	314	0
YGL196W	YGL197W	+	+	True	tandem	313	0
YOL036W	YOL038W	+	+	True	tandem	311	0
YPL119C	YPL120W	-	+	False	convergent	311	0
YIL120W	YIL121W	+	+	True	tandem	306	0
YJL019W	YJL020C	+	-	False	divergent	306	191
YOR169C	YOR170W	-	+	False	divergent	306	306
YGR238C	YGR239C	-	-	True	tandem	304	0
YLR200W	YLR202C	+	-	False	convergent	304	0
YOL116W	YOL117W	+	+	True	tandem	304	199
YBR032W	YBR033W	+	+	True	tandem	303	303
YNL278W	YNL279W	+	+	True	tandem	303	71
YPL277C	YPL278C	-	-	True	tandem	303	303
YMR034C	YMR035W	-	+	False	divergent	300	232
YIL025C	YIL026C	-	-	True	tandem	298	298
YHR070C-A	YHR071W	-	+	False	divergent	295	295
YDR079C-A	YDR080W	-	+	False	divergent	294	130
YPR006C	YPR007C	-	-	True	tandem	289	64
YLR147C	YLR148W	-	+	False	divergent	287	256
YHR032W-A	YHR033W	+	+	True	tandem	285	157
