panel	gene	chrom	position	window_position	depth_sense	depth_antisense
Fig1B	YBL091C	II	46363	3266	0	0
Fig1B	YBL091C	II	46364	3265	0	0
Fig1B	YBL091C	II	46365	3264	0	0
Fig1B	YBL091C	II	46366	3263	0	0
Fig1B	YBL091C	II	46367	3262	0	0
Fig1B	YBL091C	II	46368	3261	0	0
Fig1B	YBL091C	II	46369	3260	0	0
Fig1B	YBL091C	II	46370	3259	0	0
Fig1B	YBL091C	II	46371	3258	0	0
Fig1B	YBL091C	II	46372	3257	0	0
Fig1B	YBL091C	II	46373	3256	0	0
Fig1B	YBL091C	II	46374	3255	0	0
Fig1B	YBL091C	II	46375	3254	0	0
Fig1B	YBL091C	II	46376	3253	0	0
Fig1B	YBL091C	II	46377	3252	0	0
Fig1B	YBL091C	II	46378	3251	0	0
Fig1B	YBL091C	II	46379	3250	0	0
Fig1B	YBL091C	II	46380	3249	0	0
Fig1B	YBL091C	II	46381	3248	0	0
Fig1B	YBL091C	II	46382	3247	0	0
Fig1B	YBL091C	II	46383	3246	0	0
Fig1B	YBL091C	II	46384	3245	0	0
Fig1B	YBL091C	II	46385	3244	0	0
Fig1B	YBL091C	II	46386	3243	0	0
Fig1B	YBL091C	II	46387	3242	0	0
Fig1B	YBL091C	II	46388	3241	0	0
Fig1B	YBL091C	II	46389	3240	0	0
Fig1B	YBL091C	II	46390	3239	0	0
Fig1B	YBL091C	II	46391	3238	0	0
Fig1B	YBL091C	II	46392	3237	0	0
Fig1B	YBL091C	II	46393	3236	0	0
Fig1B	YBL091C	II	46394	3235	0	0
Fig1B	YBL091C	II	46395	3234	0	0
Fig1B	YBL091C	II	46396	3233	0	0
Fig1B	YBL091C	II	46397	3232	0	0
Fig1B	YBL091C	II	46398	3231	0	0
Fig1B	YBL091C	II	46399	3230	0	0
Fig1B	YBL091C	II	46400	3229	0	0
Fig1B	YBL091C	II	46401	3228	0	0
Fig1B	YBL091C	II	46402	3227	0	0
Fig1B	YBL091C	II	46403	3226	0	0
Fig1B	YBL091C	II	46404	3225	0	0
Fig1B	YBL091C	II	46405	3224	0	0
Fig1B	YBL091C	II	46406	3223	0	0
Fig1B	YBL091C	II	46407	3222	0	0
Fig1B	YBL091C	II	46408	3221	0	0
Fig1B	YBL091C	II	46409	3220	0	0
Fig1B	YBL091C	II	46410	3219	0	0
Fig1B	YBL091C	II	46411	3218	0	0
Fig1B	YBL091C	II	46412	3217	0	0
Fig1B	YBL091C	II	46413	3216	0	0
Fig1B	YBL091C	II	46414	3215	0	0
Fig1B	YBL091C	II	46415	3214	0	0
Fig1B	YBL091C	II	46416	3213	0	0
Fig1B	YBL091C	II	46417	3212	0	0
Fig1B	YBL091C	II	46418	3211	0	0
Fig1B	YBL091C	II	46419	3210	0	0
Fig1B	YBL091C	II	46420	3209	0	0
Fig1B	YBL091C	II	46421	3208	0	0
Fig1B	YBL091C	II	46422	3207	0	0
Fig1B	YBL091C	II	46423	3206	0	0
Fig1B	YBL091C	II	46424	3205	0	0
Fig1B	YBL091C	II	46425	3204	0	0
Fig1B	YBL091C	II	46426	3203	0	0
Fig1B	YBL091C	II	46427	3202	0	0
Fig1B	YBL091C	II	46428	3201	0	0
Fig1B	YBL091C	II	46429	3200	0	0
Fig1B	YBL091C	II	46430	3199	0	0
Fig1B	YBL091C	II	46431	3198	0	0
Fig1B	YBL091C	II	46432	3197	0	0
Fig1B	YBL091C	II	46433	3196	0	0
Fig1B	YBL091C	II	46434	3195	0	0
Fig1B	YBL091C	II	46435	3194	0	0
Fig1B	YBL091C	II	46436	3193	0	0
Fig1B	YBL091C	II	46437	3192	0	0
Fig1B	YBL091C	II	46438	3191	0	0
Fig1B	YBL091C	II	46439	3190	0	0
Fig1B	YBL091C	II	46440	3189	0	0
Fig1B	YBL091C	II	46441	3188	0	0
Fig1B	YBL091C	II	46442	3187	0	0
Fig1B	YBL091C	II	46443	3186	0	0
Fig1B	YBL091C	II	46444	3185	0	0
Fig1B	YBL091C	II	46445	3184	0	0
Fig1B	YBL091C	II	46446	3183	0	0
Fig1B	YBL091C	II	46447	3182	0	0
Fig1B	YBL091C	II	46448	3181	0	0
Fig1B	YBL091C	II	46449	3180	0	0
Fig1B	YBL091C	II	46450	3179	0	0
Fig1B	YBL091C	II	46451	3178	0	0
Fig1B	YBL091C	II	46452	3177	0	0
Fig1B	YBL091C	II	46453	3176	0	0
Fig1B	YBL091C	II	46454	3175	0	0
Fig1B	YBL091C	II	46455	3174	0	0
Fig1B	YBL091C	II	46456	3173	0	0
Fig1B	YBL091C	II	46457	3172	0	0
Fig1B	YBL091C	II	46458	3171	0	0
Fig1B	YBL091C	II	46459	3170	0	0
Fig1B	YBL091C	II	46460	3169	0	0
Fig1B	YBL091C	II	46461	3168	0	0
Fig1B	YBL091C	II	46462	3167	0	0
Fig1B	YBL091C	II	46463	3166	0	0
Fig1B	YBL091C	II	46464	3165	0	0
Fig1B	YBL091C	II	46465	3164	0	0
Fig1B	YBL091C	II	46466	3163	0	0
Fig1B	YBL091C	II	46467	3162	0	0
Fig1B	YBL091C	II	46468	3161	0	0
Fig1B	YBL091C	II	46469	3160	0	0
Fig1B	YBL091C	II	46470	3159	0	0
Fig1B	YBL091C	II	46471	3158	0	0
Fig1B	YBL091C	II	46472	3157	0	0
Fig1B	YBL091C	II	46473	3156	0	0
Fig1B	YBL091C	II	46474	3155	0	0
Fig1B	YBL091C	II	46475	3154	0	0
Fig1B	YBL091C	II	46476	3153	0	0
Fig1B	YBL091C	II	46477	3152	0	0
Fig1B	YBL091C	II	46478	3151	0	0
Fig1B	YBL091C	II	46479	3150	0	0
Fig1B	YBL091C	II	46480	3149	0	0
Fig1B	YBL091C	II	46481	3148	0	0
Fig1B	YBL091C	II	46482	3147	0	0
Fig1B	YBL091C	II	46483	3146	0	0
Fig1B	YBL091C	II	46484	3145	0	0
Fig1B	YBL091C	II	46485	3144	0	0
Fig1B	YBL091C	II	46486	3143	0	0
Fig1B	YBL091C	II	46487	3142	0	0
Fig1B	YBL091C	II	46488	3141	0	0
Fig1B	YBL091C	II	46489	3140	0	0
Fig1B	YBL091C	II	46490	3139	0	0
Fig1B	YBL091C	II	46491	3138	0	0
Fig1B	YBL091C	II	46492	3137	0	0
Fig1B	YBL091C	II	46493	3136	0	0
Fig1B	YBL091C	II	46494	3135	0	0
Fig1B	YBL091C	II	46495	3134	0	0
Fig1B	YBL091C	II	46496	3133	0	0
Fig1B	YBL091C	II	46497	3132	0	0
Fig1B	YBL091C	II	46498	3131	0	0
Fig1B	YBL091C	II	46499	3130	0	0
Fig1B	YBL091C	II	46500	3129	0	0
Fig1B	YBL091C	II	46501	3128	0	0
Fig1B	YBL091C	II	46502	3127	0	0
Fig1B	YBL091C	II	46503	3126	0	0
Fig1B	YBL091C	II	46504	3125	0	0
Fig1B	YBL091C	II	46505	3124	0	0
Fig1B	YBL091C	II	46506	3123	0	0
Fig1B	YBL091C	II	46507	3122	0	0
Fig1B	YBL091C	II	46508	3121	0	0
Fig1B	YBL091C	II	46509	3120	0	0
Fig1B	YBL091C	II	46510	3119	0	0
Fig1B	YBL091C	II	46511	3118	0	0
Fig1B	YBL091C	II	46512	3117	0	0
Fig1B	YBL091C	II	46513	3116	0	0
Fig1B	YBL091C	II	46514	3115	0	0
Fig1B	YBL091C	II	46515	3114	0	0
Fig1B	YBL091C	II	46516	3113	0	0
Fig1B	YBL091C	II	46517	3112	0	0
Fig1B	YBL091C	II	46518	3111	0	0
Fig1B	YBL091C	II	46519	3110	0	0
Fig1B	YBL091C	II	46520	3109	0	0
Fig1B	YBL091C	II	46521	3108	0	0
Fig1B	YBL091C	II	46522	3107	0	0
Fig1B	YBL091C	II	46523	3106	0	0
Fig1B	YBL091C	II	46524	3105	0	0
Fig1B	YBL091C	II	46525	3104	0	0
Fig1B	YBL091C	II	46526	3103	0	0
Fig1B	YBL091C	II	46527	3102	0	0
Fig1B	YBL091C	II	46528	3101	0	0
Fig1B	YBL091C	II	46529	3100	0	0
Fig1B	YBL091C	II	46530	3099	0	0
Fig1B	YBL091C	II	46531	3098	0	0
Fig1B	YBL091C	II	46532	3097	0	0
Fig1B	YBL091C	II	46533	3096	0	0
Fig1B	YBL091C	II	46534	3095	0	0
Fig1B	YBL091C	II	46535	3094	0	0
Fig1B	YBL091C	II	46536	3093	0	0
Fig1B	YBL091C	II	46537	3092	0	0
Fig1B	YBL091C	II	46538	3091	0	0
Fig1B	YBL091C	II	46539	3090	0	0
Fig1B	YBL091C	II	46540	3089	0	0
Fig1B	YBL091C	II	46541	3088	0	0
Fig1B	YBL091C	II	46542	3087	0	0
Fig1B	YBL091C	II	46543	3086	0	0
Fig1B	YBL091C	II	46544	3085	0	0
Fig1B	YBL091C	II	46545	3084	0	0
Fig1B	YBL091C	II	46546	3083	0	0
Fig1B	YBL091C	II	46547	3082	0	0
Fig1B	YBL091C	II	46548	3081	0	0
Fig1B	YBL091C	II	46549	3080	0	0
Fig1B	YBL091C	II	46550	3079	0	0
Fig1B	YBL091C	II	46551	3078	0	0
Fig1B	YBL091C	II	46552	3077	0	0
Fig1B	YBL091C	II	46553	3076	0	0
Fig1B	YBL091C	II	46554	3075	0	0
Fig1B	YBL091C	II	46555	3074	0	0
Fig1B	YBL091C	II	46556	3073	0	0
Fig1B	YBL091C	II	46557	3072	0	0
Fig1B	YBL091C	II	46558	3071	0	0
Fig1B	YBL091C	II	46559	3070	0	0
Fig1B	YBL091C	II	46560	3069	0	0
Fig1B	YBL091C	II	46561	3068	0	0
Fig1B	YBL091C	II	46562	3067	0	0
Fig1B	YBL091C	II	46563	3066	0	0
Fig1B	YBL091C	II	46564	3065	0	0
Fig1B	YBL091C	II	46565	3064	0	0
Fig1B	YBL091C	II	46566	3063	0	0
Fig1B	YBL091C	II	46567	3062	0	0
Fig1B	YBL091C	II	46568	3061	0	0
Fig1B	YBL091C	II	46569	3060	0	0
Fig1B	YBL091C	II	46570	3059	0	0
Fig1B	YBL091C	II	46571	3058	0	0
Fig1B	YBL091C	II	46572	3057	0	0
Fig1B	YBL091C	II	46573	3056	0	0
Fig1B	YBL091C	II	46574	3055	0	0
Fig1B	YBL091C	II	46575	3054	0	0
Fig1B	YBL091C	II	46576	3053	0	0
Fig1B	YBL091C	II	46577	3052	0	0
Fig1B	YBL091C	II	46578	3051	0	0
Fig1B	YBL091C	II	46579	3050	0	0
Fig1B	YBL091C	II	46580	3049	0	0
Fig1B	YBL091C	II	46581	3048	0	0
Fig1B	YBL091C	II	46582	3047	0	0
Fig1B	YBL091C	II	46583	3046	0	0
Fig1B	YBL091C	II	46584	3045	0	0
Fig1B	YBL091C	II	46585	3044	0	0
Fig1B	YBL091C	II	46586	3043	0	0
Fig1B	YBL091C	II	46587	3042	0	0
Fig1B	YBL091C	II	46588	3041	0	0
Fig1B	YBL091C	II	46589	3040	0	0
Fig1B	YBL091C	II	46590	3039	0	0
Fig1B	YBL091C	II	46591	3038	0	0
Fig1B	YBL091C	II	46592	3037	0	0
Fig1B	YBL091C	II	46593	3036	0	0
Fig1B	YBL091C	II	46594	3035	0	0
Fig1B	YBL091C	II	46595	3034	0	0
Fig1B	YBL091C	II	46596	3033	0	0
Fig1B	YBL091C	II	46597	3032	0	0
Fig1B	YBL091C	II	46598	3031	0	0
Fig1B	YBL091C	II	46599	3030	0	0
Fig1B	YBL091C	II	46600	3029	0	0
Fig1B	YBL091C	II	46601	3028	0	0
Fig1B	YBL091C	II	46602	3027	0	0
Fig1B	YBL091C	II	46603	3026	0	0
Fig1B	YBL091C	II	46604	3025	0	0
Fig1B	YBL091C	II	46605	3024	0	0
Fig1B	YBL091C	II	46606	3023	0	0
Fig1B	YBL091C	II	46607	3022	0	0
Fig1B	YBL091C	II	46608	3021	0	0
Fig1B	YBL091C	II	46609	3020	0	0
Fig1B	YBL091C	II	46610	3019	0	0
Fig1B	YBL091C	II	46611	3018	0	0
Fig1B	YBL091C	II	46612	3017	0	0
Fig1B	YBL091C	II	46613	3016	0	0
Fig1B	YBL091C	II	46614	3015	0	0
Fig1B	YBL091C	II	46615	3014	0	0
Fig1B	YBL091C	II	46616	3013	0	0
Fig1B	YBL091C	II	46617	3012	0	0
Fig1B	YBL091C	II	46618	3011	0	0
Fig1B	YBL091C	II	46619	3010	0	0
Fig1B	YBL091C	II	46620	3009	0	0
Fig1B	YBL091C	II	46621	3008	0	0
Fig1B	YBL091C	II	46622	3007	0	0
Fig1B	YBL091C	II	46623	3006	0	0
Fig1B	YBL091C	II	46624	3005	0	0
Fig1B	YBL091C	II	46625	3004	0	0
Fig1B	YBL091C	II	46626	3003	0	0
Fig1B	YBL091C	II	46627	3002	0	0
Fig1B	YBL091C	II	46628	3001	0	0
Fig1B	YBL091C	II	46629	3000	0	0
Fig1B	YBL091C	II	46630	2999	0	0
Fig1B	YBL091C	II	46631	2998	0	0
Fig1B	YBL091C	II	46632	2997	0	0
Fig1B	YBL091C	II	46633	2996	0	0
Fig1B	YBL091C	II	46634	2995	0	0
Fig1B	YBL091C	II	46635	2994	0	0
Fig1B	YBL091C	II	46636	2993	0	0
Fig1B	YBL091C	II	46637	2992	0	0
Fig1B	YBL091C	II	46638	2991	0	0
Fig1B	YBL091C	II	46639	2990	0	0
Fig1B	YBL091C	II	46640	2989	0	0
Fig1B	YBL091C	II	46641	2988	0	0
Fig1B	YBL091C	II	46642	2987	0	0
Fig1B	YBL091C	II	46643	2986	0	0
Fig1B	YBL091C	II	46644	2985	0	0
Fig1B	YBL091C	II	46645	2984	0	0
Fig1B	YBL091C	II	46646	2983	0	0
Fig1B	YBL091C	II	46647	2982	0	0
Fig1B	YBL091C	II	46648	2981	0	0
Fig1B	YBL091C	II	46649	2980	0	0
Fig1B	YBL091C	II	46650	2979	0	0
Fig1B	YBL091C	II	46651	2978	0	0
Fig1B	YBL091C	II	46652	2977	0	0
Fig1B	YBL091C	II	46653	2976	0	0
Fig1B	YBL091C	II	46654	2975	0	0
Fig1B	YBL091C	II	46655	2974	0	0
Fig1B	YBL091C	II	46656	2973	0	0
Fig1B	YBL091C	II	46657	2972	0	0
Fig1B	YBL091C	II	46658	2971	0	0
Fig1B	YBL091C	II	46659	2970	0	0
Fig1B	YBL091C	II	46660	2969	0	0
Fig1B	YBL091C	II	46661	2968	0	0
Fig1B	YBL091C	II	46662	2967	0	0
Fig1B	YBL091C	II	46663	2966	0	0
Fig1B	YBL091C	II	46664	2965	0	0
Fig1B	YBL091C	II	46665	2964	0	0
Fig1B	YBL091C	II	46666	2963	0	0
Fig1B	YBL091C	II	46667	2962	0	0
Fig1B	YBL091C	II	46668	2961	0	0
Fig1B	YBL091C	II	46669	2960	0	0
Fig1B	YBL091C	II	46670	2959	0	0
Fig1B	YBL091C	II	46671	2958	0	0
Fig1B	YBL091C	II	46672	2957	0	0
Fig1B	YBL091C	II	46673	2956	0	0
Fig1B	YBL091C	II	46674	2955	0	0
Fig1B	YBL091C	II	46675	2954	0	0
Fig1B	YBL091C	II	46676	2953	0	0
Fig1B	YBL091C	II	46677	2952	0	0
Fig1B	YBL091C	II	46678	2951	0	0
