transcript	n_reads	mean_read_length	mean_clip_total	median_clip_total	mean_clip_5p	mean_clip_3p	frac_clipped	mean_clip_frac	asymmetry
ref|NC_001133|	42008	713.6	47.99	55.0	2.79	45.2	0.9877	0.0882	-42.41
ref|NC_001134|	189997	644.5	46.64	21.0	3.61	43.03	0.9905	0.0865	-39.42
ref|NC_001135|	55125	662.0	45.99	22.0	3.53	42.47	0.9816	0.0859	-38.94
ref|NC_001136|	438910	562.5	44.76	19.0	3.31	41.45	0.9826	0.091	-38.15
ref|NC_001137|	154124	621.1	47.36	24.0	3.63	43.73	0.9914	0.0896	-40.1
ref|NC_001138|	46040	590.2	46.56	21.0	4.49	42.07	0.9889	0.0986	-37.58
ref|NC_001139|	350437	617.4	47.33	25.0	3.42	43.92	0.991	0.0905	-40.5
ref|NC_001140|	235555	558.2	48.0	40.0	3.4	44.6	0.9897	0.0991	-41.2
ref|NC_001141|	78420	586.2	46.96	24.0	4.54	42.42	0.9912	0.0912	-37.88
ref|NC_001142|	174082	588.9	47.16	29.0	3.79	43.36	0.9866	0.0964	-39.57
ref|NC_001143|	188121	626.7	47.34	25.0	3.71	43.63	0.9906	0.088	-39.92
ref|NC_001144|	406498	604.9	46.1	22.0	3.4	42.7	0.99	0.0921	-39.29
ref|NC_001145|	225872	636.7	47.09	25.0	3.72	43.37	0.9873	0.0877	-39.64
ref|NC_001146|	148651	623.0	46.17	21.0	3.03	43.14	0.9901	0.0881	-40.11
ref|NC_001147|	302909	581.8	45.08	20.0	3.46	41.62	0.9834	0.0897	-38.16
ref|NC_001148|	219023	637.0	46.29	22.0	3.51	42.78	0.986	0.0865	-39.27
ref|NC_001224|	3490	513.6	51.06	64.0	3.89	47.17	0.9407	0.1126	-43.28
