panel	window_gene	source	feature_gene	feature_class	chrom	start	end	strand	is_window_gene
Fig1B	YBL091C	final	YBL089W	five_prime_UTR	II	49559	49573	+	0
Fig1B	YBL091C	final	YBL089W	gene	II	49574	50953	+	0
Fig1B	YBL091C	final	YBL089W	CDS	II	49574	50953	+	0
Fig1B	YBL091C	final	YBL090W	five_prime_UTR	II	48786	48824	+	0
Fig1B	YBL091C	final	YBL090W	gene	II	48825	49358	+	0
Fig1B	YBL091C	final	YBL090W	CDS	II	48825	49358	+	0
Fig1B	YBL091C	final	YBL090W	three_prime_UTR	II	49359	49577	+	0
Fig1B	YBL091C	final	YBL091C	three_prime_UTR	II	47011	47362	-	1
Fig1B	YBL091C	final	YBL091C	gene	II	47363	48628	-	1
Fig1B	YBL091C	final	YBL091C	CDS	II	47363	48628	-	1
Fig1B	YBL091C	final	YBL091C	five_prime_UTR	II	48629	48649	-	1
Fig1B	YBL091C	final	YBL091C-A	three_prime_UTR	II	46323	46564	-	0
Fig1B	YBL091C	final	YBL091C-A	gene	II	46565	47180	-	0
Fig1B	YBL091C	final	YBL091C-A	CDS	II	46565	47058	-	0
Fig1B	YBL091C	final	YBL091C-A	intron	II	47059	47146	-	0
Fig1B	YBL091C	final	YBL091C-A	CDS	II	47147	47180	-	0
Fig1B	YBL091C	final	YBL091C-A	five_prime_UTR	II	47181	47258	-	0
Fig1B	YBL091C	final	YBL092W	gene	II	45645	46370	+	0
Fig1B	YBL091C	final	YBL092W	CDS	II	45978	46370	+	0
Fig1B	YBL091C	final	YBL092W	three_prime_UTR	II	46371	46522	+	0
Fig1B	YBL091C	nagalakshmi	YBL089W	five_prime_UTR	II	49559	49573	+	0
Fig1B	YBL091C	nagalakshmi	YBL089W	gene	II	49574	50953	+	0
Fig1B	YBL091C	nagalakshmi	YBL089W	CDS	II	49574	50953	+	0
Fig1B	YBL091C	nagalakshmi	YBL090W	five_prime_UTR	II	48786	48824	+	0
Fig1B	YBL091C	nagalakshmi	YBL090W	gene	II	48825	49358	+	0
Fig1B	YBL091C	nagalakshmi	YBL090W	CDS	II	48825	49358	+	0
Fig1B	YBL091C	nagalakshmi	YBL090W	three_prime_UTR	II	49359	49577	+	0
Fig1B	YBL091C	nagalakshmi	YBL091C	three_prime_UTR	II	47011	47362	-	1
Fig1B	YBL091C	nagalakshmi	YBL091C	gene	II	47363	48628	-	1
Fig1B	YBL091C	nagalakshmi	YBL091C	CDS	II	47363	48628	-	1
Fig1B	YBL091C	nagalakshmi	YBL091C	five_prime_UTR	II	48629	48636	-	1
Fig1B	YBL091C	nagalakshmi	YBL091C-A	three_prime_UTR	II	46323	46564	-	0
Fig1B	YBL091C	nagalakshmi	YBL091C-A	gene	II	46565	47180	-	0
Fig1B	YBL091C	nagalakshmi	YBL091C-A	CDS	II	46565	47058	-	0
Fig1B	YBL091C	nagalakshmi	YBL091C-A	intron	II	47059	47146	-	0
Fig1B	YBL091C	nagalakshmi	YBL091C-A	CDS	II	47147	47180	-	0
Fig1B	YBL091C	nagalakshmi	YBL091C-A	five_prime_UTR	II	47181	47185	-	0
Fig1B	YBL091C	nagalakshmi	YBL092W	gene	II	45645	46370	+	0
