transcript	n_reads	mean_read_length	mean_clip_total	median_clip_total	mean_clip_5p	mean_clip_3p	frac_clipped	mean_clip_frac	asymmetry
Q0010	10	623.1	409.4	354.5	89.3	320.1	1.0	0.5576	-230.8
Q0045	144	588.7	108.03	75.5	32.14	75.9	0.9514	0.1687	-43.76
Q0050	30	635.6	123.37	76.0	66.3	57.07	0.9333	0.1842	9.23
Q0055	90	526.3	61.72	45.0	22.76	38.97	0.9444	0.1205	-16.21
Q0060	62	502.3	79.66	20.5	46.77	32.89	0.9194	0.158	13.89
Q0065	85	473.5	71.71	69.0	25.39	46.32	0.9647	0.1575	-20.93
Q0070	85	628.6	87.4	67.0	37.95	49.45	0.9529	0.1457	-11.49
Q0080	8	683.2	538.62	569.0	232.75	305.88	1.0	0.7778	-73.12
Q0085	59	661.6	214.27	150.0	73.53	140.75	1.0	0.2951	-67.22
Q0105	61	596.9	191.08	123.0	90.33	100.75	0.9672	0.3124	-10.43
Q0120	14	647.4	269.86	79.5	141.79	128.07	0.8571	0.2692	13.71
Q0130	185	500.6	290.24	204.0	174.56	115.68	1.0	0.5032	58.89
Q0140	30	476.9	147.67	101.0	71.7	75.97	0.9667	0.2764	-4.27
Q0160	148	596.9	259.83	194.0	170.34	89.49	0.9932	0.3405	80.84
Q0250	46	484.2	91.33	78.5	30.07	61.26	1.0	0.2013	-31.2
Q0255	24	511.5	107.54	74.5	40.58	66.96	0.9583	0.2108	-26.38
Q0275	27	757.2	366.41	370.0	40.85	325.56	1.0	0.4027	-284.7
YAL001C	76	782.1	106.86	104.0	7.43	99.42	1.0	0.1857	-91.99
YAL002W	51	920.8	111.98	106.0	11.14	100.84	1.0	0.1763	-89.71
YAL003W	5740	633.2	254.29	275.0	38.0	216.29	0.9995	0.4157	-178.29
YAL005C	3381	966.6	180.38	163.0	10.53	169.85	0.997	0.2692	-159.31
YAL007C	397	623.6	209.21	210.0	21.83	187.38	0.9975	0.3622	-165.55
YAL008W	123	634.6	199.66	199.0	20.15	179.5	1.0	0.3364	-159.35
YAL009W	58	578.7	144.21	128.5	7.67	136.53	1.0	0.2966	-128.86
YAL010C	78	673.8	145.46	122.0	10.49	134.97	1.0	0.2648	-124.49
YAL011W	27	645.3	134.7	109.0	1.78	132.93	1.0	0.2384	-131.15
YAL012W	734	835.1	157.52	167.0	13.3	144.21	0.9973	0.2356	-130.91
YAL013W	60	648.8	145.33	144.5	5.35	139.98	1.0	0.2606	-134.63
YAL014C	81	613.9	160.37	155.0	6.23	154.14	1.0	0.3117	-147.9
YAL015C	74	674.6	161.3	144.5	2.3	159.0	1.0	0.306	-156.7
YAL016C-B	37	288.9	123.03	116.0	88.59	34.43	1.0	0.3728	54.16
YAL016W	496	863.9	122.7	130.0	8.9	113.79	1.0	0.2001	-104.89
YAL017W	93	846.7	233.11	215.0	9.1	224.01	1.0	0.3407	-214.91
YAL018C	9	510.8	160.11	174.0	14.44	145.67	1.0	0.368	-131.22
YAL019W	191	716.4	103.15	88.0	2.44	100.71	0.9843	0.1947	-98.27
