Gene,five_prime_utr,three_prime_utr
Q0010,NA,NA
Q0017,NA,NA
Q0032,NA,NA
Q0045,NA,NA
Q0050,NA,NA
Q0055,NA,NA
Q0060,NA,NA
Q0065,NA,NA
Q0070,NA,NA
Q0075,NA,NA
Q0080,NA,NA
Q0085,NA,NA
Q0092,NA,NA
Q0105,NA,NA
Q0110,NA,NA
Q0115,NA,NA
Q0120,NA,NA
Q0130,NA,NA
Q0140,NA,NA
Q0142,NA,NA
Q0143,NA,NA
Q0144,NA,NA
Q0160,NA,NA
Q0182,NA,NA
Q0250,NA,NA
Q0255,NA,NA
Q0275,NA,NA
Q0297,NA,NA
YAL001C,NA,NA
YAL002W,NA,NA
YAL003W,32,335
YAL004W,3110,732
YAL005C,252,121
YAL007C,68,289
YAL008W,98,207
YAL009W,445,132
YAL010C,22,182
YAL011W,29,133
YAL012W,112,116
YAL013W,75,95
YAL014C,52,220
YAL015C,7,146
YAL016C-A,NA,NA
YAL016C-B,NA,NA
YAL016W,92,96
YAL017W,NA,NA
YAL018C,NA,NA
YAL019W,NA,NA
YAL019W-A,NA,NA
YAL020C,8,145
YAL021C,43,309
YAL022C,40,144
YAL023C,119,128
YAL024C,NA,NA
YAL025C,22,285
YAL026C,NA,NA
YAL026C-A,NA,NA
YAL027W,91,110
YAL028W,47,79
YAL029C,NA,NA
YAL030W,21,260
YAL031C,NA,161
YAL031W-A,NA,NA
YAL032C,29,142
YAL033W,4,169
YAL034C,634,160
YAL034C-B,30,42
YAL034W-A,43,156
YAL035W,61,123
YAL036C,54,264
YAL037C-A,NA,NA
YAL037C-B,NA,NA
YAL037W,566,1576
YAL038W,141,159
YAL039C,116,86
YAL040C,327,181
YAL041W,66,58
YAL042C-A,NA,NA
YAL042W,46,116
YAL043C,15,195
YAL044C,13,193
YAL044W-A,544,107
YAL045C,NA,NA
YAL046C,158,121
YAL047C,28,57
YAL047W-A,374,149
YAL048C,NA,NA
YAL049C,1486,163
YAL051W,NA,NA
YAL053W,170,59
YAL054C,NA,NA
YAL055W,34,118
YAL056C-A,NA,NA
YAL056W,24,138
YAL058W,58,190
YAL059C-A,NA,NA
YAL059W,42,196
YAL060W,47,129
YAL061W,102,316
YAL062W,39,98
YAL063C,NA,NA
YAL063C-A,931,343
YAL064C-A,NA,NA
YAL064W,NA,NA
YAL064W-B,NA,NA
YAL065C,NA,NA
YAL066W,283,60
YAL067C,NA,NA
YAL067W-A,NA,NA
YAL068C,NA,NA
YAL068W-A,NA,NA
YAL069W,NA,NA
YAR002C-A,25,256
YAR002W,41,237
YAR003W,46,623
YAR007C,78,72
YAR008W,118,122
YAR014C,147,176
YAR015W,102,342
YAR018C,11,218
YAR019C,NA,NA
YAR019W-A,NA,NA
YAR020C,NA,NA
YAR023C,876,35
YAR027W,98,209
YAR028W,59,380
YAR029W,1311,208
YAR030C,NA,NA
YAR031W,NA,NA
YAR033W,63,446
YAR035C-A,NA,NA
YAR035W,36,108
YAR042W,35,163
YAR047C,NA,NA
YAR050W,NA,NA
YAR053W,173,968
YAR060C,NA,NA
YAR064W,NA,NA
YAR066W,NA,NA
YAR068W,NA,NA
YAR069C,NA,NA
YAR070C,NA,NA
YAR071W,NA,NA
YAR073W,NA,NA
YAR075W,NA,NA
YBL001C,230,245
YBL002W,702,191
YBL003C,63,495
YBL004W,NA,NA
YBL005W,NA,NA
YBL006C,33,232
YBL006W-A,151,555
YBL007C,69,164
YBL008W,65,103
YBL008W-A,NA,NA
YBL009W,52,125
YBL010C,67,303
YBL011W,723,204
YBL012C,NA,NA
YBL013W,NA,NA
YBL014C,28,140
YBL015W,168,277
YBL016W,NA,NA
YBL017C,NA,NA
YBL018C,32,329
YBL019W,69,115
YBL020W,78,79
YBL021C,429,169
YBL022C,132,75
YBL023C,116,173
YBL024W,29,279
YBL025W,57,584
YBL026W,41,491
YBL027W,18,384
YBL028C,46,296
YBL029C-A,1274,129
YBL029W,NA,NA
YBL030C,147,322
YBL031W,33,171
YBL032W,97,205
YBL033C,27,172
YBL034C,NA,NA
YBL035C,92,128
YBL036C,1060,136
YBL037W,NA,NA
YBL038W,58,175
YBL039C,78,262
YBL039C-A,693,1139
YBL039W-B,293,176
YBL040C,296,99
YBL041W,236,67
YBL042C,58,160
YBL043W,130,193
YBL044W,NA,NA
YBL045C,260,210
YBL046W,17,187
YBL047C,128,222
YBL048W,NA,NA
YBL049W,NA,NA
YBL050W,76,110
YBL051C,64,448
YBL052C,NA,NA
YBL053W,NA,NA
YBL054W,176,192
YBL055C,394,95
YBL056W,135,412
YBL057C,14,523
YBL058W,27,155
YBL059C-A,661,207
YBL059W,NA,NA
YBL060W,230,37
YBL061C,107,120
YBL062W,NA,NA
YBL063W,NA,NA
YBL064C,263,64
YBL065W,NA,NA
YBL066C,NA,NA
YBL067C,NA,NA
YBL068W,57,517
YBL068W-A,673,197
YBL069W,109,160
YBL070C,NA,NA
YBL071C,12,366
YBL071C-B,NA,NA
YBL071W-A,42,519
YBL072C,24,276
YBL073W,NA,NA
YBL074C,18,288
YBL075C,535,80
YBL076C,45,95
YBL077W,NA,NA
YBL078C,43,480
YBL079W,NA,NA
YBL080C,52,123
YBL081W,548,136
YBL082C,45,35
YBL083C,954,14
YBL084C,NA,NA
YBL085W,201,119
YBL086C,123,59
YBL087C,105,228
YBL088C,NA,NA
YBL089W,15,280
YBL090W,39,218
YBL091C,7,352
YBL091C-A,4,242
YBL092W,363,143
YBL093C,79,437
YBL094C,NA,NA
YBL095W,NA,251
YBL096C,559,41
YBL097W,NA,NA
YBL098W,NA,NA
YBL099W,350,291
YBL100C,NA,NA
YBL100W-C,NA,NA
YBL101C,106,168
YBL102W,218,192
YBL103C,253,502
YBL104C,24,100
YBL105C,265,136
YBL106C,NA,NA
YBL107C,NA,230
YBL107W-A,NA,NA
YBL108C-A,NA,NA
YBL108W,NA,NA
YBL109W,NA,NA
YBL111C,NA,NA
YBL112C,NA,NA
YBL113C,NA,NA
YBL113W-A,NA,NA
YBR001C,149,157
YBR002C,15,251
YBR003W,28,133
YBR004C,1047,93
YBR005W,63,372
YBR006W,130,145
YBR007C,89,182
YBR008C,625,159
YBR009C,524,163
YBR010W,27,356
YBR011C,30,219
YBR012C,4,205
YBR013C,NA,NA
YBR014C,178,123
YBR015C,408,140
YBR016W,497,212
