transcript	n_reads	mean_read_length	mean_clip_total	median_clip_total	mean_clip_5p	mean_clip_3p	frac_clipped	mean_clip_frac	asymmetry
Q0032	5	593.8	115.0	90.0	3.2	111.8	1.0	0.2037	-108.6
Q0045	138	618.4	75.51	70.0	19.16	56.36	0.9565	0.126	-37.2
Q0050	43	544.3	45.56	15.0	1.02	44.53	0.907	0.0974	-43.51
Q0055	80	548.4	59.2	29.0	20.68	38.52	0.9375	0.1049	-17.85
Q0060	80	475.4	48.79	58.0	5.98	42.81	0.925	0.1144	-36.84
Q0065	92	485.0	55.11	58.5	16.35	38.76	0.9348	0.1278	-22.41
Q0070	77	606.2	82.29	60.0	15.42	66.87	0.961	0.1273	-51.45
Q0075	20	343.2	47.45	71.0	2.9	44.55	0.95	0.1423	-41.65
Q0080	16	667.5	85.69	72.5	2.06	83.62	1.0	0.1103	-81.56
Q0085	65	602.4	107.11	104.0	2.98	104.12	0.9846	0.1884	-101.14
Q0092	8	509.8	189.75	130.5	85.62	104.12	1.0	0.365	-18.5
Q0105	65	585.7	119.23	71.0	52.51	66.72	0.9231	0.1772	-14.22
Q0110	9	358.7	61.56	84.0	2.89	58.67	0.8889	0.1625	-55.78
Q0115	13	463.5	97.38	83.0	33.46	63.92	1.0	0.1903	-30.46
Q0120	30	596.6	140.87	71.5	3.83	137.03	0.9333	0.1493	-133.2
Q0130	298	443.5	52.47	67.0	2.56	49.91	0.9228	0.1278	-47.34
Q0140	47	446.6	93.15	76.0	36.19	56.96	0.9362	0.1993	-20.77
Q0142	5	392.0	108.0	95.0	4.0	104.0	1.0	0.2637	-100.0
Q0144	7	704.4	229.14	94.0	72.57	156.57	1.0	0.2878	-84.0
Q0160	977	537.3	191.46	103.0	112.84	78.62	0.9693	0.2915	34.22
Q0182	13	504.5	132.92	77.0	54.15	78.77	1.0	0.1999	-24.62
Q0250	45	467.1	60.2	22.0	15.62	44.58	0.9778	0.1511	-28.96
Q0255	47	463.0	72.6	68.0	15.77	56.83	1.0	0.1587	-41.06
Q0275	35	672.3	290.4	126.0	31.46	258.94	0.9714	0.3286	-227.49
Q0297	30	425.9	139.63	100.0	14.0	125.63	1.0	0.3135	-111.63
YAL001C	66	816.4	51.29	62.0	3.15	48.14	1.0	0.0781	-44.98
YAL002W	2231	417.7	51.09	67.0	5.72	45.37	0.9915	0.1318	-39.65
YAL003W	4958	626.0	92.21	89.0	43.3	48.92	0.9948	0.1458	-5.62
YAL004W	95	466.6	37.05	12.0	1.97	35.08	0.9368	0.0992	-33.12
YAL005C	3690	897.0	41.94	11.0	2.31	39.62	0.9659	0.0711	-37.31
YAL007C	270	530.8	53.24	71.5	1.92	51.32	0.9963	0.1144	-49.4
YAL008W	346	566.2	44.99	15.5	2.46	42.53	0.9855	0.0949	-40.07
YAL009W	70	638.2	50.11	25.5	2.21	47.9	0.9571	0.0883	-45.69
YAL010C	69	701.0	50.13	28.0	3.58	46.55	1.0	0.0976	-42.97
YAL011W	281	520.0	48.04	23.0	4.6	43.44	0.9929	0.1012	-38.84
YAL012W	567	908.3	54.27	71.0	3.42	50.85	0.9929	0.0768	-47.43
YAL013W	51	687.3	60.45	69.0	1.12	59.33	0.9804	0.0918	-58.22
YAL014C	48	580.2	50.71	67.5	1.9	48.81	0.9792	0.0973	-46.92
YAL015C	250	582.5	53.16	66.0	3.38	49.78	0.996	0.1081	-46.4
YAL016C-A	24	476.6	40.92	11.5	9.79	31.12	1.0	0.0935	-21.33
YAL016C-B	30	571.4	42.73	11.0	3.57	39.17	1.0	0.0833	-35.6
YAL016W	395	918.1	48.45	51.0	2.06	46.38	0.9949	0.0779	-44.32
YAL017W	61	910.3	43.85	23.0	1.46	42.39	0.9508	0.0657	-40.93
YAL018C	72	459.1	45.75	18.5	3.76	41.99	0.9861	0.1093	-38.22
YAL019W	136	810.2	44.95	18.0	2.29	42.66	0.9559	0.0728	-40.38
YAL019W-A	20	645.8	39.55	14.0	1.5	38.05	1.0	0.0727	-36.55
YAL020C	24	658.2	60.96	75.0	1.21	59.75	1.0	0.1243	-58.54
YAL021C	73	878.9	49.0	67.0	4.4	44.6	0.9726	0.0856	-40.21
YAL022C	76	821.7	53.04	71.0	4.18	48.86	1.0	0.0774	-44.67
YAL023C	411	958.4	51.55	68.0	3.47	48.07	0.9927	0.0794	-44.6
YAL024C	177	470.6	44.43	17.0	2.43	42.0	0.9944	0.1113	-39.57
YAL025C	54	429.8	43.02	15.5	0.69	42.33	1.0	0.1044	-41.65
YAL026C	116	668.3	49.79	27.5	1.76	48.03	0.9914	0.0907	-46.28
YAL026C-A	62	653.1	52.61	71.0	2.45	50.16	1.0	0.0867	-47.71
YAL027W	100	537.4	44.68	17.5	2.38	42.3	0.99	0.0882	-39.92
YAL028W	40	526.3	56.2	67.0	1.42	54.78	1.0	0.122	-53.35
YAL029C	158	992.7	52.88	71.5	2.61	50.27	0.9937	0.0777	-47.65
YAL030W	90	560.2	55.88	68.5	7.09	48.79	1.0	0.1045	-41.7
YAL031C	46	699.8	46.63	32.5	6.3	40.33	0.9783	0.1048	-34.02
YAL031W-A	12	671.7	48.25	38.0	5.42	42.83	1.0	0.073	-37.42
YAL032C	187	559.4	37.43	12.0	2.07	35.35	0.9679	0.0723	-33.28
YAL033W	139	544.1	43.38	19.0	1.77	41.61	0.9928	0.0836	-39.84
YAL034C	44	712.7	44.09	20.5	2.75	41.34	0.9773	0.094	-38.59
YAL034C-B	165	599.6	57.68	72.0	6.47	51.21	1.0	0.1158	-44.75
YAL034W-A	162	461.5	48.01	53.5	3.06	44.95	1.0	0.1227	-41.89
YAL035W	291	1028.0	58.5	72.0	5.22	53.28	0.9931	0.0853	-48.07
YAL036C	163	829.0	46.04	29.0	2.35	43.69	0.9571	0.0758	-41.34
YAL037C-A	3270	553.1	51.23	63.0	6.72	44.51	0.9936	0.1029	-37.79
YAL037C-B	5144	902.3	48.69	63.0	2.53	46.16	0.9922	0.0765	-43.62
YAL037W	1672	327.9	45.62	25.0	3.61	42.0	0.991	0.1369	-38.39
YAL038W	5306	897.7	49.0	60.0	3.53	45.46	0.9928	0.0763	-41.93
YAL039C	154	651.5	56.79	22.0	2.83	53.95	0.987	0.1016	-51.12
YAL040C	124	807.5	53.1	72.5	2.45	50.65	0.9839	0.094	-48.2
YAL041W	191	559.4	41.67	19.0	3.05	38.62	0.9843	0.0901	-35.58
YAL042C-A	35	1048.9	82.31	106.0	1.86	80.46	0.9429	0.0822	-78.6
YAL042W	206	770.7	37.74	12.0	2.31	35.43	0.9806	0.063	-33.12
YAL043C	89	677.5	44.13	18.0	1.93	42.2	0.9888	0.0834	-40.27
YAL044C	71	467.8	45.44	19.0	3.24	42.2	1.0	0.0984	-38.96
YAL044W-A	114	455.9	40.31	13.5	2.39	37.92	1.0	0.094	-35.54
YAL045C	91	435.5	39.9	15.0	2.32	37.58	1.0	0.0883	-35.26
YAL046C	55	404.0	46.75	19.0	11.62	35.13	0.9818	0.1083	-23.51
YAL047C	40	780.1	42.6	16.0	2.3	40.3	0.975	0.0712	-38.0
YAL047W-A	22	610.5	39.09	15.5	2.09	37.0	1.0	0.0705	-34.91
YAL048C	62	950.8	95.95	93.5	1.11	94.84	1.0	0.1126	-93.73
YAL049C	116	639.4	50.53	69.0	3.16	47.36	0.9914	0.0939	-44.2
YAL051W	196	551.7	49.79	67.0	3.44	46.34	0.9949	0.107	-42.9
YAL053W	209	1206.8	59.76	74.0	3.52	56.24	0.9952	0.079	-52.72
YAL054C	54	505.7	45.3	18.0	2.56	42.74	1.0	0.0888	-40.19
YAL055W	99	456.5	43.74	17.0	1.87	41.87	0.9899	0.0972	-40.0
YAL056C-A	24	556.2	54.83	66.0	1.83	53.0	1.0	0.1197	-51.17
YAL056W	114	709.2	43.87	13.5	1.59	42.28	0.9737	0.0872	-40.69
YAL058W	78	715.8	45.56	16.5	2.63	42.94	0.9872	0.0741	-40.31
YAL059C-A	91	519.7	54.18	61.0	7.35	46.82	1.0	0.1094	-39.47
YAL059W	99	454.8	42.02	12.0	1.43	40.59	0.9697	0.0923	-39.15
YAL060W	144	886.9	46.25	24.5	1.54	44.71	0.9861	0.0703	-43.17
YAL061W	58	746.2	43.53	18.5	3.45	40.09	0.9828	0.0725	-36.64
YAL062W	159	393.7	40.7	17.0	4.53	36.16	1.0	0.1017	-31.63
YAL063C	160	473.6	65.21	71.0	11.35	53.86	1.0	0.1336	-42.51
YAL063C-A	55	741.9	55.15	76.0	3.22	51.93	1.0	0.0828	-48.71
YAL064C-A	7	1061.7	95.14	25.0	0.86	94.29	1.0	0.0756	-93.43
YAL064W	33	494.2	94.85	69.0	40.27	54.58	0.9697	0.1676	-14.3
YAL064W-B	5	398.8	34.8	10.0	2.0	32.8	1.0	0.1224	-30.8
YAL066W	15	470.7	46.27	22.0	1.27	45.0	1.0	0.102	-43.73
YAL067C	35	571.1	151.09	71.0	1.91	149.17	1.0	0.1904	-147.26
