Gene,five_prime_utr,three_prime_utr
YAL001C,31.0,36.0
YAL002W,95.0,56.0
YAL003W,21.0,221.0
YAL004W,1963.0,745.0
YAL005C,62.0,146.0
YAL007C,69.0,146.0
YAL008W,48.0,127.0
YAL009W,0.0,123.0
YAL010C,23.0,101.0
YAL011W,4.0,97.0
YAL012W,64.0,99.0
YAL013W,32.0,101.0
YAL014C,48.0,134.0
YAL015C,0.0,7.0
YAL016C-A,6.0,261.0
YAL016C-B,,
YAL016W,97.0,68.0
YAL017W,385.0,219.0
YAL018C,50.0,138.0
YAL019W,110.0,49.0
YAL019W-A,,
YAL020C,22.0,75.0
YAL021C,59.0,230.0
YAL022C,16.0,42.0
YAL023C,88.0,115.0
YAL024C,,
YAL025C,23.0,203.0
YAL026C,86.0,140.0
YAL026C-A,25.0,244.0
YAL027W,80.0,101.0
YAL028W,48.0,43.0
YAL029C,252.0,61.0
YAL030W,22.0,110.0
YAL031C,47.0,78.0
YAL031W-A,354.0,2097.0
YAL032C,20.0,125.0
YAL033W,5.0,72.0
YAL034C,620.0,100.0
YAL034C-B,31.0,43.0
YAL034W-A,29.0,88.0
YAL035W,26.0,126.0
YAL036C,32.0,29.0
YAL037C-A,192.0,55.0
YAL037C-B,,
YAL037W,567.0,1577.0
YAL038W,27.0,164.0
YAL039C,56.0,69.0
YAL040C,328.0,177.0
YAL041W,64.0,59.0
YAL042C-A,,
YAL042W,16.0,91.0
YAL043C,31.0,76.0
YAL044C,14.0,82.0
YAL044W-A,1.0,111.0
YAL045C,680.0,566.0
YAL046C,30.0,122.0
YAL047C,29.0,55.0
YAL047W-A,322.0,153.0
YAL048C,1.0,1065.0
YAL049C,66.0,136.0
YAL051W,25.0,80.0
YAL053W,140.0,72.0
YAL054C,51.0,163.0
YAL055W,7.0,119.0
YAL056C-A,,
YAL056W,51.0,98.0
YAL058W,49.0,191.0
YAL059C-A,48.0,50.0
YAL059W,2.0,197.0
YAL060W,48.0,84.0
YAL061W,89.0,167.0
YAL062W,38.0,75.0
YAL063C,,
YAL063C-A,948.0,34.0
YAL064C-A,947.0,412.0
YAL064W,308.0,148.0
YAL064W-B,733.0,554.0
YAL065C,,
YAL066W,284.0,61.0
YAL067C,33.0,222.0
YAL067W-A,,
YAL068C,,
YAL068W-A,,
YAL069W,,
YAR002C-A,16.0,76.0
YAR002W,42.0,94.0
YAR003W,85.0,495.0
YAR007C,63.0,73.0
YAR008W,102.0,97.0
YAR014C,150.0,178.0
YAR015W,98.0,95.0
YAR018C,8.0,64.0
YAR019C,33.0,85.0
YAR019W-A,,
YAR020C,,
YAR023C,231.0,30.0
YAR027W,99.0,83.0
YAR028W,56.0,198.0
YAR029W,1468.0,227.0
YAR030C,4.0,479.0
YAR031W,2016.0,138.0
YAR033W,46.0,93.0
YAR035C-A,361.0,63.0
YAR035W,44.0,104.0
YAR042W,36.0,125.0
YAR047C,,
YAR050W,,
YAR053W,174.0,969.0
YAR060C,,
YAR064W,,
YAR066W,,
YAR068W,,
YAR069C,,
YAR070C,,
YAR071W,,
YAR073W,224.0,512.0
YAR075W,1326.0,148.0
YBL001C,11.0,75.0
YBL002W,23.0,192.0
YBL003C,27.0,173.0
YBL004W,,
YBL005W,62.0,285.0
YBL006C,8.0,182.0
YBL006W-A,4.0,618.0
YBL007C,52.0,64.0
YBL008W,55.0,81.0
YBL008W-A,51.0,2607.0
YBL009W,34.0,126.0
YBL010C,30.0,208.0
YBL011W,101.0,205.0
YBL012C,,
YBL013W,66.0,2761.0
YBL014C,29.0,141.0
YBL015W,77.0,282.0
YBL016W,17.0,135.0
YBL017C,180.0,73.0
YBL018C,41.0,36.0
YBL019W,0.0,112.0
YBL020W,82.0,80.0
YBL021C,24.0,170.0
YBL022C,127.0,76.0
YBL023C,53.0,188.0
YBL024W,23.0,125.0
YBL025W,48.0,466.0
YBL026W,71.0,126.0
YBL027W,31.0,84.0
YBL028C,47.0,89.0
YBL029C-A,4.0,93.0
YBL029W,,
YBL030C,121.0,300.0
YBL031W,30.0,159.0
YBL032W,92.0,180.0
YBL033C,28.0,67.0
YBL034C,,
YBL035C,81.0,46.0
YBL036C,8.0,146.0
YBL037W,98.0,109.0
YBL038W,63.0,58.0
YBL039C,54.0,184.0
YBL039C-A,751.0,1143.0
YBL039W-B,307.0,135.0
YBL040C,43.0,67.0
YBL041W,35.0,46.0
YBL042C,56.0,51.0
YBL043W,133.0,164.0
YBL044W,,
YBL045C,186.0,182.0
YBL046W,0.0,178.0
YBL047C,173.0,144.0
YBL048W,618.0,194.0
YBL049W,61.0,263.0
YBL050W,77.0,67.0
YBL051C,63.0,444.0
YBL052C,267.0,73.0
YBL053W,,
YBL054W,115.0,120.0
YBL055C,60.0,73.0
YBL056W,126.0,396.0
YBL057C,20.0,73.0
YBL058W,28.0,126.0
YBL059C-A,8.0,243.0
YBL059W,,
YBL060W,18.0,38.0
YBL061C,109.0,68.0
YBL062W,,
YBL063W,0.0,78.0
YBL064C,32.0,72.0
YBL065W,330.0,2.0
YBL066C,39.0,327.0
YBL067C,277.0,122.0
YBL068W,32.0,89.0
YBL068W-A,1134.0,81.0
YBL069W,81.0,81.0
YBL070C,1294.0,2193.0
YBL071C,50.0,1820.0
YBL071C-B,54.0,1055.0
YBL071W-A,35.0,246.0
YBL072C,24.0,120.0
YBL073W,,
YBL074C,1.0,2304.0
YBL075C,1342.0,81.0
YBL076C,16.0,96.0
YBL077W,,
YBL078C,44.0,164.0
YBL079W,53.0,78.0
YBL080C,16.0,105.0
YBL081W,314.0,137.0
YBL082C,46.0,54.0
YBL083C,1035.0,16.0
YBL084C,,
YBL085W,202.0,120.0
YBL086C,106.0,47.0
YBL087C,23.0,105.0
YBL088C,,
YBL089W,64.0,63.0
YBL090W,31.0,123.0
YBL091C,22.0,100.0
YBL091C-A,13.0,132.0
YBL092W,32.0,147.0
YBL093C,80.0,150.0
YBL094C,585.0,733.0
YBL095W,16.0,118.0
YBL096C,1200.0,142.0
YBL097W,58.0,170.0
YBL098W,,
YBL099W,320.0,232.0
YBL100C,,
YBL100W-C,55.0,140.0
YBL101C,107.0,169.0
YBL102W,88.0,193.0
YBL103C,266.0,458.0
YBL104C,4.0,36.0
YBL105C,266.0,137.0
YBL106C,52.0,67.0
YBL107C,0.0,126.0
YBL107W-A,,
YBL108C-A,,
YBL108W,,
YBL109W,,
YBL111C,,
YBL112C,,
YBL113C,,
YBL113W-A,,
YBR001C,56.0,69.0
YBR002C,16.0,119.0
YBR003W,29.0,127.0
YBR004C,16.0,93.0
YBR005W,38.0,156.0
YBR006W,131.0,146.0
YBR007C,122.0,141.0
YBR008C,221.0,160.0
YBR009C,39.0,168.0
YBR010W,28.0,152.0
YBR011C,31.0,112.0
YBR012C,5.0,206.0
YBR013C,131.0,13.0
YBR014C,96.0,111.0
YBR015C,128.0,119.0
YBR016W,30.0,207.0
YBR017C,62.0,102.0
YBR018C,20.0,137.0
YBR019C,25.0,110.0
YBR020W,58.0,156.0
YBR021W,136.0,127.0
YBR022W,62.0,158.0
YBR023C,134.0,96.0
YBR024W,113.0,2.0
YBR025C,37.0,211.0
YBR026C,3.0,116.0
YBR027C,,
YBR028C,34.0,176.0
YBR029C,90.0,131.0
YBR030W,60.0,56.0
YBR031W,16.0,88.0
YBR032W,1.0,140.0
YBR033W,23.0,83.0
YBR034C,20.0,190.0
YBR035C,30.0,99.0
YBR036C,48.0,194.0
YBR037C,49.0,70.0
YBR038W,37.0,186.0
YBR039W,36.0,178.0
YBR040W,46.0,183.0
YBR041W,53.0,142.0
YBR042C,36.0,67.0
YBR043C,149.0,128.0
YBR044C,31.0,76.0
YBR045C,108.0,138.0
YBR046C,31.0,271.0
YBR047W,20.0,101.0
YBR048W,15.0,225.0
YBR049C,149.0,245.0
YBR050C,109.0,38.0
YBR051W,,
YBR052C,64.0,57.0
YBR053C,12.0,69.0
YBR054W,320.0,361.0
YBR055C,7.0,93.0
YBR056C-B,302.0,115.0
YBR056W,12.0,44.0
YBR056W-A,27.0,438.0
YBR057C,32.0,104.0
YBR058C,22.0,18.0
YBR058C-A,59.0,171.0
YBR059C,150.0,79.0
YBR060C,87.0,57.0
YBR061C,7.0,153.0
YBR062C,146.0,102.0
YBR063C,1536.0,57.0
YBR064W,,
YBR065C,42.0,1671.0
YBR066C,83.0,99.0
YBR067C,51.0,138.0
YBR068C,39.0,219.0
YBR069C,105.0,145.0
YBR070C,21.0,43.0
YBR071W,72.0,275.0
YBR072C-A,,
YBR072W,74.0,164.0
YBR073W,22.0,79.0
YBR074W,5.0,62.0
YBR076C-A,240.0,57.0
YBR076W,66.0,553.0
YBR077C,40.0,217.0
YBR078W,176.0,300.0
YBR079C,25.0,89.0
YBR080C,26.0,128.0
YBR081C,153.0,116.0
YBR082C,86.0,167.0
YBR083W,255.0,125.0
YBR084C-A,22.0,54.0
YBR084W,14.0,92.0
YBR085C-A,29.0,373.0
YBR085W,109.0,166.0
YBR086C,291.0,132.0
YBR087W,11.0,55.0
YBR088C,43.0,41.0
YBR089C-A,26.0,157.0
YBR089W,155.0,255.0
YBR090C,2070.0,300.0
YBR091C,41.0,90.0
YBR092C,14.0,51.0
YBR093C,35.0,67.0
YBR094W,66.0,3.0
YBR095C,24.0,84.0
YBR096W,61.0,68.0
YBR097W,40.0,72.0
YBR098W,19.0,109.0
YBR099C,44.0,5.0
YBR101C,50.0,36.0
YBR102C,64.0,105.0
YBR103C-A,427.0,70.0
YBR103W,131.0,48.0
YBR104W,88.0,60.0
YBR105C,23.0,122.0
YBR106W,33.0,140.0
YBR107C,49.0,304.0
YBR108W,15.0,187.0
YBR109C,39.0,198.0
YBR109W-A,7.0,1497.0
YBR110W,81.0,108.0
YBR111C,8.0,71.0
YBR111W-A,41.0,167.0
YBR112C,175.0,228.0
YBR113W,,
YBR114W,88.0,99.0
YBR115C,19.0,137.0
YBR116C,,
YBR117C,31.0,134.0
YBR118W,22.0,90.0
YBR119W,48.0,120.0
YBR120C,70.0,60.0
YBR121C,64.0,136.0
YBR121C-A,947.0,1098.0
YBR122C,33.0,165.0
YBR123C,63.0,38.0
YBR124W,466.0,51.0
YBR125C,196.0,138.0
YBR126C,107.0,131.0
YBR126W-A,23.0,143.0
YBR126W-B,100.0,129.0
YBR127C,31.0,166.0
YBR128C,46.0,78.0
YBR129C,45.0,81.0
YBR130C,60.0,113.0
YBR131C-A,,
YBR131W,44.0,75.0
YBR132C,164.0,303.0
YBR133C,159.0,59.0
YBR134W,,
YBR135W,94.0,106.0
YBR136W,,
YBR137W,38.0,118.0
YBR138C,30.0,149.0
YBR139W,5.0,170.0
YBR140C,,
YBR141C,39.0,81.0
YBR141W-A,17.0,480.0
YBR142W,67.0,123.0
YBR143C,28.0,139.0
YBR144C,,
YBR145W,41.0,101.0
YBR146W,63.0,222.0
YBR147W,113.0,16.0
YBR148W,1364.0,101.0
YBR149W,38.0,102.0
YBR150C,24.0,90.0
YBR151W,146.0,130.0
YBR152W,68.0,1100.0
YBR153W,1152.0,157.0
