panel	expressed_start	expressed_end
Fig1B	47272	48649
S1A	160506	161548
S1B	528856	530307
S1C	411050	414078
S1D	44568	46909
S1E	141138	142183
S1F	160968	163198
S1G	1226577	1228341
S1H	310957	312013
