gene	max_five_prime_utr	max_three_prime_utr
Q0140	613	17
Q0144	354	131
YAL001C	197	60
YAL002W	106	57
YAL003W	0	72
YAL004W	929	74
YAL005C	56	156
YAL007C	95	149
YAL008W	58	110
YAL009W	43	104
YAL010C	30	110
YAL011W	181	98
YAL012W	99	101
YAL013W	21	102
YAL014C	42	45
YAL015C	5	7
YAL016C-B	5	293
YAL016W	87	70
YAL017W	368	189
YAL019W	122	71
YAL019W-A	731	0
YAL020C	4	71
YAL021C	43	233
YAL022C	3	43
YAL023C	76	114
YAL024C	321	197
YAL025C	22	194
YAL026C	75	149
YAL026C-A	916	306
YAL028W	39	41
YAL029C	236	88
YAL030W	21	117
YAL031C	39	131
YAL031W-A	80	129
YAL032C	699	125
YAL033W	10	60
YAL034C	616	103
YAL034C-B	837	345
YAL034W-A	18	92
YAL035W	13	127
YAL036C	45	29
YAL037C-A	130	459
YAL037C-B	169	126
YAL037W	172	96
YAL038W	79	166
YAL039C	78	71
YAL040C	200	186
YAL041W	52	60
YAL042C-A	249	20
YAL042W	20	84
YAL043C	10	79
YAL044C	3	83
YAL044W-A	22	113
YAL045C	202	40
YAL046C	19	114
YAL047C	17	50
YAL048C	179	957
YAL049C	516	121
YAL051W	14	152
YAL053W	124	67
YAL054C	239	165
YAL055W	21	80
YAL056W	35	80
YAL058W	70	41
YAL059C-A	437	0
YAL060W	41	101
YAL061W	515	168
YAL062W	171	83
YAL063C	216	82
YAR002C-A	31	70
YAR002W	31	100
YAR003W	74	408
YAR007C	54	50
YAR008W	122	98
YAR009C	405	324
YAR010C	179	736
YAR014C	137	167
YAR015W	105	110
YAR018C	29	129
YAR019C	29	61
YAR020C	753	264
YAR023C	460	48
YAR027W	89	80
YAR028W	120	199
YAR031W	234	169
YAR033W	718	41
YAR035C-A	11	609
YAR035W	31	110
YAR042W	45	161
YAR047C	621	769
YAR050W	0	67
YAR053W	84	90
YAR060C	778	567
YAR064W	183	26
YAR071W	300	51
YBL001C	55	79
YBL002W	112	195
YBL003C	42	175
YBL004W	103	61
YBL005W	55	291
YBL005W-A	358	725
YBL005W-B	39	319
YBL006C	317	176
YBL007C	117	88
YBL008W	66	81
YBL009W	26	120
YBL010C	24	181
YBL011W	84	121
YBL014C	34	112
YBL015W	77	232
YBL016W	66	131
YBL017C	184	75
YBL018C	44	61
YBL019W	32	111
YBL020W	784	88
YBL022C	116	85
YBL023C	127	163
YBL024W	35	112
YBL025W	114	466
YBL026W	61	131
YBL027W	0	91
YBL028C	36	86
YBL029W	163	11
YBL030C	137	209
YBL031W	22	105
YBL032W	78	186
YBL033C	16	68
YBL034C	49	177
YBL035C	66	70
YBL036C	61	148
YBL037W	86	142
YBL038W	59	64
YBL039C	68	102
YBL039C-A	129	522
YBL039W-B	271	121
YBL040C	235	72
YBL041W	40	57
YBL042C	47	166
YBL043W	122	203
YBL045C	202	215
YBL046W	6	112
YBL047C	165	217
YBL048W	453	26
YBL050W	68	63
YBL051C	62	145
YBL052C	225	80
YBL053W	918	757
YBL054W	327	150
YBL055C	626	95
YBL056W	125	250
YBL057C	5	71
YBL058W	22	118
YBL059C-A	21	165
YBL059W	88	44
YBL060W	51	41
YBL061C	91	78
YBL062W	97	558
YBL063W	8	120
YBL064C	20	73
YBL066C	131	333
YBL067C	264	119
YBL068W	65	93
YBL069W	86	82
YBL071C	146	21
YBL071W-A	31	249
YBL072C	23	25
YBL075C	447	65
YBL076C	15	98
YBL077W	0	894
YBL078C	31	166
YBL079W	62	86
YBL080C	53	72
YBL081W	303	81
YBL082C	49	42
YBL083C	992	7
YBL084C	109	139
YBL085W	189	123
YBL086C	96	49
YBL087C	0	99
YBL088C	0	89
YBL089W	193	75
YBL090W	58	104
YBL091C	14	91
YBL091C-A	145	135
YBL092W	7	71
