transcript	n_reads	mean_read_length	mean_clip_total	median_clip_total	mean_clip_5p	mean_clip_3p	frac_clipped	mean_clip_frac	asymmetry
Q0010_mRNA	10	623.1	409.4	354.5	89.3	320.1	1.0	0.5576	-230.8
Q0045_mRNA	34	715.5	364.09	207.0	182.68	181.41	1.0	0.4285	1.26
Q0050_mRNA	199	581.2	66.23	55.0	25.21	41.03	0.9347	0.1192	-15.82
Q0055_mRNA	157	526.6	66.35	52.0	14.07	52.28	0.9363	0.1193	-38.21
Q0060_mRNA	18	526.4	159.83	85.5	112.06	47.78	1.0	0.2678	64.28
Q0065_mRNA	38	699.8	212.26	80.0	67.34	144.92	0.9737	0.2338	-77.58
Q0070_mRNA	6	480.5	321.33	417.0	280.17	41.17	1.0	0.6247	239.0
Q0080_mRNA	8	683.2	538.62	569.0	232.75	305.88	1.0	0.7778	-73.12
Q0085_mRNA	59	661.6	214.27	150.0	73.53	140.75	1.0	0.2951	-67.22
Q0105_mRNA	36	724.8	285.42	206.5	155.33	130.08	0.9722	0.39	25.25
Q0120_mRNA	23	666.4	161.57	67.0	40.26	121.3	0.913	0.1645	-81.04
Q0130_mRNA	185	500.6	290.24	204.0	174.56	115.68	1.0	0.5032	58.89
Q0140_mRNA	34	461.6	81.15	79.0	9.56	71.59	0.9412	0.1792	-62.03
Q0160_mRNA	29	267.9	37.72	9.0	2.72	35.0	1.0	0.1207	-32.28
Q0250_mRNA	46	484.2	91.33	78.5	30.07	61.26	1.0	0.2013	-31.2
Q0255_mRNA	24	511.5	108.25	74.5	43.58	64.67	0.9583	0.2129	-21.08
Q0275_mRNA	27	757.2	366.41	370.0	40.85	325.56	1.0	0.4027	-284.7
YAL001C_mRNA	76	781.1	61.96	67.5	3.83	58.13	1.0	0.1071	-54.3
YAL002W_mRNA	52	900.5	65.33	67.5	5.02	60.31	1.0	0.1053	-55.29
YAL003W_mRNA	6952	566.2	53.07	70.0	4.55	48.52	0.9872	0.109	-43.96
YAL004W_mRNA	2052	870.7	41.99	11.0	2.36	39.63	0.9571	0.0736	-37.28
YAL005C_mRNA	1752	901.3	42.94	13.0	2.58	40.35	0.9817	0.0712	-37.77
YAL007C_mRNA	468	557.8	47.88	58.5	2.12	45.76	0.9872	0.1002	-43.64
YAL008W_mRNA	141	580.7	60.76	71.0	3.28	57.48	1.0	0.1196	-54.21
YAL009W_mRNA	64	542.4	35.0	8.5	2.7	32.3	0.9688	0.0825	-29.59
YAL010C_mRNA	85	633.6	52.65	17.0	6.93	45.72	1.0	0.098	-38.79
YAL011W_mRNA	27	645.3	57.56	18.0	1.78	55.78	1.0	0.0983	-54.0
YAL012W_mRNA	779	800.6	53.19	68.0	4.11	49.08	0.991	0.084	-44.97
YAL013W_mRNA	65	614.7	56.08	57.0	5.2	50.88	1.0	0.1017	-45.68
YAL014C_mRNA	86	590.8	47.35	22.5	4.21	43.14	0.9767	0.0942	-38.93
YAL015C_mRNA	82	628.9	46.9	24.5	2.09	44.82	1.0	0.1037	-42.73
