Gene	span_growth_nt	n_new_gene_overlaps	max_gene_overlap_nt	max_same_strand_orf_overlap_nt
Q0010	0	0	0	0
Q0017	0	0	0	0
Q0032	0	0	0	0
Q0045	2	0	0	0
Q0050	0	0	0	0
Q0055	0	0	0	0
Q0060	0	0	0	0
Q0065	0	0	0	0
Q0070	0	0	0	0
Q0075	0	0	0	0
Q0080	0	0	0	0
Q0085	0	0	0	0
Q0092	0	0	0	0
Q0105	332	0	0	0
Q0110	0	0	0	0
Q0115	0	0	0	0
Q0120	0	0	0	0
Q0130	0	0	0	0
Q0140	506	0	0	0
Q0142	0	0	0	0
Q0143	0	0	0	0
Q0144	0	0	0	0
Q0160	0	0	0	0
Q0182	0	0	0	0
Q0250	0	0	0	0
Q0255	0	0	0	0
Q0275	0	0	0	0
Q0297	0	0	0	0
YAL001C	106	1	19	0
YAL002W	0	1	19	0
YAL003W	12	1	11	0
YAL004W	0	1	11	0
YAL005C	36	0	0	0
YAL007C	24	0	0	0
YAL008W	0	0	0	0
YAL009W	0	0	0	0
YAL010C	8	0	0	0
YAL011W	0	0	0	0
YAL012W	0	0	0	0
YAL013W	7	0	0	0
YAL014C	0	0	0	0
YAL015C	1	0	0	0
YAL016C-A	0	0	0	0
YAL016C-B	0	1	180	0
YAL016W	0	0	0	0
YAL017W	441	1	180	0
YAL018C	0	0	0	0
YAL019W	195	1	23	23
YAL019W-A	0	1	23	23
YAL020C	0	1	587	442
YAL021C	652	1	587	442
YAL022C	0	0	0	0
YAL023C	3	1	1	0
YAL024C	466	1	1	0
YAL025C	0	1	29	0
YAL026C	420	2	103	0
YAL026C-A	977	0	0	0
YAL027W	0	1	103	0
YAL028W	0	0	0	0
YAL029C	323	0	0	0
YAL030W	0	0	0	0
YAL031C	37	1	19	0
YAL031W-A	0	0	0	0
YAL032C	102	1	19	0
YAL033W	10	0	0	0
YAL034C	0	0	0	0
YAL034C-B	0	0	0	0
YAL034W-A	0	0	0	0
YAL035W	4	0	0	0
YAL036C	0	0	0	0
YAL037C-A	0	0	0	0
YAL037C-B	0	0	0	0
YAL037W	0	1	2	0
YAL038W	7	1	2	0
YAL039C	0	0	0	0
YAL040C	5	0	0	0
YAL041W	2	0	0	0
YAL042C-A	0	0	0	0
YAL042W	0	0	0	0
YAL043C	2	1	116	0
YAL044C	139	1	116	0
YAL044W-A	0	0	0	0
YAL045C	0	0	0	0
YAL046C	0	0	0	0
YAL047C	0	0	0	0
YAL047W-A	0	0	0	0
YAL048C	1126	1	52	0
YAL049C	0	0	0	0
YAL051W	209	1	52	0
YAL053W	9	0	0	0
YAL054C	206	1	123	0
YAL055W	0	1	123	0
YAL056C-A	0	0	0	0
YAL056W	15	0	0	0
YAL058W	10	0	0	0
YAL059C-A	0	0	0	0
YAL059W	0	0	0	0
YAL060W	187	1	98	0
YAL061W	0	1	98	0
YAL062W	393	0	0	0
YAL063C	82	0	0	0
YAL063C-A	0	0	0	0
YAL064C-A	0	0	0	0
YAL064W	113	0	0	0
YAL064W-B	0	0	0	0
YAL065C	0	0	0	0
YAL066W	0	0	0	0
YAL067C	0	0	0	0
YAL067W-A	0	0	0	0
YAL068C	0	0	0	0
YAL068W-A	0	0	0	0
YAL069W	0	0	0	0
YAR002C-A	1	0	0	0
YAR002W	0	0	0	0
YAR003W	28	0	0	0
YAR007C	3	0	0	0
