panel	stage	genomic_position
Fig1B	candidate	49628
Fig1B	candidate	49371
Fig1B	candidate	48739
Fig1B	candidate	48687
Fig1B	candidate	48684
Fig1B	candidate	48683
Fig1B	candidate	48682
Fig1B	candidate	48681
Fig1B	candidate	48650
Fig1B	candidate	48649
Fig1B	candidate	48642
Fig1B	candidate	48640
Fig1B	candidate	48639
Fig1B	candidate	48484
Fig1B	candidate	48433
Fig1B	candidate	48376
Fig1B	candidate	48348
Fig1B	candidate	48272
Fig1B	candidate	48253
Fig1B	candidate	47994
Fig1B	candidate	47935
Fig1B	candidate	47900
Fig1B	candidate	47272
Fig1B	candidate	47264
Fig1B	candidate	47262
Fig1B	candidate	47210
Fig1B	candidate	47183
Fig1B	candidate	47179
Fig1B	candidate	47149
Fig1B	candidate	47016
Fig1B	candidate	46363
Fig1B	selected	49628
Fig1B	selected	48639
Fig1B	selected	47935
Fig1B	selected	47272
Fig1B	selected	47210
Fig1B	selected	46363
S1A	candidate	159535
S1A	candidate	160301
S1A	candidate	160361
S1A	candidate	160445
S1A	candidate	160453
S1A	candidate	160469
S1A	candidate	160498
S1A	candidate	160506
S1A	candidate	160507
S1A	candidate	160529
S1A	candidate	160530
S1A	candidate	160531
S1A	candidate	160623
S1A	candidate	160675
S1A	candidate	160832
S1A	candidate	160833
S1A	candidate	160893
S1A	candidate	161039
S1A	candidate	161548
S1A	candidate	161590
S1A	candidate	161653
S1A	candidate	161656
S1A	candidate	161657
S1A	candidate	161691
S1A	candidate	162200
S1A	selected	159535
S1A	selected	160529
S1A	selected	160833
S1A	selected	161039
S1A	selected	161548
S1A	selected	161653
S1A	selected	162200
S1B	candidate	527941
S1B	candidate	528776
S1B	candidate	528819
S1B	candidate	528841
S1B	candidate	528856
S1B	candidate	528864
S1B	candidate	529021
S1B	candidate	529222
S1B	candidate	529323
S1B	candidate	529336
S1B	candidate	529768
S1B	candidate	529780
S1B	candidate	530307
S1B	candidate	530310
S1B	candidate	530326
S1B	candidate	530353
S1B	candidate	530383
S1B	candidate	530504
S1B	candidate	530510
S1B	candidate	530560
S1B	candidate	531248
S1B	selected	527941
S1B	selected	528864
S1B	selected	529336
S1B	selected	529780
S1B	selected	530307
S1B	selected	531248
S1C	candidate	410054
S1C	candidate	410740
S1C	candidate	410985
S1C	candidate	410986
S1C	candidate	410989
S1C	candidate	411003
S1C	candidate	411011
S1C	candidate	411019
S1C	candidate	411022
S1C	candidate	411050
S1C	candidate	411357
S1C	candidate	411388
S1C	candidate	411467
S1C	candidate	411570
S1C	candidate	411597
S1C	candidate	411782
S1C	candidate	411890
S1C	candidate	411952
S1C	candidate	411961
S1C	candidate	412026
S1C	candidate	412073
S1C	candidate	412283
S1C	candidate	412311
S1C	candidate	412378
S1C	candidate	412598
S1C	candidate	412651
S1C	candidate	412653
S1C	candidate	412802
S1C	candidate	412881
S1C	candidate	413079
S1C	candidate	413156
S1C	candidate	414078
S1C	candidate	414143
S1C	candidate	414184
S1C	candidate	414198
S1C	candidate	414207
S1C	candidate	414981
S1C	selected	410054
S1C	selected	413079
S1C	selected	413156
S1C	selected	414078
S1C	selected	414143
S1C	selected	414981
S1D	candidate	47905
S1D	candidate	46944
S1D	candidate	46942
S1D	candidate	46930
S1D	candidate	46922
S1D	candidate	46915
S1D	candidate	46910
S1D	candidate	46909
S1D	candidate	46891
S1D	candidate	46641
S1D	candidate	46640
S1D	candidate	46626
S1D	candidate	46438
S1D	candidate	46418
S1D	candidate	46371
S1D	candidate	46214
S1D	candidate	46070
S1D	candidate	45985
S1D	candidate	45978
S1D	candidate	45777
S1D	candidate	45758
S1D	candidate	45757
S1D	candidate	45736
S1D	candidate	45474
S1D	candidate	45321
S1D	candidate	45164
S1D	candidate	44568
S1D	candidate	44562
S1D	candidate	44556
S1D	candidate	43623
S1D	selected	47905
S1D	selected	46915
S1D	selected	45474
S1D	selected	45164
S1D	selected	44568
S1D	selected	43623
S1E	candidate	143170
S1E	candidate	142529
S1E	candidate	142373
S1E	candidate	142246
S1E	candidate	142242
S1E	candidate	142240
S1E	candidate	142198
S1E	candidate	142195
S1E	candidate	142183
S1E	candidate	142169
S1E	candidate	142167
S1E	candidate	142160
S1E	candidate	142154
S1E	candidate	141948
S1E	candidate	141840
S1E	candidate	141760
S1E	candidate	141715
S1E	candidate	141634
S1E	candidate	141138
S1E	candidate	141086
S1E	candidate	141084
S1E	candidate	141031
S1E	candidate	140923
S1E	candidate	140901
S1E	candidate	140217
S1E	selected	143170
S1E	selected	142183
S1E	selected	141948
S1E	selected	141634
S1E	selected	141138
S1E	selected	141086
S1E	selected	140217
S1F	candidate	164154
S1F	candidate	163238
S1F	candidate	163206
S1F	candidate	163204
S1F	candidate	163203
S1F	candidate	163201
S1F	candidate	163199
S1F	candidate	163198
S1F	candidate	162965
S1F	candidate	162824
S1F	candidate	162823
S1F	candidate	162769
S1F	candidate	162496
S1F	candidate	162485
S1F	candidate	162366
S1F	candidate	162337
S1F	candidate	162324
S1F	candidate	162293
S1F	candidate	162265
S1F	candidate	162151
S1F	candidate	162017
S1F	candidate	162016
S1F	candidate	161986
S1F	candidate	161985
S1F	candidate	161813
S1F	candidate	161811
S1F	candidate	161613
S1F	candidate	160968
S1F	candidate	160856
S1F	candidate	160813
S1F	candidate	160752
S1F	candidate	160745
S1F	candidate	160710
S1F	candidate	159995
S1F	selected	164154
S1F	selected	163198
S1F	selected	162016
S1F	selected	161613
S1F	selected	160968
S1F	selected	160856
S1F	selected	160813
S1F	selected	160752
S1F	selected	159995
S1G	candidate	1225822
S1G	candidate	1226143
S1G	candidate	1226215
S1G	candidate	1226472
S1G	candidate	1226561
S1G	candidate	1226563
S1G	candidate	1226565
S1G	candidate	1226577
S1G	candidate	1226606
S1G	candidate	1226607
S1G	candidate	1226764
S1G	candidate	1226770
S1G	candidate	1226773
S1G	candidate	1226798
S1G	candidate	1226820
S1G	candidate	1227132
S1G	candidate	1227140
S1G	candidate	1227142
S1G	candidate	1227144
S1G	candidate	1228341
S1G	candidate	1228372
S1G	candidate	1228378
S1G	candidate	1228387
S1G	candidate	1228429
S1G	candidate	1228439
S1G	candidate	1228451
S1G	candidate	1229193
S1G	candidate	1229303
S1G	selected	1225822
S1G	selected	1226607
S1G	selected	1226764
S1G	selected	1226820
S1G	selected	1227144
S1G	selected	1228372
S1G	selected	1229303
S1H	candidate	309967
S1H	candidate	310333
S1H	candidate	310338
S1H	candidate	310358
S1H	candidate	310359
S1H	candidate	310953
S1H	candidate	310955
S1H	candidate	310957
S1H	candidate	310962
S1H	candidate	311195
S1H	candidate	311523
S1H	candidate	312013
S1H	candidate	312015
S1H	candidate	312022
S1H	candidate	312036
S1H	candidate	312046
S1H	candidate	312047
S1H	candidate	312048
S1H	candidate	312153
S1H	candidate	312176
S1H	candidate	312189
S1H	candidate	312779
S1H	candidate	312927
S1H	selected	309967
S1H	selected	311523
S1H	selected	312013
S1H	selected	312927
