gene	technology	count_new	count_old	len_new	len_old	length_gain_nt	extended	quantifiable	cpm_new	cpm_old	tpm_new	tpm_old	log2fc_cpm	log2fc_tpm	max_same_strand_orf_overlap_nt	worst_tier
YAL067C	direct RNA	10	10	1782	1782	0	False	True	3.10280043253038	3.1284843494441934	1.8273807931030681	1.681636126873527	-0.011892978959454847	0.11991172843606956	0	False
YAL066W	direct RNA	14	14	653	653	0	False	True	4.343920605542532	4.3798780892218705	6.981546098979379	6.424725588551416	-0.011892978959454847	0.11991172843606979	0	False
YAL063C-A	direct RNA	62	62	1566	1566	0	False	True	19.237362681688357	19.396602966554	12.89248656099613	11.864232812355986	-0.011892978959454403	0.11991172843606979	0	False
YAL063C	direct RNA	113	81	4268	3969	299	True	True	35.061644887593296	25.340723230497968	8.62165793776927	6.115664445078825	0.46843598057110736	0.49545607414204085	0	False
YAL062W	direct RNA	106	39	1644	1512	132	True	True	32.88968458482203	12.201088962832355	20.996205156376202	7.72952034030796	1.430625256741496	1.4416778046764107	0	False
YAL061W	direct RNA	63	54	2086	1673	413	True	True	19.547642724941397	16.893815486998644	9.834742671069465	9.672473473806678	0.21049944237699325	0.02400243729110496	0	False
YAL060W	direct RNA	183	183	1326	1326	0	False	True	56.78124791530596	57.25126359482874	44.94116447327822	41.3568349012231	-0.011892978959455291	0.11991172843607067	0	False
YAL059W	direct RNA	74	199	878	878	0	False	True	22.960723200724814	62.25683855393945	27.445677724933415	67.92009567649617	-1.439064233874154	-1.3072595264786298	0	False
YAL058W	direct RNA	50	50	1770	1758	12	True	True	15.514002162651902	15.642421747220967	9.198849077145953	8.522968083300979	-0.011892978959454847	0.11009743860911403	0	False
YAL056C-A	direct RNA	6	6	351	351	0	False	True	1.8616802595182282	1.877090609666516	5.566483031298578	5.122522355707052	-0.011892978959454736	0.11991172843606934	0	False
YAL056W	direct RNA	154	154	2817	2806	11	True	True	47.78312666096786	48.17865898144058	17.802075125654554	16.446473236837072	-0.011892978959454403	0.11426717368103834	0	False
YAL055W	direct RNA	29	29	696	696	0	False	True	8.998121254338104	9.072604613388162	13.568302388790281	12.486148242035936	-0.011892978959454847	0.11991172843606979	0	False
YAL054C	direct RNA	77	70	2547	2142	405	True	True	23.89156333048393	21.899390446109354	9.84461044934607	9.793057444734067	0.12561054479048028	0.007574772662065854	0	False
YAL053W	direct RNA	257	256	2590	2582	8	True	True	79.74197111603077	80.08919934577135	32.31246684712682	29.711423237439504	-0.0062684297655764	0.12107318036322212	0	False
YAL051W	direct RNA	55	39	3311	3144	167	True	True	17.065402378917092	12.201088962832355	5.409289988886492	3.7172502399954315	0.4840645157029564	0.5412034299600883	0	False
YAL049C	direct RNA	224	266	2391	2391	0	False	True	69.50272968868052	83.21768369521554	30.50740010126999	33.33817247058027	-0.2598204924030405	-0.12801578500751631	0	False
YAL047C	direct RNA	49	49	1955	1955	0	False	True	15.203722119398863	15.329573312276548	8.161802357655946	7.5108492750047375	-0.011892978959454847	0.11991172843606979	0	False
YAL046C	direct RNA	85	85	637	637	0	False	True	26.37380367650823	26.592116970275644	43.452648152483796	39.98703675628464	-0.011892978959455291	0.11991172843606979	0	False
YAL044W-A	direct RNA	40	70	991	985	6	True	True	12.41120173012152	21.899390446109354	13.143865078949213	21.29617162093439	-0.819247901017059	-0.6962045264642844	0	False
YAL044C	direct RNA	212	219	720	720	0	False	True	65.77936916964406	68.51380725282783	95.88267021411798	91.14888216686232	-0.05875958399742931	0.07304512339809577	0	False
YAL043C	direct RNA	63	63	2569	2569	0	False	True	19.547642724941397	19.70945140149842	7.985703858252592	7.348795695585184	-0.011892978959455291	0.11991172843606979	0	False
YAL042W	direct RNA	312	312	1411	1411	0	False	True	96.80737349494787	97.60871170265884	72.00527872945544	66.26242242123678	-0.011892978959455291	0.11991172843606979	0	False
YAL041W	direct RNA	113	113	2692	2690	2	True	True	35.061644887593296	35.351873148719385	13.669107012778321	12.588265439554446	-0.011892978959455291	0.11883949126973903	0	False
YAL040C	direct RNA	125	125	2257	2252	5	True	True	38.78500540662975	39.10605436805242	18.034961083903784	16.633412400580735	-0.011892978959455291	0.11671213732446262	0	False
YAL039C	direct RNA	137	137	1013	1013	0	False	True	42.50836592566621	42.86023558738545	44.04005750675464	40.52759666319266	-0.011892978959455291	0.11991172843606979	0	False
YAL038W	direct RNA	8061	14948	1811	1804	7	True	True	2501.1674286627394	4676.4584055491805	1449.4633094118844	2483.054686323102	-0.9028147206058765	-0.7765972209051384	0	False
YAL037C-B	direct RNA	4925	234	1271	975	296	True	True	1528.1292130212123	73.20653377699412	1261.820096266728	71.920213874127	4.383650310688241	4.132965111715779	0	False
YAL037W	direct RNA	188	193	2947	2947	0	False	True	58.33264813157115	60.379747944272935	20.773729344493297	19.625326995965544	-0.04976116454989832	0.08204354284562676	0	False
YAL036C	direct RNA	116	116	1429	1429	0	False	True	35.992485017352415	36.29041845355265	26.433977502023893	24.32570798168513	-0.011892978959454403	0.11991172843606979	0	False
YAL035W	direct RNA	451	576	3198	3194	4	True	True	139.93629950712014	180.20069852798554	45.92348500821326	54.04148819596267	-0.36483435714638635	-0.234835275819961	0	False
YAL034C-B	direct RNA	141	6	1537	427	1110	True	True	43.74948609867836	1.877090609666516	29.873217490999554	4.210785355628044	4.542695872718182	2.8266913900434263	0	False
YAL034W-A	direct RNA	17	26	1070	1070	0	False	True	5.274760735301647	8.134059308554903	5.173707826753677	7.281641591617219	-0.6248698558502075	-0.49306514845468286	0	False
YAL034C	direct RNA	54	55	2037	2037	0	False	True	16.755122335664055	17.206663921943065	8.63255763174875	8.091171173042435	-0.038365190320646114	0.09343951707487808	0	False
YAL033W	direct RNA	283	286	702	696	6	True	True	87.80925224060977	89.47465239410393	131.2762248214581	123.13925507663028	-0.02710607290596112	0.09231491003373016	0	False
YAL032C	direct RNA	42	26	1982	1312	670	True	True	13.031761816627597	8.134059308554903	6.900529166448337	5.938533919992701	0.6799847256782132	0.2166001905053334	0	False
YAL031C	direct RNA	37	52	2484	2444	40	True	True	11.480361600362407	16.268118617109806	4.850504235606188	6.375905485294946	-0.5028793314715978	-0.39449551247782466	0	False
YAL030W	direct RNA	65	93	636	636	0	False	True	20.168202811447472	29.094904449831	33.280741708353524	43.81931269846574	-0.528683977039031	-0.3968792696435077	0	False
YAL029C	direct RNA	202	172	4741	4416	325	True	True	62.67656873711368	53.80993081044013	13.874526467170488	11.671834226250985	0.22005374909024233	0.2494072355375403	0	False
YAL028W	direct RNA	64	64	1714	1714	0	False	True	19.857922768194435	20.022299836442837	12.159225477935747	11.189453733819835	-0.011892978959454403	0.11991172843606979	0	False
YAL027W	direct RNA	88	104	988	988	0	False	True	27.304643806267347	32.53623723421961	29.00430632097679	31.54395345356447	-0.2529010784632506	-0.12109637106772464	0	False
YAL026C-A	direct RNA	69	47	1661	438	1223	True	True	21.409322984459624	14.70387644238771	13.527458612785495	32.156107801407614	0.5420426261410762	-1.2492019648246013	0	False
YAL026C	direct RNA	50	56	4293	4068	225	True	True	15.514002162651902	17.519512356887482	3.792677117761085	4.125217118312758	-0.17539171124233377	-0.12125349743713332	0	False
YAL025C	direct RNA	93	93	1229	1229	0	False	True	28.856044022532537	29.094904449831	24.641538593799762	22.67622691311978	-0.011892978959454403	0.11991172843606979	0	False
YAL024C	direct RNA	34	30	4827	4308	519	True	True	10.549521470603294	9.38545304833258	2.293709291330613	2.086821433209349	0.168679266682366	0.13637539717749547	0	False
YAL023C	direct RNA	533	534	2528	2528	0	False	True	165.37926305386927	167.06106426031994	68.65732759391031	63.300030011840406	-0.014597187887832597	0.1172075195076916	0	False
YAL022C	direct RNA	80	80	1739	1739	0	False	True	24.82240346024304	25.027874795553547	14.98052937692774	13.78574158982691	-0.011892978959455291	0.11991172843606979	0	False
