transcript	n_reads	mean_read_length	mean_clip_total	median_clip_total	mean_clip_5p	mean_clip_3p	frac_clipped	mean_clip_frac	asymmetry
Q0010_mRNA	10	623.1	409.4	354.5	89.3	320.1	1.0	0.5576	-230.8
Q0045_mRNA	34	715.5	362.76	207.0	182.68	180.09	1.0	0.4265	2.59
Q0050_mRNA	199	581.2	66.23	55.0	25.21	41.03	0.9347	0.1192	-15.82
Q0055_mRNA	157	526.6	66.35	52.0	14.07	52.28	0.9363	0.1193	-38.21
Q0060_mRNA	18	526.4	159.83	85.5	112.06	47.78	1.0	0.2678	64.28
Q0065_mRNA	38	699.8	212.26	80.0	67.34	144.92	0.9737	0.2338	-77.58
Q0070_mRNA	6	480.5	321.33	417.0	280.17	41.17	1.0	0.6247	239.0
Q0080_mRNA	8	683.2	538.62	569.0	232.75	305.88	1.0	0.7778	-73.12
Q0085_mRNA	59	661.6	214.27	150.0	73.53	140.75	1.0	0.2951	-67.22
Q0105_mRNA	38	696.2	216.53	107.5	147.26	69.26	0.9211	0.2822	78.0
Q0120_mRNA	23	666.4	161.57	67.0	40.26	121.3	0.913	0.1645	-81.04
Q0130_mRNA	185	500.6	290.24	204.0	174.56	115.68	1.0	0.5032	58.89
Q0140_mRNA	34	461.6	80.18	79.0	15.85	64.32	0.9412	0.1661	-48.47
Q0160_mRNA	29	267.9	37.72	9.0	2.72	35.0	1.0	0.1207	-32.28
Q0250_mRNA	46	484.2	91.33	78.5	30.07	61.26	1.0	0.2013	-31.2
Q0255_mRNA	24	511.5	108.25	74.5	43.58	64.67	0.9583	0.2129	-21.08
Q0275_mRNA	27	757.2	366.41	370.0	40.85	325.56	1.0	0.4027	-284.7
YAL001C_mRNA	77	774.2	55.57	68.0	4.06	51.51	1.0	0.1009	-47.44
YAL002W_mRNA	50	928.6	106.08	104.0	11.36	94.72	1.0	0.1645	-83.36
YAL003W_mRNA	6953	566.3	53.12	70.0	4.6	48.52	0.9871	0.109	-43.92
YAL004W_mRNA	2015	870.5	42.67	11.0	2.38	40.29	0.9682	0.0748	-37.92
YAL005C_mRNA	1791	900.2	42.13	12.0	2.56	39.57	0.962	0.0699	-37.01
YAL007C_mRNA	470	556.1	47.91	58.5	2.15	45.77	0.9894	0.101	-43.62
YAL008W_mRNA	137	591.1	61.11	72.0	3.29	57.82	1.0	0.1176	-54.53
YAL009W_mRNA	64	542.4	35.0	8.5	2.7	32.3	0.9688	0.0825	-29.59
YAL010C_mRNA	85	633.6	52.65	17.0	6.93	45.72	1.0	0.098	-38.79
YAL011W_mRNA	27	645.3	57.56	18.0	1.78	55.78	1.0	0.0983	-54.0
YAL012W_mRNA	779	800.6	53.19	68.0	4.11	49.08	0.991	0.084	-44.97
YAL013W_mRNA	65	614.7	56.08	57.0	5.2	50.88	1.0	0.1017	-45.68
YAL014C_mRNA	86	590.8	47.35	22.5	4.21	43.14	0.9767	0.0942	-38.93
YAL015C_mRNA	81	634.2	46.16	21.0	2.06	44.1	1.0	0.0983	-42.04
YAL016C-B_mRNA	5	186.4	36.8	7.0	0.2	36.6	1.0	0.1619	-36.4
YAL016W_mRNA	512	843.4	51.66	65.0	2.26	49.4	1.0	0.0871	-47.14
YAL017W_mRNA	128	701.1	54.67	27.5	3.24	51.43	0.9609	0.0981	-48.19
YAL018C_mRNA	9	510.8	160.11	174.0	14.44	145.67	1.0	0.368	-131.22
YAL019W_mRNA	197	701.7	46.74	20.0	3.18	43.56	0.9645	0.0876	-40.39
YAL020C_mRNA	50	691.4	41.42	9.0	1.68	39.74	0.98	0.0731	-38.06
YAL021C_mRNA	90	783.4	51.9	72.5	2.91	48.99	0.9889	0.0962	-46.08
YAL022C_mRNA	80	748.7	54.19	71.0	2.11	52.08	1.0	0.1004	-49.96
YAL023C_mRNA	533	835.4	50.23	65.0	3.1	47.13	0.9944	0.0883	-44.03
YAL024C_mRNA	34	752.7	43.47	13.5	1.06	42.41	1.0	0.0801	-41.35
YAL025C_mRNA	93	417.5	49.37	27.0	1.27	48.1	0.9892	0.1134	-46.83
YAL026C-A_mRNA	43	520.7	37.98	11.0	2.79	35.19	1.0	0.0867	-32.4
YAL026C_mRNA	60	796.3	46.0	11.0	1.52	44.48	0.9833	0.0731	-42.97
YAL027W_mRNA	104	694.3	58.27	75.5	2.0	56.27	1.0	0.0931	-54.27
