gene	chr	strand	orf_span	cds_len	depth_orf1000	depth_ourref	mean_read_len	mtif_support	drs_5	nag_5	final_5	pel_5	drs_3	nag_3	final_3	pel_3	shortfall_5	shortfall_3	shortfall_nt_5	shortfall_nt_3	verdict_5	verdict_3
YAL001C	I	-	3573	3483	66.0	76.0	816.4	1.0	197.0		197	31.0	60.0		60	36.0						
YAL002W	I	+	3825	3825	2231.0	52.0	417.7	2.0	106.0		106	95.0	57.0		57	56.0						
YAL003W	I	+	987	621	4958.0	6952.0	626.0	9650.0	0.0	32.0	32	21.0	72.0	335.0	335	221.0	1.0	1.0	32.0	263.0	DRS too short	DRS too short
YAL004W	I	+	648	648	95.0	2052.0	466.6	2.0	929.0	3110.0	3110	1963.0	74.0	732.0	732	745.0	1.0	1.0	2181.0	658.0	DRS too short	both too short
YAL005C	I	-	1929	1929	3690.0	1752.0	897.0	3080.0	56.0	252.0	252	62.0	156.0	121.0	156	146.0	1.0	0.0	196.0		DRS too short	
YAL007C	I	-	648	648	270.0	468.0	530.8	557.0	95.0	68.0	95	69.0	149.0	289.0	289	146.0	0.0	1.0		140.0		both too long
YAL008W	I	+	597	597	346.0	141.0	566.2	638.0	58.0	98.0	98	48.0	110.0	207.0	207	127.0	1.0	1.0	40.0	97.0	both too long	DRS too short
YAL009W	I	+	780	780	70.0	64.0	638.2	28.0	43.0	445.0	445	0.0	104.0	132.0	132	123.0	1.0	1.0	402.0	28.0		DRS too short
YAL010C	I	-	1482	1482	69.0	85.0	701.0	35.0	30.0	22.0	30	23.0	110.0	182.0	182	101.0	0.0	1.0		72.0		both too long
YAL011W	I	+	1878	1878	281.0	27.0	520.0	44.0	181.0	29.0	181	4.0	98.0	133.0	133	97.0	0.0	1.0		35.0		both too long
YAL012W	I	+	1185	1185	567.0	779.0	908.3	2282.0	99.0	112.0	112	64.0	101.0	116.0	116	99.0	1.0	1.0	13.0	15.0	both too long	both too long
YAL013W	I	+	1218	1218	51.0	65.0	687.3	109.0	21.0	75.0	75	32.0	102.0	95.0	102	101.0	1.0	0.0	54.0		DRS too short	
YAL014C	I	-	768	768	48.0	86.0	580.2	290.0	42.0	52.0	52	48.0	45.0	220.0	220	134.0	1.0	1.0	10.0	175.0	DRS too short	DRS too short
YAL015C	I	-	1200	1200	250.0	82.0	582.5	98.0	5.0	7.0	7	0.0	7.0	146.0	146	7.0	1.0	1.0	2.0	139.0		both too long
YAL016C-A	I	-	315	315	24.0		476.6	1.0			0	6.0			0	261.0						
YAL016C-B	I	-	186	186	30.0	30.0	571.4	0.0	5.0		5		293.0		293							
