Gene,five_prime_utr,three_prime_utr,mtif_support
YAL001C,31.0,36.0,1
YAL002W,95.0,56.0,2
YAL003W,21.0,221.0,9650
YAL004W,1963.0,745.0,2
YAL005C,62.0,146.0,3080
YAL007C,69.0,146.0,557
YAL008W,48.0,127.0,638
YAL009W,0.0,123.0,28
YAL010C,23.0,101.0,35
YAL011W,4.0,97.0,44
YAL012W,64.0,99.0,2282
YAL013W,32.0,101.0,109
YAL014C,48.0,134.0,290
YAL015C,0.0,7.0,98
YAL016C-A,6.0,261.0,1
YAL016C-B,,,0
YAL016W,97.0,68.0,188
YAL017W,385.0,219.0,1
YAL018C,50.0,138.0,2
YAL019W,110.0,49.0,4
YAL019W-A,,,0
YAL020C,22.0,75.0,3
YAL021C,59.0,230.0,42
YAL022C,16.0,42.0,1417
YAL023C,88.0,115.0,225
YAL024C,,,0
YAL025C,23.0,203.0,142
YAL026C,86.0,140.0,4
YAL026C-A,25.0,244.0,0
YAL027W,80.0,101.0,4
YAL028W,48.0,43.0,10
YAL029C,252.0,61.0,3
YAL030W,22.0,110.0,161
YAL031C,47.0,78.0,4
YAL031W-A,354.0,2097.0,1
YAL032C,20.0,125.0,29
YAL033W,5.0,72.0,193
YAL034C,620.0,100.0,67
YAL034C-B,31.0,43.0,1
YAL034W-A,29.0,88.0,14
YAL035W,26.0,126.0,1336
YAL036C,32.0,29.0,141
YAL037C-A,192.0,55.0,3
YAL037C-B,,,0
YAL037W,567.0,1577.0,3
YAL038W,27.0,164.0,9845
YAL039C,56.0,69.0,355
YAL040C,328.0,177.0,32
YAL041W,64.0,59.0,10
YAL042C-A,,,0
YAL042W,16.0,91.0,218
YAL043C,31.0,76.0,71
YAL044C,14.0,82.0,1488
YAL044W-A,1.0,111.0,1456
YAL045C,680.0,566.0,1
YAL046C,30.0,122.0,126
YAL047C,29.0,55.0,141
YAL047W-A,322.0,153.0,3
YAL048C,1.0,1065.0,6
YAL049C,66.0,136.0,330
YAL051W,25.0,80.0,2
YAL053W,140.0,72.0,22
YAL054C,51.0,163.0,2
YAL055W,7.0,119.0,17
YAL056C-A,,,0
YAL056W,51.0,98.0,17
YAL058W,49.0,191.0,60
YAL059C-A,48.0,50.0,0
YAL059W,2.0,197.0,6
YAL060W,48.0,84.0,182
YAL061W,89.0,167.0,24
YAL062W,38.0,75.0,9
YAL063C,,,0
YAL063C-A,948.0,34.0,3
YAL064C-A,947.0,412.0,1
YAL064W,308.0,148.0,0
YAL064W-B,733.0,554.0,8
YAL065C,,,0
YAL066W,284.0,61.0,1
YAL067C,33.0,222.0,2
YAL067W-A,,,0
YAL068C,,,0
YAL068W-A,,,0
YAL069W,,,0
YAR002C-A,16.0,76.0,378
YAR002W,42.0,94.0,141
YAR003W,85.0,495.0,65
YAR007C,63.0,73.0,155
YAR008W,102.0,97.0,18
YAR014C,150.0,178.0,29
YAR015W,98.0,95.0,482
YAR018C,8.0,64.0,30
YAR019C,33.0,85.0,2
YAR019W-A,,,0
YAR020C,,,0
YAR023C,231.0,30.0,4
YAR027W,99.0,83.0,73
YAR028W,56.0,198.0,51
YAR029W,1468.0,227.0,7
YAR030C,4.0,479.0,1
YAR031W,2016.0,138.0,1
YAR033W,46.0,93.0,52
YAR035C-A,361.0,63.0,0
YAR035W,44.0,104.0,2
YAR042W,36.0,125.0,5
YAR047C,,,0
YAR050W,,,0
YAR053W,174.0,969.0,1
YAR060C,,,0
YAR064W,,,0
YAR066W,,,0
YAR068W,,,0
YAR069C,,,0
YAR070C,,,0
YAR071W,,,0
YAR073W,224.0,512.0,0
YAR075W,1326.0,148.0,0
YBL001C,11.0,75.0,3949
YBL002W,23.0,192.0,16563
YBL003C,27.0,173.0,2949
YBL004W,,,0
YBL005W,62.0,285.0,6
YBL006C,8.0,182.0,316
YBL006W-A,4.0,618.0,1
YBL007C,52.0,64.0,96
YBL008W,55.0,81.0,16
YBL008W-A,51.0,2607.0,1
YBL009W,34.0,126.0,92
YBL010C,30.0,208.0,10
YBL011W,101.0,205.0,133
YBL012C,,,0
YBL013W,66.0,2761.0,2
YBL014C,29.0,141.0,18
YBL015W,77.0,282.0,147
YBL016W,17.0,135.0,4
YBL017C,180.0,73.0,1
YBL018C,41.0,36.0,122
YBL019W,0.0,112.0,13
YBL020W,82.0,80.0,44
YBL021C,24.0,170.0,113
YBL022C,127.0,76.0,25
YBL023C,53.0,188.0,40
YBL024W,23.0,125.0,85
YBL025W,48.0,466.0,26
YBL026W,71.0,126.0,49
YBL027W,31.0,84.0,8809
YBL028C,47.0,89.0,39
YBL029C-A,4.0,93.0,61
YBL029W,,,0
YBL030C,121.0,300.0,759
YBL031W,30.0,159.0,35
YBL032W,92.0,180.0,177
YBL033C,28.0,67.0,80
YBL034C,,,0
YBL035C,81.0,46.0,67
YBL036C,8.0,146.0,137
YBL037W,98.0,109.0,3
YBL038W,63.0,58.0,495
YBL039C,54.0,184.0,485
YBL039C-A,751.0,1143.0,485
YBL039W-B,307.0,135.0,23
YBL040C,43.0,67.0,7537
YBL041W,35.0,46.0,285
YBL042C,56.0,51.0,1267
YBL043W,133.0,164.0,8
YBL044W,,,0
YBL045C,186.0,182.0,242
YBL046W,0.0,178.0,2
YBL047C,173.0,144.0,3
YBL048W,618.0,194.0,1
YBL049W,61.0,263.0,2
YBL050W,77.0,67.0,199
YBL051C,63.0,444.0,14
YBL052C,267.0,73.0,4
YBL053W,,,0
YBL054W,115.0,120.0,30
YBL055C,60.0,73.0,6
YBL056W,126.0,396.0,209
YBL057C,20.0,73.0,193
YBL058W,28.0,126.0,99
YBL059C-A,8.0,243.0,32
YBL059W,,,0
YBL060W,18.0,38.0,20
YBL061C,109.0,68.0,45
YBL062W,,,0
YBL063W,0.0,78.0,2
YBL064C,32.0,72.0,391
YBL065W,330.0,2.0,0
YBL066C,39.0,327.0,5
YBL067C,277.0,122.0,2
YBL068W,32.0,89.0,930
YBL068W-A,1134.0,81.0,37
YBL069W,81.0,81.0,37
YBL070C,1294.0,2193.0,1
YBL071C,50.0,1820.0,4
YBL071C-B,54.0,1055.0,5
YBL071W-A,35.0,246.0,165
YBL072C,24.0,120.0,413
YBL073W,,,0
YBL074C,1.0,2304.0,23
YBL075C,1342.0,81.0,23
YBL076C,16.0,96.0,221
YBL077W,,,0
YBL078C,44.0,164.0,18
YBL079W,53.0,78.0,1
YBL080C,16.0,105.0,66
YBL081W,314.0,137.0,10
YBL082C,46.0,54.0,127
YBL083C,1035.0,16.0,127
YBL084C,,,0
YBL085W,202.0,120.0,2
YBL086C,106.0,47.0,163
YBL087C,23.0,105.0,3091
YBL088C,,,0
YBL089W,64.0,63.0,61
YBL090W,31.0,123.0,81
YBL091C,22.0,100.0,396
YBL091C-A,13.0,132.0,14
YBL092W,32.0,147.0,8262
YBL093C,80.0,150.0,149
YBL094C,585.0,733.0,2
YBL095W,16.0,118.0,15
YBL096C,1200.0,142.0,2
YBL097W,58.0,170.0,2
YBL098W,,,0
YBL099W,320.0,232.0,1199
YBL100C,,,0
YBL100W-C,55.0,140.0,2
YBL101C,107.0,169.0,2
YBL102W,88.0,193.0,229
YBL103C,266.0,458.0,6
YBL104C,4.0,36.0,3
YBL105C,266.0,137.0,66
YBL106C,52.0,67.0,2
YBL107C,0.0,126.0,129
YBL107W-A,,,0
YBL108C-A,,,0
YBL108W,,,0
YBL109W,,,0
YBL111C,,,0
YBL112C,,,0
YBL113C,,,0
YBL113W-A,,,0
YBR001C,56.0,69.0,36
YBR002C,16.0,119.0,16
YBR003W,29.0,127.0,72
YBR004C,16.0,93.0,88
YBR005W,38.0,156.0,42
YBR006W,131.0,146.0,30
YBR007C,122.0,141.0,5
YBR008C,221.0,160.0,36
YBR009C,39.0,168.0,2294
YBR010W,28.0,152.0,575
YBR011C,31.0,112.0,7528
YBR012C,5.0,206.0,1
YBR013C,131.0,13.0,1
YBR014C,96.0,111.0,110
YBR015C,128.0,119.0,131
YBR016W,30.0,207.0,1811
YBR017C,62.0,102.0,48
YBR018C,20.0,137.0,347
YBR019C,25.0,110.0,7307
YBR020W,58.0,156.0,40248
YBR021W,136.0,127.0,66
YBR022W,62.0,158.0,25
YBR023C,134.0,96.0,3
YBR024W,113.0,2.0,654
YBR025C,37.0,211.0,450
YBR026C,3.0,116.0,113
YBR027C,,,0
YBR028C,34.0,176.0,17
YBR029C,90.0,131.0,104
YBR030W,60.0,56.0,18
YBR031W,16.0,88.0,6027
YBR032W,1.0,140.0,2
YBR033W,23.0,83.0,6
YBR034C,20.0,190.0,27
YBR035C,30.0,99.0,217
YBR036C,48.0,194.0,23
YBR037C,49.0,70.0,45
