Gene	final_five_prime_utr	final_three_prime_utr
Q0010	0	0
Q0017	0	0
Q0032	0	0
Q0045	0	1
Q0050	0	0
Q0055	0	0
Q0060	0	0
Q0065	0	0
Q0070	0	0
Q0075	0	0
Q0080	0	0
Q0085	0	0
Q0092	0	0
Q0105	0	331
Q0110	0	0
Q0115	0	0
Q0120	0	0
Q0130	0	0
Q0140	450	55
Q0142	0	0
Q0143	0	0
Q0144	0	0
Q0160	0	0
Q0182	0	0
Q0250	0	0
Q0255	0	0
Q0275	0	0
Q0297	0	0
YAL001C	24	81
YAL002W	0	0
YAL003W	44	335
YAL004W	3110	732
YAL005C	252	157
YAL007C	92	289
YAL008W	98	207
YAL009W	445	132
YAL010C	30	182
YAL011W	29	133
YAL012W	112	116
YAL013W	75	102
YAL014C	52	220
YAL015C	8	146
YAL016C-A	0	0
YAL016C-B	0	0
YAL016W	92	96
YAL017W	250	190
YAL018C	0	0
YAL019W	122	72
YAL019W-A	0	0
YAL020C	8	145
YAL021C	695	309
YAL022C	40	144
YAL023C	119	131
YAL024C	268	197
YAL025C	22	285
YAL026C	270	149
YAL026C-A	976	0
YAL027W	91	110
YAL028W	47	79
YAL029C	236	86
YAL030W	21	260
YAL031C	36	161
YAL031W-A	0	0
YAL032C	131	142
YAL033W	14	169
YAL034C	634	160
YAL034C-B	30	42
YAL034W-A	43	156
YAL035W	61	127
YAL036C	54	264
YAL037C-A	0	0
YAL037C-B	0	0
YAL037W	566	1576
YAL038W	141	166
YAL039C	116	86
YAL040C	327	186
YAL041W	66	60
YAL042C-A	0	0
YAL042W	46	116
YAL043C	17	195
YAL044C	152	193
YAL044W-A	544	107
YAL045C	0	0
YAL046C	158	121
YAL047C	28	57
YAL047W-A	374	149
YAL048C	133	992
YAL049C	1486	163
YAL051W	56	152
YAL053W	170	68
YAL054C	40	165
YAL055W	34	118
YAL056C-A	0	0
YAL056W	39	138
YAL058W	68	190
YAL059C-A	0	0
YAL059W	42	196
YAL060W	234	129
YAL061W	102	316
YAL062W	432	98
YAL063C	0	82
YAL063C-A	931	343
YAL064C-A	0	0
YAL064W	3	109
YAL064W-B	0	0
YAL065C	0	0
YAL066W	283	60
YAL067C	0	0
YAL067W-A	0	0
YAL068C	0	0
YAL068W-A	0	0
YAL069W	0	0
YAR002C-A	26	256
YAR002W	41	237
YAR003W	74	623
YAR007C	78	75
YAR008W	118	122
YAR009C	831	324
YAR010C	41	738
YAR014C	147	185
YAR015W	125	342
YAR018C	29	218
YAR019C	29	63
YAR019W-A	235	831
YAR020C	981	374
YAR023C	876	47
YAR027W	98	209
YAR028W	59	380
YAR029W	1311	208
YAR030C	0	0
YAR031W	0	170
YAR033W	189	446
YAR035C-A	0	0
YAR035W	36	110
YAR042W	188	165
YAR047C	0	767
YAR050W	644	75
YAR053W	173	968
YAR060C	0	569
YAR064W	0	0
YAR066W	0	0
YAR068W	0	0
YAR069C	0	0
YAR070C	0	0
YAR071W	300	51
YAR073W	0	0
YAR075W	0	0
YBL001C	230	245
YBL002W	702	195
YBL003C	63	495
YBL004W	350	61
YBL005W	627	286
YBL005W-A	268	736
YBL005W-B	39	319
YBL006C	33	232
YBL006W-A	151	555
YBL007C	69	164
YBL008W	72	107
YBL008W-A	0	0
YBL009W	52	125
YBL010C	67	303
YBL011W	723	204
YBL012C	0	0
YBL013W	0	0
YBL014C	28	145
YBL015W	168	280
YBL016W	64	141
YBL017C	184	75
YBL018C	35	329
YBL019W	69	115
YBL020W	803	88
YBL021C	429	169
YBL022C	132	92
YBL023C	255	173
YBL024W	149	279
YBL025W	57	584
YBL026W	66	491
YBL027W	26	384
YBL028C	46	296
YBL029C-A	1274	129
YBL029W	231	108
YBL030C	147	322
YBL031W	33	171
YBL032W	97	205
YBL033C	27	172
YBL034C	94	190
YBL035C	92	128
YBL036C	1060	148
YBL037W	95	142
YBL038W	58	175
YBL039C	78	262
YBL039C-A	693	1139
YBL039W-B	293	176
YBL040C	296	101
YBL041W	236	67
YBL042C	58	166
YBL043W	130	207
YBL044W	0	0
YBL045C	260	215
YBL046W	17	187
YBL047C	161	222
YBL048W	686	170
YBL049W	224	253
YBL050W	76	110
YBL051C	64	448
YBL052C	214	80
YBL053W	2	0
YBL054W	849	192
YBL055C	394	95
YBL056W	135	412
YBL057C	17	523
YBL058W	30	155
YBL059C-A	661	207
YBL059W	444	44
YBL060W	230	47
YBL061C	107	120
YBL062W	990	0
YBL063W	8	120
YBL064C	263	68
YBL065W	0	0
YBL066C	173	350
YBL067C	257	119
YBL068W	63	517
YBL068W-A	673	197
YBL069W	252	162
YBL070C	0	0
YBL071C	12	366
YBL071C-B	0	0
YBL071W-A	42	519
YBL072C	24	276
YBL073W	0	0
YBL074C	18	288
YBL075C	601	80
YBL076C	45	98
YBL077W	0	0
YBL078C	43	485
YBL079W	62	86
YBL080C	52	123
YBL081W	548	136
YBL082C	49	55
YBL083C	986	14
YBL084C	113	145
YBL085W	201	123
YBL086C	123	59
YBL087C	105	228
YBL088C	0	89
YBL089W	15	280
YBL090W	39	218
YBL091C	20	352
YBL091C-A	77	242
YBL092W	363	151
YBL093C	121	437
YBL094C	0	0
YBL095W	906	251
YBL096C	559	41
YBL097W	0	0
YBL098W	0	0
YBL099W	350	291
YBL100C	0	0
YBL100W-B	502	324
YBL100W-C	0	0
YBL101C	283	168
YBL102W	218	192
YBL103C	253	502
YBL104C	307	100
YBL105C	265	139
YBL106C	74	76
YBL107C	185	230
YBL107W-A	0	0
YBL108C-A	0	0
YBL108W	0	0
YBL109W	0	0
YBL111C	0	0
YBL112C	0	0
YBL113C	143	789
YBL113W-A	0	0
YBR001C	149	157
YBR002C	15	251
YBR003W	28	133
YBR004C	1047	94
YBR005W	77	372
YBR006W	130	145
YBR007C	94	182
YBR008C	670	159
YBR009C	524	163
YBR010W	27	356
YBR011C	51	219
YBR012C	198	205
YBR012W-A	31	735
YBR012W-B	42	319
YBR013C	330	166
YBR014C	178	123
YBR015C	408	143
YBR016W	497	212
YBR017C	68	186
YBR018C	121	140
YBR019C	0	0
YBR020W	809	47
YBR021W	135	186
YBR022W	247	151
YBR023C	137	201
YBR024W	338	217
YBR025C	159	749
YBR026C	82	129
YBR027C	993	51
YBR028C	88	180
YBR029C	122	141
YBR030W	271	120
YBR031W	49	196
YBR032W	0	0
YBR033W	573	119
YBR034C	60	546
YBR035C	378	132
YBR036C	62	335
YBR037C	59	72
YBR038W	40	189
YBR039W	90	438
YBR040W	0	0
YBR041W	108	148
YBR042C	52	136
YBR043C	148	154
YBR044C	82	75
YBR045C	89	759
YBR046C	40	433
YBR047W	544	133
YBR048W	68	425
YBR049C	148	247
YBR050C	260	44
YBR051W	0	0
YBR052C	70	187
YBR053C	12	342
YBR054W	319	448
YBR055C	86	116
YBR056C-B	0	0
YBR056W	69	48
YBR056W-A	169	437
YBR057C	111	137
YBR058C	73	157
YBR058C-A	58	244
YBR059C	125	113
YBR060C	123	62
YBR061C	27	611
YBR062C	272	112
YBR063C	1372	60
YBR064W	0	0
YBR065C	57	584
YBR066C	304	104
YBR067C	384	137
YBR068C	76	222
YBR069C	168	159
YBR070C	48	119
YBR071W	215	275
YBR072C-A	0	0
YBR072W	486	167
YBR073W	257	83
YBR074W	149	118
YBR076C-A	727	1221
YBR076W	0	0
YBR077C	540	224
YBR078W	192	641
YBR079C	24	151
YBR080C	35	150
YBR081C	135	73
YBR082C	107	526
YBR083W	221	90
YBR084C-A	200	122
YBR084W	61	198
YBR085C-A	573	376
YBR085W	554	163
YBR086C	318	124
YBR087W	162	59
YBR088C	49	199
YBR089C-A	47	243
YBR089W	154	254
YBR090C	455	334
YBR091C	40	185
YBR092C	1742	52
YBR093C	494	59
YBR094W	65	121
YBR095C	73	91
YBR096W	79	162
YBR097W	45	169
YBR098W	122	161
YBR099C	3	0
YBR101C	841	840
YBR102C	67	133
YBR103C-A	0	0
YBR103W	212	61
YBR104W	109	468
YBR105C	135	159
YBR106W	56	600
YBR107C	68	565
YBR108W	737	196
YBR109C	45	339
YBR109W-A	109	322
YBR110W	257	125
YBR111C	272	76
YBR111W-A	33	177
YBR112C	553	253
YBR113W	0	0
YBR114W	87	171
YBR115C	115	145
YBR116C	927	0
YBR117C	39	137
YBR118W	206	100
YBR119W	64	264
YBR120C	147	243
YBR121C	198	113
YBR121C-A	870	1075
YBR122C	557	201
YBR123C	67	71
YBR124W	0	0
YBR125C	195	144
YBR126C	159	140
YBR126W-A	17	146
YBR126W-B	13	223
YBR127C	163	184
YBR128C	53	105
YBR129C	44	159
YBR130C	68	112
YBR131C-A	0	0
YBR131W	29	225
YBR132C	407	305
YBR133C	158	305
YBR134W	0	0
YBR135W	102	273
YBR136W	119	969
YBR137W	849	217
YBR138C	49	151
YBR139W	5	209
YBR140C	745	143
YBR141C	44	167
YBR141W-A	218	460
YBR142W	82	204
YBR143C	102	203
YBR144C	0	0
YBR145W	68	304
YBR146W	62	466
YBR147W	147	417
YBR148W	591	87
YBR149W	60	280
YBR150C	830	77
YBR151W	148	227
YBR152W	0	0
YBR153W	860	221
YBR154C	140	100
YBR155W	511	89
YBR156C	77	182
YBR157C	915	128
YBR158W	592	155
YBR159W	53	165
YBR160W	146	602
YBR161W	374	238
YBR162C	237	371
YBR162W-A	370	84
YBR163W	111	59
YBR164C	125	444
YBR165W	110	151
YBR166C	78	118
YBR167C	611	67
YBR168W	341	159
YBR169C	196	171
YBR170C	25	286
YBR171W	37	192
YBR172C	128	140
YBR173C	32	225
YBR174C	772	163
YBR175W	671	106
YBR176W	115	162
YBR177C	56	243
YBR178W	0	0
YBR179C	64	75
YBR180W	0	0
YBR181C	55	235
YBR182C	251	322
YBR182C-A	293	414
YBR183W	98	125
YBR184W	15	97
YBR185C	57	184
YBR186W	0	0
YBR187W	974	132
YBR188C	86	1163
YBR189W	43	406
YBR190W	0	3
YBR191W	57	121
YBR191W-A	848	56
YBR192W	213	277
YBR193C	184	472
YBR194W	122	238
YBR195C	67	143
YBR196C	93	192
YBR196C-A	413	108
YBR196C-B	113	429
YBR197C	1495	433
YBR198C	85	95
YBR199W	98	303
YBR200W	62	248
YBR200W-A	0	0
YBR201C-A	721	237
YBR201W	143	709
YBR202W	95	176
YBR203W	179	216
YBR204C	67	254
YBR205W	36	101
YBR206W	976	101
YBR207W	84	194
YBR208C	445	141
YBR209W	0	0
YBR210W	219	186
YBR211C	100	128
YBR212W	447	209
YBR213W	117	198
YBR214W	699	192
YBR215W	40	464
YBR216C	46	293
YBR217W	63	327
YBR218C	149	135
YBR219C	971	49
YBR220C	66	260
YBR221C	223	308
YBR221W-A	0	0
YBR222C	51	116
YBR223C	22	259
YBR223W-A	0	0
YBR224W	0	0
YBR225W	139	245
YBR226C	836	0
YBR227C	91	128
YBR228W	305	152
YBR229C	28	130
YBR230C	220	89
YBR230W-A	410	131
YBR231C	54	281
YBR232C	0	0
YBR233W	142	168
YBR233W-A	42	351
YBR234C	61	156
YBR235W	81	98
YBR236C	46	224
YBR237W	52	102
YBR238C	72	499
YBR239C	161	110
YBR240C	348	230
YBR241C	118	156
YBR242W	160	260
YBR243C	52	592
YBR244W	579	127
YBR245C	0	129
YBR246W	57	142
YBR247C	32	279
YBR248C	104	183
YBR249C	127	284
YBR250W	0	0
YBR251W	79	148
YBR252W	17	298
YBR253W	69	98
YBR254C	23	194
YBR255C-A	59	133
YBR255W	35	148
YBR256C	24	467
YBR257W	302	145
YBR258C	74	353
YBR259W	59	134
YBR260C	60	133
YBR261C	36	180
YBR262C	43	127
YBR263W	48	182
YBR264C	441	41
YBR265W	471	144
YBR266C	0	0
YBR267W	166	135
YBR268W	29	190
YBR269C	70	275
YBR270C	262	40
YBR271W	257	101
YBR272C	29	245
YBR273C	30	110
YBR274W	43	247
YBR275C	422	134
YBR276C	125	88
YBR277C	0	0
YBR278W	33	196
YBR279W	41	157
YBR280C	26	182
YBR281C	38	129
YBR282W	802	92
YBR283C	189	242
YBR284W	242	162
YBR285W	150	146
YBR286W	27	141
YBR287W	90	228
YBR288C	455	98
YBR289W	25	60
YBR290W	29	176
YBR291C	75	268
YBR292C	726	0
YBR293W	260	236
YBR294W	0	0
YBR295W	55	130
YBR296C	55	248
YBR296C-A	0	0
YBR297W	52	235
YBR298C	411	92
YBR298C-A	0	0
YBR299W	202	130
YBR300C	297	282
YBR301W	0	0
YBR302C	4	68
YCL001W	107	101
YCL001W-A	0	0
YCL001W-B	0	0
YCL002C	37	545
YCL004W	148	83
YCL005W	313	142
YCL005W-A	81	122
YCL007C	0	0
YCL008C	52	152
YCL009C	835	147
YCL010C	17	1471
YCL011C	970	109
YCL012C	136	154
YCL014W	100	114
YCL016C	147	146
YCL017C	114	363
YCL018W	144	175
YCL019W	39	315
YCL021W-A	920	311
YCL022C	0	0
YCL023C	0	0
YCL024W	451	117
YCL025C	103	80
YCL026C-A	126	211
YCL026C-B	98	74
YCL027W	0	0
YCL028W	58	381
YCL029C	98	255
YCL030C	385	154
YCL031C	68	118
YCL032W	373	103
YCL033C	184	72
YCL034W	49	119
YCL035C	114	190
YCL036W	51	138
YCL037C	66	675
YCL038C	100	129
YCL039W	33	74
YCL040W	50	315
YCL041C	0	0
YCL042W	0	738
YCL043C	102	99
YCL044C	82	173
YCL045C	63	61
YCL046W	0	0
YCL047C	8	239
YCL048W	0	0
YCL048W-A	53	233
YCL049C	62	261
YCL050C	650	117
YCL051W	308	125
YCL052C	368	189
YCL054W	220	121
YCL054W-A	71	223
YCL055W	35	178
YCL056C	353	453
YCL057C-A	274	142
YCL057W	7	186
YCL058C	0	0
YCL058W-A	50	116
YCL059C	245	113
YCL061C	178	174
YCL063W	63	149
YCL064C	22	517
YCL065W	0	0
YCL066W	0	0
YCL067C	0	0
YCL068C	0	0
YCL069W	0	0
YCL073C	0	0
YCL076W	0	0
YCR001W	0	0
YCR002C	54	420
YCR003W	21	179
YCR004C	199	399
YCR005C	731	279
YCR006C	0	0
YCR007C	798	164
YCR008W	481	267
YCR009C	71	681
YCR010C	319	184
YCR011C	150	59
YCR012W	121	168
YCR013C	0	0
YCR014C	204	115
YCR015C	314	81
YCR016W	29	289
YCR017C	68	203
YCR018C	0	151
YCR018C-A	179	53
YCR019W	278	116
YCR020C	397	94
YCR020C-A	18	416
YCR020W-B	57	515
YCR021C	112	178
YCR022C	263	280
YCR023C	85	343
YCR024C	155	117
YCR024C-A	207	537
YCR024C-B	348	198
YCR025C	621	23
YCR026C	73	239
YCR027C	190	634
YCR028C	117	800
YCR028C-A	76	291
YCR030C	959	370
YCR031C	30	918
YCR032W	115	138
YCR033W	214	180
YCR034W	53	322
YCR035C	322	151
YCR036W	43	184
YCR037C	31	103
YCR038C	489	110
YCR038W-A	0	0
YCR039C	0	82
YCR040W	0	0
YCR041W	0	0
YCR042C	662	121
YCR043C	48	239
YCR044C	17	161
YCR045C	0	0
YCR045W-A	622	813
YCR046C	225	110
YCR047C	126	200
YCR047W-A	0	0
YCR048W	53	214
YCR049C	0	0
YCR050C	0	0
YCR051W	14	258
YCR052W	113	226
YCR053W	825	151
YCR054C	106	228
YCR057C	94	115
YCR059C	24	248
YCR060W	24	124
YCR061W	65	356
YCR063W	118	480
YCR064C	1	29
YCR065W	224	334
YCR066W	49	181
YCR067C	118	100
YCR068W	141	976
YCR069W	1197	120
YCR071C	37	252
YCR072C	148	121
YCR073C	63	83
YCR073W-A	22	123
YCR075C	21	146
YCR075W-A	240	83
YCR076C	21	222
YCR077C	41	194
YCR079W	57	125
YCR081C-A	0	0
YCR081W	9	719
YCR082W	1213	106
YCR083W	34	137
YCR084C	226	317
YCR085W	0	0
YCR086W	262	52
YCR087C-A	417	62
YCR087W	657	70
YCR088W	415	133
YCR089W	144	65
YCR090C	418	74
YCR091W	850	163
YCR092C	472	159
YCR093W	61	117
YCR094W	53	511
YCR095C	56	94
YCR095W-A	162	1406
YCR096C	455	44
YCR097W	43	26
YCR097W-A	0	0
YCR098C	237	240
YCR099C	957	241
YCR100C	0	0
YCR101C	0	0
YCR102C	197	270
YCR102W-A	0	0
YCR104W	0	0
YCR105W	2	35
YCR106W	0	0
YCR107W	832	282
YCR108C	0	0
YDL001W	73	133
YDL002C	97	530
YDL003W	127	131
YDL004W	53	388
YDL005C	58	231
YDL006W	361	228
YDL007C-A	0	0
YDL007W	46	143
YDL008W	68	141
YDL009C	0	0
YDL010W	573	408
YDL011C	0	0
YDL012C	554	174
YDL013W	160	116
YDL014W	148	258
YDL015C	65	243
YDL016C	993	0
YDL017W	96	130
YDL018C	72	272
YDL019C	201	151
YDL020C	243	159
YDL021W	69	185
YDL022C-A	0	0
YDL022W	142	232
YDL023C	0	0
YDL024C	332	251
YDL025C	866	181
YDL025W-A	0	0
YDL026W	251	176
YDL027C	45	196
YDL028C	175	159
YDL029W	22	343
YDL030W	143	93
YDL031W	55	136
YDL032W	0	0
YDL033C	45	254
YDL034W	0	0
YDL035C	283	157
YDL036C	117	225
YDL037C	0	0
YDL039C	991	116
YDL040C	68	115
YDL041W	33	419
YDL042C	82	119
YDL043C	49	443
YDL044C	550	82
YDL045C	184	128
YDL045W-A	219	114
YDL046W	45	377
YDL047W	232	323
YDL048C	49	137
YDL049C	366	260
YDL050C	31	0
YDL051W	105	261
YDL052C	52	280
YDL053C	212	190
YDL054C	121	86
YDL055C	153	317
YDL056W	112	77
YDL057W	52	212
YDL058W	189	155
YDL059C	118	259
YDL060W	16	97
YDL061C	55	324
YDL062W	0	0
YDL063C	67	244
YDL064W	823	108
YDL065C	96	114
YDL066W	103	499
YDL067C	280	241
YDL068W	12	239
YDL069C	148	122
YDL070W	258	172
YDL071C	0	0
YDL072C	452	88
YDL073W	169	56
YDL074C	71	134
YDL075W	154	106
YDL076C	146	226
YDL077C	169	69
YDL078C	378	122
YDL079C	259	129
YDL080C	177	167
YDL081C	66	371
YDL082W	60	386
YDL083C	1693	134
YDL084W	171	307
YDL085C-A	4124	439
YDL085W	30	84
YDL086C-A	169	354
YDL086W	193	84
YDL087C	256	965
YDL088C	941	151
YDL089W	322	76
YDL090C	492	55
YDL091C	219	121
YDL092W	41	204
YDL093W	194	285
YDL094C	0	0
YDL095W	29	398
YDL096C	0	0
YDL097C	57	163
YDL098C	88	146
YDL099W	57	599
YDL100C	44	156
YDL101C	48	297
YDL102W	73	126
YDL103C	66	224
YDL104C	35	139
YDL105W	44	536
YDL106C	300	133
YDL107W	70	204
YDL108W	339	42
YDL109C	0	0
YDL110C	786	190
